Orthogroup	longest_isoform_HydraProteins	longest_isoform_HydractiniaProteins
OG0000028	Hydra|LOC105850998, Hydra|LOC124806725, Hydra|LOC105844880, Hydra|LOC105845863, Hydra|LOC101241479, Hydra|LOC101237848, Hydra|LOC124816110, Hydra|LOC124816319, Hydra|LOC105843733, Hydra|LOC101235942, Hydra|LOC124813979, Hydra|LOC101240863, Hydra|LOC101239653, Hydra|LOC101236227, Hydra|LOC124812576	Hydractinia|LOC130642263, Hydractinia|LOC130630094, Hydractinia|LOC130642212, Hydractinia|LOC130612794, Hydractinia|LOC130655070, Hydractinia|LOC130629972, Hydractinia|LOC130629610, Hydractinia|LOC130642213, Hydractinia|LOC130648521, Hydractinia|LOC130637023, Hydractinia|LOC130655395, Hydractinia|LOC130648059, Hydractinia|LOC130621341
OG0000031	Hydra|LOC124809397, Hydra|LOC124807615, Hydra|LOC124816429, Hydra|LOC124808049, Hydra|LOC124808444, Hydra|LOC124812429, Hydra|LOC124813363	Hydractinia|LOC130635880, Hydractinia|LOC130622537
OG0000036	Hydra|LOC124813503, Hydra|LOC124817190	Hydractinia|LOC130628649
OG0000036	Hydra|LOC105846812	Hydractinia|LOC130648502
OG0000037	Hydra|LOC101237397	Hydractinia|LOC130614590
OG0000038	Hydra|LOC105849896, Hydra|LOC101236124, Hydra|LOC101241209, Hydra|LOC105849797, Hydra|LOC101241798, Hydra|LOC101238699, Hydra|LOC101240221, Hydra|LOC105843656, Hydra|LOC101239129, Hydra|LOC101236254, Hydra|LOC101239770, Hydra|LOC124808611, Hydra|LOC101235500, Hydra|LOC101235687, Hydra|LOC101239603, Hydra|LOC101238386, Hydra|LOC124815232, Hydra|LOC124813908, Hydra|LOC124817248, Hydra|LOC101238402, Hydra|LOC101237398, Hydra|LOC101235608, Hydra|LOC100212569, Hydra|LOC101235699, Hydra|LOC124807571	Hydractinia|LOC130642352
OG0000038	Hydra|LOC124814090, Hydra|LOC105848381, Hydra|LOC101241082, Hydra|LOC101241263, Hydra|LOC100214858, Hydra|LOC124808555, Hydra|LOC124814273, Hydra|LOC124814975, Hydra|LOC101235339	Hydractinia|LOC130613046, Hydractinia|LOC130628713
OG0000041	Hydra|LOC124817196, Hydra|LOC124809037, Hydra|LOC124815851, Hydra|LOC124807156, Hydra|LOC124809009, Hydra|LOC124817065, Hydra|LOC124819302, Hydra|LOC124816091, Hydra|LOC124814567, Hydra|LOC124814502, Hydra|LOC124806913, Hydra|LOC124818784, Hydra|LOC100214618, Hydra|LOC100205216, Hydra|LOC124815351, Hydra|LOC124817120, Hydra|LOC124817114, Hydra|LOC124816344, Hydra|LOC124815454, Hydra|LOC124814093, Hydra|LOC100212395, Hydra|LOC124811660, Hydra|LOC124808592, Hydra|LOC124817124, Hydra|LOC124812664, Hydra|LOC124807268, Hydra|LOC100200387, Hydra|LOC124814551, Hydra|LOC124818777, Hydra|LOC100215876, Hydra|LOC100202948, Hydra|LOC100202891, Hydra|LOC100197137, Hydra|LOC124814016, Hydra|LOC124819113, Hydra|LOC124814952, Hydra|LOC124815701, Hydra|LOC124807396, Hydra|LOC105851009, Hydra|LOC124811265, Hydra|LOC100207340, Hydra|LOC124818985, Hydra|LOC124805951, Hydra|LOC105848553, Hydra|LOC124809192	Hydractinia|LOC130635935, Hydractinia|LOC130635834, Hydractinia|LOC130655845, Hydractinia|LOC130612154, Hydractinia|LOC130625317, Hydractinia|LOC130625033
OG0000047	Hydra|LOC105849584, Hydra|LOC124811288, Hydra|LOC124816221, Hydra|LOC124812491, Hydra|LOC124813726	Hydractinia|LOC130648505
OG0000049	Hydra|LOC124815975	Hydractinia|LOC130623210, Hydractinia|LOC130637024
OG0000049	Hydra|LOC101239839, Hydra|LOC100203231, Hydra|LOC101235926, Hydra|LOC124808567, Hydra|LOC105851025, Hydra|LOC124816125, Hydra|LOC101238960	Hydractinia|LOC130648579, Hydractinia|LOC130662617, Hydractinia|LOC130657531, Hydractinia|LOC130662861, Hydractinia|LOC130637007, Hydractinia|LOC130636907
OG0000052	Hydra|LOC105845791	Hydractinia|LOC130656481, Hydractinia|LOC130656906
OG0000052	Hydra|LOC124810042, Hydra|LOC100208510	Hydractinia|LOC130656949
OG0000052	Hydra|LOC124810088, Hydra|LOC124810087	Hydractinia|LOC130657180, Hydractinia|LOC130656743, Hydractinia|LOC130657382, Hydractinia|LOC130657368, Hydractinia|LOC130657014, Hydractinia|LOC130656730, Hydractinia|LOC130656738, Hydractinia|LOC130656740, Hydractinia|LOC130656741, Hydractinia|LOC130656737, Hydractinia|LOC130656731, Hydractinia|LOC130656729, Hydractinia|LOC130656733, Hydractinia|LOC130656735, Hydractinia|LOC130656744, Hydractinia|LOC130657366, Hydractinia|LOC130657375, Hydractinia|LOC130656605, Hydractinia|LOC130656736, Hydractinia|LOC130656734, Hydractinia|LOC130657337, Hydractinia|LOC130656746, Hydractinia|LOC130656745
OG0000055	Hydra|LOC100198982, Hydra|LOC100201245, Hydra|LOC100208378, Hydra|LOC101240164, Hydra|LOC100199379	Hydractinia|LOC130648014, Hydractinia|LOC130647079, Hydractinia|LOC130646947, Hydractinia|LOC130646946
OG0000056	Hydra|LOC100212279, Hydra|LOC105850026, Hydra|LOC105843886, Hydra|LOC105843885, Hydra|LOC100199100, Hydra|LOC100215485, Hydra|LOC100202932, Hydra|LOC100203996, Hydra|LOC100215883, Hydra|LOC124817534, Hydra|LOC100210439, Hydra|LOC105850171	Hydractinia|LOC130654719
OG0000057	Hydra|LOC100211639, Hydra|LOC100204569	Hydractinia|LOC130645557
OG0000057	Hydra|LOC105844836	Hydractinia|LOC130648983
OG0000057	Hydra|LOC101240655	Hydractinia|LOC130645286
OG0000058	Hydra|LOC100215040, Hydra|LOC100208283	Hydractinia|LOC130635857
OG0000058	Hydra|LOC100208117, Hydra|LOC100209370, Hydra|LOC100211643, Hydra|LOC100206280, Hydra|LOC100212715, Hydra|LOC100207137, Hydra|LOC100198645, Hydra|LOC100200047, Hydra|LOC100200125, Hydra|LOC100215544, Hydra|LOC100205851	Hydractinia|LOC130647540
OG0000058	Hydra|LOC100204781	Hydractinia|LOC130621547, Hydractinia|LOC130621544, Hydractinia|LOC130621546, Hydractinia|LOC130621533, Hydractinia|LOC130621542, Hydractinia|LOC130621543, Hydractinia|LOC130621540, Hydractinia|LOC130621538, Hydractinia|LOC130621530, Hydractinia|LOC130621531, Hydractinia|LOC130621536, Hydractinia|LOC130621539, Hydractinia|LOC130621537, Hydractinia|LOC130621532, Hydractinia|LOC130621545, Hydractinia|LOC130621535
OG0000059	Hydra|LOC124807794	Hydractinia|LOC130623717, Hydractinia|LOC130630002, Hydractinia|LOC130630042, Hydractinia|LOC130622387, Hydractinia|LOC130655533, Hydractinia|LOC130623275, Hydractinia|LOC130642359, Hydractinia|LOC130636847, Hydractinia|LOC130629893, Hydractinia|LOC130625238, Hydractinia|LOC130614651, Hydractinia|LOC130645446, Hydractinia|LOC130623070, Hydractinia|LOC130642199, Hydractinia|LOC130614239, Hydractinia|LOC130653660, Hydractinia|LOC130612889, Hydractinia|LOC130628710, Hydractinia|LOC130629754, Hydractinia|LOC130628630, Hydractinia|LOC130628718, Hydractinia|LOC130662834, Hydractinia|LOC130612816, Hydractinia|LOC130658967, Hydractinia|LOC130636937, Hydractinia|LOC130630107, Hydractinia|LOC130644574, Hydractinia|LOC130657896, Hydractinia|LOC130612985, Hydractinia|LOC130612867, Hydractinia|LOC130642216, Hydractinia|LOC130640706, Hydractinia|LOC130625163, Hydractinia|LOC130645412
OG0000059	Hydra|LOC101238666, Hydra|LOC124809745	Hydractinia|LOC130645939
OG0000059	Hydra|LOC124817152, Hydra|LOC124813468	Hydractinia|LOC130629917
OG0000061	Hydra|LOC124816266, Hydra|LOC105846645, Hydra|LOC105849336, Hydra|LOC124812459, Hydra|LOC124806759	Hydractinia|LOC130613658, Hydractinia|LOC130630007, Hydractinia|LOC130648130, Hydractinia|LOC130653911, Hydractinia|LOC130629289, Hydractinia|LOC130648551, Hydractinia|LOC130648024, Hydractinia|LOC130642304, Hydractinia|LOC130630052
OG0000062	Hydra|LOC124810045	Hydractinia|LOC130657124, Hydractinia|LOC130657111, Hydractinia|LOC130657110, Hydractinia|LOC130657114
OG0000062	Hydra|LOC124810044	Hydractinia|LOC130657117
OG0000062	Hydra|LOC124810091, Hydra|LOC124810059, Hydra|LOC124810130, Hydra|LOC124810131	Hydractinia|LOC130657119
OG0000062	Hydra|LOC124810092	Hydractinia|LOC130657116
OG0000064	Hydra|LOC100198758	Hydractinia|LOC130630220, Hydractinia|LOC130629974
OG0000064	Hydra|LOC100198560	Hydractinia|LOC130613983
OG0000064	Hydra|LOC101238122	Hydractinia|LOC130653877
OG0000068	Hydra|LOC101241507	Hydractinia|LOC130613595, Hydractinia|LOC130648171
OG0000068	Hydra|LOC124814325, Hydra|LOC101237669, Hydra|LOC105846060, Hydra|LOC105844390, Hydra|LOC105843487	Hydractinia|LOC130629382
OG0000068	Hydra|LOC124807037	Hydractinia|LOC130625697, Hydractinia|LOC130623036
OG0000070	Hydra|LOC100199035, Hydra|LOC100208692, Hydra|LOC100208013, Hydra|LOC101236318, Hydra|LOC100209933, Hydra|LOC100214511, Hydra|LOC100210485, Hydra|LOC100213639, Hydra|LOC100202831, Hydra|LOC100205467	Hydractinia|LOC130647407
OG0000071	Hydra|LOC101238762, Hydra|LOC100203937, Hydra|LOC100197148, Hydra|LOC105847586, Hydra|LOC100214107, Hydra|LOC100208450, Hydra|LOC100213839, Hydra|LOC100207051, Hydra|LOC105843386, Hydra|LOC105847748, Hydra|LOC100205608, Hydra|LOC100197328, Hydra|LOC101236989, Hydra|LOC100210397, Hydra|LOC100199090, Hydra|LOC101237406, Hydra|LOC105848477, Hydra|LOC100203405, Hydra|LOC105844737, Hydra|LOC101238025, Hydra|LOC105849732, Hydra|LOC105847520, Hydra|LOC105844194, Hydra|LOC105844851, Hydra|LOC124807279, Hydra|LOC105846743, Hydra|LOC105847007, Hydra|LOC124807548, Hydra|LOC105846130, Hydra|LOC100210254, Hydra|LOC124807298, Hydra|LOC124807041, Hydra|LOC124806850, Hydra|LOC124807047, Hydra|LOC105847441, Hydra|LOC105847694, Hydra|LOC124815391	Hydractinia|LOC130649660
OG0000072	Hydra|LOC105843185	Hydractinia|LOC130648514, Hydractinia|LOC130623535, Hydractinia|LOC130649159, Hydractinia|LOC130649160, Hydractinia|LOC130629979, Hydractinia|LOC130648537, Hydractinia|LOC130648613, Hydractinia|LOC130645896, Hydractinia|LOC130653795, Hydractinia|LOC130625080, Hydractinia|LOC130642205, Hydractinia|LOC130642191, Hydractinia|LOC130657812, Hydractinia|LOC130635490, Hydractinia|LOC130613378, Hydractinia|LOC130612919, Hydractinia|LOC130623081, Hydractinia|LOC130625167, Hydractinia|LOC130645918, Hydractinia|LOC130654274, Hydractinia|LOC130646154
OG0000076	Hydra|LOC100197513, Hydra|LOC100200835, Hydra|LOC100206745	Hydractinia|LOC130647500
OG0000076	Hydra|LOC100204469	Hydractinia|LOC130654943
OG0000077	Hydra|LOC124808598, Hydra|LOC124811869, Hydra|LOC124808754, Hydra|LOC124810962, Hydra|LOC124809876, Hydra|LOC124815272, Hydra|LOC124811656, Hydra|LOC124808806, Hydra|LOC124816679, Hydra|LOC105849695, Hydra|LOC105848780, Hydra|LOC105844707, Hydra|LOC124816781, Hydra|LOC124817732, Hydra|LOC124813387, Hydra|LOC124808933, Hydra|LOC124815154, Hydra|LOC124807677, Hydra|LOC105844517, Hydra|LOC100210922, Hydra|LOC105845298, Hydra|LOC105850492, Hydra|LOC124809454, Hydra|LOC124807181, Hydra|LOC124811372, Hydra|LOC105845273, Hydra|LOC124812705, Hydra|LOC124811548, Hydra|LOC105847862, Hydra|LOC105850655, Hydra|LOC124807634, Hydra|LOC105845150, Hydra|LOC124811646, Hydra|LOC124810435, Hydra|LOC124812194, Hydra|LOC124814630, Hydra|LOC105846786, Hydra|LOC105850987, Hydra|LOC105845582, Hydra|LOC105844956, Hydra|LOC124817647, Hydra|LOC124807902	Hydractinia|LOC130630081, Hydractinia|LOC130647688
OG0000079	Hydra|LOC124816381	Hydractinia|LOC130644720
OG0000087	Hydra|LOC124814947	Hydractinia|LOC130624086, Hydractinia|LOC130623926, Hydractinia|LOC130614578, Hydractinia|LOC130644714, Hydractinia|LOC130644510, Hydractinia|LOC130647227, Hydractinia|LOC130656708, Hydractinia|LOC130640787, Hydractinia|LOC130614717, Hydractinia|LOC130623885, Hydractinia|LOC130662733, Hydractinia|LOC130662734, Hydractinia|LOC130645064
OG0000095	Hydra|LOC124817479, Hydra|LOC101234480, Hydra|LOC124805861	Hydractinia|LOC130644939
OG0000097	Hydra|LOC101235243, Hydra|LOC100197458, Hydra|LOC105843824, Hydra|LOC100204018, Hydra|LOC100199462, Hydra|LOC100205528, Hydra|LOC124813588, Hydra|LOC124813587, Hydra|LOC100202946, Hydra|LOC124813591, Hydra|LOC100199246, Hydra|LOC100211336, Hydra|LOC124813270, Hydra|LOC124813271, Hydra|LOC124813272, Hydra|LOC124813273, Hydra|LOC124808990, Hydra|LOC100200369, Hydra|LOC124808989, Hydra|LOC124808835, Hydra|LOC100214931, Hydra|LOC100211409	Hydractinia|LOC130657035, Hydractinia|LOC130628905, Hydractinia|LOC130628598, Hydractinia|LOC130628907, Hydractinia|LOC130641789, Hydractinia|LOC130654245
OG0000098	Hydra|LOC105845680, Hydra|LOC101240782	Hydractinia|LOC130625094
OG0000098	Hydra|LOC124816076	Hydractinia|LOC130657885, Hydractinia|LOC130657886, Hydractinia|LOC130621407
OG0000099	Hydra|LOC100198789, Hydra|LOC100208992, Hydra|LOC124807958, Hydra|LOC101234986, Hydra|LOC100200794	Hydractinia|LOC130653763, Hydractinia|LOC130655905, Hydractinia|LOC130654023, Hydractinia|LOC130623866, Hydractinia|LOC130655048
OG0000099	Hydra|LOC101238906, Hydra|LOC100205679, Hydra|LOC124816533, Hydra|LOC105845703, Hydra|LOC105850458, Hydra|LOC124809446, Hydra|LOC105849325	Hydractinia|LOC130653830, Hydractinia|LOC130621301, Hydractinia|LOC130655670, Hydractinia|LOC130655209
OG0000101	Hydra|LOC105847405, Hydra|LOC124807874, Hydra|LOC100202594, Hydra|LOC105849163, Hydra|LOC105850477, Hydra|LOC105849833, Hydra|LOC100202526, Hydra|LOC105846394, Hydra|LOC100200487, Hydra|LOC100205967, Hydra|LOC105847111, Hydra|LOC105847937, Hydra|LOC100197853, Hydra|LOC105850058, Hydra|LOC105847567, Hydra|LOC124817013, Hydra|LOC124808112, Hydra|LOC100211975, Hydra|LOC105847963	Hydractinia|LOC130613201, Hydractinia|LOC130613202
OG0000102	Hydra|LOC105845506	Hydractinia|LOC130640830, Hydractinia|LOC130641201
OG0000102	Hydra|LOC100204385, Hydra|LOC100210029, Hydra|LOC100197985, Hydra|LOC100203529, Hydra|LOC124814554	Hydractinia|LOC130654695
OG0000106	Hydra|LOC124817241	Hydractinia|LOC130612998
OG0000106	Hydra|LOC124813372, Hydra|LOC124807592	Hydractinia|LOC130625172, Hydractinia|LOC130641166
OG0000116	Hydra|LOC105844919, Hydra|LOC105844462, Hydra|LOC124814664	Hydractinia|LOC130648181
OG0000116	Hydra|LOC124806794, Hydra|LOC124812446, Hydra|LOC124817980, Hydra|LOC124812220, Hydra|LOC124809128	Hydractinia|LOC130645581
OG0000119	Hydra|LOC101234692	Hydractinia|LOC130630519
OG0000121	Hydra|LOC100202816	Hydractinia|LOC130655592, Hydractinia|LOC130654628
OG0000121	Hydra|LOC100205025, Hydra|LOC100209153	Hydractinia|LOC130654518, Hydractinia|LOC130654516
OG0000122	Hydra|LOC124810947, Hydra|LOC105848627, Hydra|LOC124811209	Hydractinia|LOC130625102
OG0000135	Hydra|LOC105843177	Hydractinia|LOC130630336, Hydractinia|LOC130630009, Hydractinia|LOC130648991, Hydractinia|LOC130621352, Hydractinia|LOC130621350, Hydractinia|LOC130621896, Hydractinia|LOC130621895, Hydractinia|LOC130621357, Hydractinia|LOC130621901, Hydractinia|LOC130621458, Hydractinia|LOC130655149, Hydractinia|LOC130653629, Hydractinia|LOC130653628, Hydractinia|LOC130628829, Hydractinia|LOC130635855
OG0000136	Hydra|LOC101236484	Hydractinia|LOC130640927
OG0000138	Hydra|LOC124818227, Hydra|LOC124810394, Hydra|LOC124816785	Hydractinia|LOC130621582
OG0000139	Hydra|LOC101234992, Hydra|LOC105846869	Hydractinia|LOC130621322, Hydractinia|LOC130653661, Hydractinia|LOC130613623, Hydractinia|LOC130630067, Hydractinia|LOC130648534, Hydractinia|LOC130642286, Hydractinia|LOC130621328, Hydractinia|LOC130613473, Hydractinia|LOC130641597, Hydractinia|LOC130636059, Hydractinia|LOC130641009, Hydractinia|LOC130642287, Hydractinia|LOC130648581, Hydractinia|LOC130630084, Hydractinia|LOC130646011, Hydractinia|LOC130648492, Hydractinia|LOC130613605, Hydractinia|LOC130613495, Hydractinia|LOC130649018, Hydractinia|LOC130648086
OG0000140	Hydra|LOC105846240	Hydractinia|LOC130641301
OG0000142	Hydra|LOC124811355, Hydra|LOC105843700, Hydra|LOC101239536, Hydra|LOC100215126, Hydra|LOC124806286, Hydra|LOC105847199, Hydra|LOC100214360, Hydra|LOC124817689, Hydra|LOC124817112, Hydra|LOC124816086, Hydra|LOC101239715, Hydra|LOC101238757, Hydra|LOC124814356, Hydra|LOC124811323, Hydra|LOC100200339, Hydra|LOC124816017, Hydra|LOC124806344, Hydra|LOC101235885, Hydra|LOC124816153, Hydra|LOC100212450, Hydra|LOC105849649, Hydra|LOC100211218, Hydra|LOC101237165, Hydra|LOC105843037, Hydra|LOC124806220, Hydra|LOC124814982, Hydra|LOC124818994, Hydra|LOC124811411, Hydra|LOC124809421, Hydra|LOC105843048, Hydra|LOC101240831	Hydractinia|LOC130649203, Hydractinia|LOC130642337, Hydractinia|LOC130648631
OG0000149	Hydra|LOC100206107	Hydractinia|LOC130648902
OG0000149	Hydra|LOC124805805, Hydra|LOC124810124, Hydra|LOC124810126, Hydra|LOC124810051, Hydra|LOC124810053, Hydra|LOC124810052, Hydra|LOC100204347, Hydra|LOC124810085, Hydra|LOC124810102, Hydra|LOC124810086, Hydra|LOC124810041	Hydractinia|LOC130628858
OG0000150	Hydra|LOC101239443, Hydra|LOC124814296	Hydractinia|LOC130623094, Hydractinia|LOC130614455, Hydractinia|LOC130636886, Hydractinia|LOC130648223
OG0000158	Hydra|LOC124817025, Hydra|LOC124813134	Hydractinia|LOC130645457
OG0000158	Hydra|LOC124818088	Hydractinia|LOC130642126, Hydractinia|LOC130613119, Hydractinia|LOC130612235, Hydractinia|LOC130636324, Hydractinia|LOC130613655, Hydractinia|LOC130646508, Hydractinia|LOC130642065
OG0000161	Hydra|LOC100205024, Hydra|LOC100209038	Hydractinia|LOC130649412, Hydractinia|LOC130614697, Hydractinia|LOC130657331, Hydractinia|LOC130657065, Hydractinia|LOC130614141, Hydractinia|LOC130635813, Hydractinia|LOC130614444, Hydractinia|LOC130613923
OG0000161	Hydra|LOC100199600	Hydractinia|LOC130657872, Hydractinia|LOC130656711
OG0000162	Hydra|LOC124808118	Hydractinia|LOC130612153
