Orthogroup	longest_isoform_HydraProteins	longest_isoform_NematostellaProteins
OG0000038	Hydra|LOC124814090, Hydra|LOC105848381, Hydra|LOC101241082, Hydra|LOC101241263, Hydra|LOC100214858, Hydra|LOC124808555, Hydra|LOC124814273, Hydra|LOC124814975, Hydra|LOC101235339	Nematostella|LOC125573188
OG0000041	Hydra|LOC124817196, Hydra|LOC124809037, Hydra|LOC124815851, Hydra|LOC124807156, Hydra|LOC124809009, Hydra|LOC124817065, Hydra|LOC124819302, Hydra|LOC124816091, Hydra|LOC124814567, Hydra|LOC124814502, Hydra|LOC124806913, Hydra|LOC124818784, Hydra|LOC100214618, Hydra|LOC100205216, Hydra|LOC124815351, Hydra|LOC124817120, Hydra|LOC124817114, Hydra|LOC124816344, Hydra|LOC124815454, Hydra|LOC124814093, Hydra|LOC100212395, Hydra|LOC124811660, Hydra|LOC124808592, Hydra|LOC124817124, Hydra|LOC124812664, Hydra|LOC124807268, Hydra|LOC100200387, Hydra|LOC124814551, Hydra|LOC124818777, Hydra|LOC100215876, Hydra|LOC100202948, Hydra|LOC100202891, Hydra|LOC100197137, Hydra|LOC124814016, Hydra|LOC124819113, Hydra|LOC124814952, Hydra|LOC124815701, Hydra|LOC124807396, Hydra|LOC105851009, Hydra|LOC124811265, Hydra|LOC100207340, Hydra|LOC124818985, Hydra|LOC124805951, Hydra|LOC105848553, Hydra|LOC124809192	Nematostella|LOC116616791
OG0000050	Hydra|LOC124813958, Hydra|LOC124816144, Hydra|LOC100201601, Hydra|LOC124808639, Hydra|LOC124806102	Nematostella|LOC125560666, Nematostella|LOC125557476, Nematostella|LOC125570212, Nematostella|LOC5511293, Nematostella|LOC125559023
OG0000050	Hydra|LOC124811434, Hydra|LOC101237371, Hydra|LOC124810861, Hydra|LOC124814340, Hydra|LOC101241515, Hydra|LOC105851030, Hydra|LOC124812318, Hydra|LOC124819165, Hydra|LOC124816028, Hydra|LOC101240057, Hydra|LOC101235303, Hydra|LOC105846491, Hydra|LOC101236144, Hydra|LOC124819177, Hydra|LOC124813759, Hydra|LOC101238994, Hydra|LOC101235643, Hydra|LOC105849119, Hydra|LOC100201776, Hydra|LOC101241427, Hydra|LOC105846680, Hydra|LOC124811353, Hydra|LOC124816740, Hydra|LOC124806216	Nematostella|LOC5503578, Nematostella|LOC5501774
OG0000052	Hydra|LOC124810055	Nematostella|LOC5508571
OG0000052	Hydra|LOC124810088, Hydra|LOC124810087	Nematostella|LOC5518464, Nematostella|LOC5505974, Nematostella|LOC5502003, Nematostella|LOC116619866, Nematostella|LOC5518526, Nematostella|LOC116618182, Nematostella|LOC116618622, Nematostella|LOC125556744, Nematostella|LOC5520521, Nematostella|LOC5518506, Nematostella|LOC5500882, Nematostella|LOC5496697, Nematostella|LOC116615389, Nematostella|LOC5497979
OG0000056	Hydra|LOC100212279, Hydra|LOC105850026, Hydra|LOC105843886, Hydra|LOC105843885, Hydra|LOC100199100, Hydra|LOC100215485, Hydra|LOC100202932, Hydra|LOC100203996, Hydra|LOC100215883, Hydra|LOC124817534, Hydra|LOC100210439, Hydra|LOC105850171	Nematostella|LOC116621207, Nematostella|LOC116618769, Nematostella|LOC116619460, Nematostella|LOC116619459, Nematostella|LOC116619641, Nematostella|LOC116619360, Nematostella|LOC116619457
OG0000057	Hydra|LOC100211639, Hydra|LOC100204569	Nematostella|LOC5511243, Nematostella|LOC116610685, Nematostella|LOC116608817, Nematostella|LOC5503124, Nematostella|LOC5510306, Nematostella|LOC5503113, Nematostella|LOC5503121, Nematostella|LOC125559909, Nematostella|LOC5501535, Nematostella|LOC116606605, Nematostella|LOC5501533, Nematostella|LOC5510302, Nematostella|LOC5501536, Nematostella|LOC125559899, Nematostella|LOC125559913, Nematostella|LOC116607488, Nematostella|LOC125559907, Nematostella|LOC5499800, Nematostella|LOC5499802, Nematostella|LOC125559860, Nematostella|LOC5499801, Nematostella|LOC125570298, Nematostella|LOC125557117, Nematostella|LOC5506106, Nematostella|LOC5511033, Nematostella|LOC5509171
OG0000057	Hydra|LOC105844836	Nematostella|LOC5520133
OG0000057	Hydra|LOC101240655	Nematostella|LOC116619038
OG0000058	Hydra|LOC100215040, Hydra|LOC100208283	Nematostella|LOC5517877, Nematostella|LOC5514304
OG0000058	Hydra|LOC100204781	Nematostella|LOC5509144
OG0000059	Hydra|LOC124807794, Hydra|LOC105843413, Hydra|LOC100200417, Hydra|LOC101238043, Hydra|LOC124818135, Hydra|LOC101241261, Hydra|LOC100199182, Hydra|LOC101238666, Hydra|LOC124809745, Hydra|LOC124817152, Hydra|LOC124813468	Nematostella|LOC125561023, Nematostella|LOC116607669
OG0000061	Hydra|LOC124816266, Hydra|LOC105846645, Hydra|LOC105849336, Hydra|LOC124812459, Hydra|LOC124806759	Nematostella|LOC125567917, Nematostella|LOC116604397, Nematostella|LOC116614870, Nematostella|LOC125568025, Nematostella|LOC125568003, Nematostella|LOC125558973, Nematostella|LOC125561078, Nematostella|LOC125573628, Nematostella|LOC125561829, Nematostella|LOC125560962, Nematostella|LOC125560617, Nematostella|LOC125563064, Nematostella|LOC125570180, Nematostella|LOC125573604, Nematostella|LOC116608832, Nematostella|LOC5510820, Nematostella|LOC116618856, Nematostella|LOC116616148, Nematostella|LOC125563036, Nematostella|LOC116610921, Nematostella|LOC125559014, Nematostella|LOC125567564, Nematostella|LOC116607038, Nematostella|LOC125560974, Nematostella|LOC125560625, Nematostella|LOC125561048, Nematostella|LOC125560917, Nematostella|LOC125559868, Nematostella|LOC116603076, Nematostella|LOC125573803, Nematostella|LOC116620195, Nematostella|LOC116613530, Nematostella|LOC125556695, Nematostella|LOC125570193, Nematostella|LOC125559887
OG0000062	Hydra|LOC124810045	Nematostella|LOC5509798
OG0000062	Hydra|LOC124810044	Nematostella|LOC5497158
OG0000062	Hydra|LOC124810130	Nematostella|LOC125557239, Nematostella|LOC125557226, Nematostella|LOC125557223, Nematostella|LOC125557230, Nematostella|LOC125557234, Nematostella|LOC5496422, Nematostella|LOC125557228
OG0000062	Hydra|LOC124810131	Nematostella|LOC125557236
OG0000062	Hydra|LOC124805806	Nematostella|LOC5513031
OG0000062	Hydra|LOC100204267	Nematostella|LOC125557221
OG0000064	Hydra|LOC100198758	Nematostella|LOC116619486
OG0000064	Hydra|LOC100198560	Nematostella|LOC5503492, Nematostella|LOC5505881, Nematostella|LOC5521478, Nematostella|LOC5503475, Nematostella|LOC5501722
OG0000064	Hydra|LOC101238122	Nematostella|LOC5522323, Nematostella|LOC5517523, Nematostella|LOC5514687, Nematostella|LOC5505462, Nematostella|LOC116612680, Nematostella|LOC5503451, Nematostella|LOC116616801
OG0000070	Hydra|LOC100199035, Hydra|LOC100208692, Hydra|LOC100208013, Hydra|LOC101236318, Hydra|LOC100209933, Hydra|LOC100214511, Hydra|LOC100210485, Hydra|LOC100213639, Hydra|LOC100202831, Hydra|LOC100205467	Nematostella|LOC5503789, Nematostella|LOC5514659, Nematostella|LOC5503046, Nematostella|LOC5510781, Nematostella|LOC5511836, Nematostella|LOC5511848, Nematostella|LOC5508605, Nematostella|LOC116615595, Nematostella|LOC116620045, Nematostella|LOC116604845, Nematostella|LOC5516926, Nematostella|LOC5520430, Nematostella|LOC5504613, Nematostella|LOC5515944
OG0000071	Hydra|LOC101238762, Hydra|LOC100203937, Hydra|LOC100197148, Hydra|LOC105847586, Hydra|LOC100214107, Hydra|LOC100208450, Hydra|LOC100213839, Hydra|LOC100207051, Hydra|LOC105843386, Hydra|LOC105847748, Hydra|LOC100205608, Hydra|LOC100197328, Hydra|LOC101236989, Hydra|LOC100210397, Hydra|LOC100199090, Hydra|LOC101237406, Hydra|LOC105848477, Hydra|LOC100203405, Hydra|LOC105844737, Hydra|LOC101238025, Hydra|LOC105849732, Hydra|LOC105847520, Hydra|LOC105844194, Hydra|LOC105844851, Hydra|LOC124807279, Hydra|LOC105846743, Hydra|LOC105847007, Hydra|LOC124807548, Hydra|LOC105846130, Hydra|LOC100210254, Hydra|LOC124807298, Hydra|LOC124807041, Hydra|LOC124806850, Hydra|LOC124807047, Hydra|LOC105847441, Hydra|LOC105847694, Hydra|LOC124815391	Nematostella|LOC116611066
OG0000072	Hydra|LOC105843185	Nematostella|LOC125560754, Nematostella|LOC125560755, Nematostella|LOC116601844, Nematostella|LOC116601928, Nematostella|LOC125563005, Nematostella|LOC5518201, Nematostella|LOC125559856, Nematostella|LOC125572432, Nematostella|LOC125561810, Nematostella|LOC125568044, Nematostella|LOC125561322, Nematostella|LOC125572222, Nematostella|LOC116615318, Nematostella|LOC125561137, Nematostella|LOC125559846, Nematostella|LOC116614590, Nematostella|LOC125573620
OG0000076	Hydra|LOC100197513, Hydra|LOC100200835, Hydra|LOC100206745	Nematostella|LOC5516785
OG0000076	Hydra|LOC100204469	Nematostella|LOC5509636, Nematostella|LOC5518438, Nematostella|LOC5517474
OG0000079	Hydra|LOC124816381	Nematostella|LOC125560947
OG0000087	Hydra|LOC124814947	Nematostella|LOC125570198
OG0000095	Hydra|LOC124817479, Hydra|LOC101234480, Hydra|LOC124805861	Nematostella|LOC116611723
OG0000096	Hydra|LOC124818887, Hydra|LOC105843766, Hydra|LOC101240372, Hydra|LOC124818689	Nematostella|LOC116601948, Nematostella|LOC125558985, Nematostella|LOC125558984, Nematostella|LOC125568410, Nematostella|LOC125558986, Nematostella|LOC116604779, Nematostella|LOC125563069
OG0000096	Hydra|LOC124818226	Nematostella|LOC116607814
OG0000097	Hydra|LOC101235243, Hydra|LOC100197458, Hydra|LOC105843824, Hydra|LOC100204018, Hydra|LOC100199462, Hydra|LOC100205528, Hydra|LOC124813588, Hydra|LOC124813587, Hydra|LOC100202946, Hydra|LOC124813591, Hydra|LOC100199246, Hydra|LOC100211336, Hydra|LOC124813270, Hydra|LOC124813271, Hydra|LOC124813272, Hydra|LOC124813273, Hydra|LOC124808990, Hydra|LOC100200369, Hydra|LOC124808989, Hydra|LOC124808835, Hydra|LOC100214931, Hydra|LOC100211409	Nematostella|LOC5519484, Nematostella|LOC5505319, Nematostella|LOC5505323, Nematostella|LOC5504813, Nematostella|LOC5512659, Nematostella|LOC5505316, Nematostella|LOC5505313, Nematostella|LOC5519551
OG0000099	Hydra|LOC100198789, Hydra|LOC100208992, Hydra|LOC124807958, Hydra|LOC101234986, Hydra|LOC100200794, Hydra|LOC101238906, Hydra|LOC100205679, Hydra|LOC124816533, Hydra|LOC105845703, Hydra|LOC105850458, Hydra|LOC124809446, Hydra|LOC105849325	Nematostella|LOC5520593
OG0000101	Hydra|LOC105847405, Hydra|LOC124807874, Hydra|LOC100202594, Hydra|LOC105849163, Hydra|LOC105850477, Hydra|LOC105849833, Hydra|LOC100202526, Hydra|LOC105846394, Hydra|LOC100200487, Hydra|LOC100205967, Hydra|LOC105847111, Hydra|LOC105847937, Hydra|LOC100197853, Hydra|LOC105850058, Hydra|LOC105847567, Hydra|LOC124817013, Hydra|LOC124808112, Hydra|LOC100211975, Hydra|LOC105847963	Nematostella|LOC125570308, Nematostella|LOC116611693, Nematostella|LOC5519403, Nematostella|LOC5519404
OG0000102	Hydra|LOC124813859, Hydra|LOC100197460	Nematostella|LOC5507746
OG0000102	Hydra|LOC105845506, Hydra|LOC100204385, Hydra|LOC100210029, Hydra|LOC100197985, Hydra|LOC100203529, Hydra|LOC124814554	Nematostella|LOC5517026
OG0000114	Hydra|LOC124809990, Hydra|LOC124807036, Hydra|LOC124819117, Hydra|LOC124817223, Hydra|LOC124815623	Nematostella|LOC125561131
OG0000116	Hydra|LOC105844919, Hydra|LOC105844462, Hydra|LOC124814664, Hydra|LOC124806794, Hydra|LOC124812446, Hydra|LOC124817980, Hydra|LOC124812220, Hydra|LOC124809128	Nematostella|LOC116615474
OG0000119	Hydra|LOC101234692	Nematostella|LOC116615063, Nematostella|LOC5509978
OG0000121	Hydra|LOC100202816, Hydra|LOC100205025, Hydra|LOC100209153	Nematostella|LOC5516499, Nematostella|LOC116620688, Nematostella|LOC5516497, Nematostella|LOC5509419
OG0000122	Hydra|LOC124810947, Hydra|LOC105848627, Hydra|LOC124811209	Nematostella|LOC5510381
OG0000122	Hydra|LOC105844545, Hydra|LOC101235663	Nematostella|LOC125561140
OG0000122	Hydra|LOC124806064, Hydra|LOC101237068	Nematostella|LOC116601583
OG0000135	Hydra|LOC105843177	Nematostella|LOC5502632, Nematostella|LOC5507628, Nematostella|LOC5505651, Nematostella|LOC5510410, Nematostella|LOC5505886, Nematostella|LOC5505650, Nematostella|LOC5502628, Nematostella|LOC5508959, Nematostella|LOC5504972, Nematostella|LOC116616008, Nematostella|LOC5504116, Nematostella|LOC116613566, Nematostella|LOC5513980
OG0000136	Hydra|LOC101236484	Nematostella|LOC116618386, Nematostella|LOC116616022
OG0000139	Hydra|LOC101234992, Hydra|LOC105846869	Nematostella|LOC125559101, Nematostella|LOC116620099, Nematostella|LOC116606194, Nematostella|LOC116610903, Nematostella|LOC125567845, Nematostella|LOC116608204, Nematostella|LOC116609382, Nematostella|LOC125567854
OG0000140	Hydra|LOC105846240	Nematostella|LOC5504679
OG0000145	Hydra|LOC124817072, Hydra|LOC124812509, Hydra|LOC124813404, Hydra|LOC124814622, Hydra|LOC124808408, Hydra|LOC105846628, Hydra|LOC124809511, Hydra|LOC105848711, Hydra|LOC105847019, Hydra|LOC105845504, Hydra|LOC105845138, Hydra|LOC105848138, Hydra|LOC105850212, Hydra|LOC124816928, Hydra|LOC124816832, Hydra|LOC124806154, Hydra|LOC124815274, Hydra|LOC124806808, Hydra|LOC124817901, Hydra|LOC124817896, Hydra|LOC124819245, Hydra|LOC124806998, Hydra|LOC124815152, Hydra|LOC105845735, Hydra|LOC105847750, Hydra|LOC124815558, Hydra|LOC124814109, Hydra|LOC124815356, Hydra|LOC124809083, Hydra|LOC124810185, Hydra|LOC124809804, Hydra|LOC124811519, Hydra|LOC105847915	Nematostella|LOC125573898
OG0000149	Hydra|LOC100206107	Nematostella|LOC5502588
OG0000149	Hydra|LOC124805805, Hydra|LOC124810124, Hydra|LOC124810126, Hydra|LOC124810051, Hydra|LOC124810053, Hydra|LOC124810052, Hydra|LOC100204347, Hydra|LOC124810085, Hydra|LOC124810102, Hydra|LOC124810086, Hydra|LOC124810041	Nematostella|LOC5520604, Nematostella|LOC125557159, Nematostella|LOC5519555, Nematostella|LOC5497978, Nematostella|LOC125557162, Nematostella|LOC5497255, Nematostella|LOC5518521, Nematostella|LOC125557160, Nematostella|LOC125557143, Nematostella|LOC5520633, Nematostella|LOC116603289, Nematostella|LOC5508192, Nematostella|LOC5520529, Nematostella|LOC125559142
OG0000150	Hydra|LOC101239443, Hydra|LOC124814296	Nematostella|LOC125557096
OG0000150	Hydra|LOC124806269, Hydra|LOC124818100, Hydra|LOC124814303, Hydra|LOC101238494, Hydra|LOC100197154, Hydra|LOC101235304	Nematostella|LOC116605011, Nematostella|LOC125557540
OG0000154	Hydra|LOC100214713	Nematostella|LOC5513251
OG0000158	Hydra|LOC124817025, Hydra|LOC124813134	Nematostella|LOC5502659
OG0000161	Hydra|LOC100201439, Hydra|LOC100213181, Hydra|LOC100213432, Hydra|LOC100211071, Hydra|LOC100200291, Hydra|LOC100205024, Hydra|LOC100209038, Hydra|LOC100199600	Nematostella|LOC116618135, Nematostella|LOC5502974, Nematostella|LOC5513179
OG0000171	Hydra|LOC100209148, Hydra|LOC100207461	Nematostella|LOC5509032, Nematostella|LOC5512449, Nematostella|LOC116619410, Nematostella|LOC5504472, Nematostella|LOC5504474, Nematostella|LOC5518380, Nematostella|LOC5513501, Nematostella|LOC5505695, Nematostella|LOC5521144
OG0000171	Hydra|LOC101240094	Nematostella|LOC5514520, Nematostella|LOC5515632
OG0000172	Hydra|LOC100200070, Hydra|LOC100210824, Hydra|LOC100214004, Hydra|LOC100211747, Hydra|LOC100204251, Hydra|LOC100214342, Hydra|LOC100204542, Hydra|LOC100208696, Hydra|LOC105844189, Hydra|LOC100197723	Nematostella|LOC5517441, Nematostella|LOC5519744, Nematostella|LOC5517140, Nematostella|LOC5510177
OG0000182	Hydra|LOC124808522	Nematostella|LOC116605833, Nematostella|LOC116601475
OG0000183	Hydra|LOC105847108	Nematostella|LOC5501306
OG0000183	Hydra|LOC100202075, Hydra|LOC105844007	Nematostella|LOC5512736, Nematostella|LOC5520157, Nematostella|LOC5516328, Nematostella|LOC5514210
OG0000187	Hydra|LOC124818782, Hydra|LOC124817773, Hydra|LOC124808398, Hydra|LOC124815840, Hydra|LOC124819175	Nematostella|LOC125561166, Nematostella|LOC116610226, Nematostella|LOC125559884, Nematostella|LOC125556769, Nematostella|LOC125561799, Nematostella|LOC125558965, Nematostella|LOC125561744, Nematostella|LOC116615683, Nematostella|LOC116615661, Nematostella|LOC125559956, Nematostella|LOC125561972, Nematostella|LOC125563176
OG0000191	Hydra|LOC101237290, Hydra|LOC100203903, Hydra|LOC100205142, Hydra|LOC101241511, Hydra|LOC100201535, Hydra|LOC101237418	Nematostella|LOC5515983, Nematostella|LOC5501704, Nematostella|LOC5504504, Nematostella|LOC5520089, Nematostella|LOC5506502, Nematostella|LOC5504192, Nematostella|LOC116611056
OG0000199	Hydra|LOC100210520, Hydra|LOC100210347	Nematostella|LOC116614913, Nematostella|LOC5507995, Nematostella|LOC5500783, Nematostella|LOC5511845, Nematostella|LOC5502715, Nematostella|LOC5504664, Nematostella|LOC5521670, Nematostella|LOC5521669, Nematostella|LOC125559343, Nematostella|LOC116614912, Nematostella|LOC125561029, Nematostella|LOC116614904, Nematostella|LOC5507773, Nematostella|LOC116613843
OG0000201	Hydra|LOC101234800, Hydra|LOC101235379, Hydra|LOC124818168, Hydra|LOC124818652, Hydra|LOC124818169, Hydra|LOC124818171, Hydra|LOC105844596, Hydra|LOC124818240	Nematostella|LOC5517676, Nematostella|LOC5517812, Nematostella|LOC5511168
OG0000205	Hydra|LOC101241012	Nematostella|LOC5498275
OG0000205	Hydra|LOC100198109, Hydra|LOC105847945, Hydra|LOC100212356, Hydra|LOC100208489, Hydra|LOC100206775, Hydra|LOC100201407	Nematostella|LOC5520298
OG0000205	Hydra|LOC100206086	Nematostella|LOC5514680
OG0000207	Hydra|LOC124807767, Hydra|LOC101234864, Hydra|LOC124814854, Hydra|LOC124819027, Hydra|LOC124814953, Hydra|LOC124806389, Hydra|LOC101239093, Hydra|LOC124814876	Nematostella|LOC116603562
OG0000214	Hydra|LOC100202124, Hydra|LOC100214606, Hydra|LOC100210361, Hydra|LOC100200773, Hydra|LOC100204287, Hydra|LOC100208387, Hydra|LOC100211315	Nematostella|LOC5512777, Nematostella|LOC116614000
OG0000218	Hydra|LOC100199496, Hydra|LOC100199604	Nematostella|LOC5517507
OG0000219	Hydra|LOC100201053, Hydra|LOC100197241, Hydra|LOC101240448, Hydra|LOC124806999	Nematostella|LOC125561228, Nematostella|LOC5504566
OG0000220	Hydra|LOC124813933	Nematostella|LOC116617947, Nematostella|LOC125559150, Nematostella|LOC125573175, Nematostella|LOC116618592
OG0000221	Hydra|LOC105843802, Hydra|LOC124816024, Hydra|LOC105844459, Hydra|LOC105844903, Hydra|LOC124805799, Hydra|LOC101236864	Nematostella|LOC5513029, Nematostella|LOC125568323, Nematostella|LOC5520836, Nematostella|LOC5520880, Nematostella|LOC5520783, Nematostella|LOC5520786, Nematostella|LOC5521044, Nematostella|LOC5510002, Nematostella|LOC5508256, Nematostella|LOC5507022
OG0000222	Hydra|LOC101234955	Nematostella|LOC5515125, Nematostella|LOC5518988, Nematostella|LOC5511362, Nematostella|LOC5512427, Nematostella|LOC116618127, Nematostella|LOC5504983, Nematostella|LOC5513879, Nematostella|LOC116616361
