Orthogroup	longest_isoform_HydraProteins	longest_isoform_ClytiaProteins
OG0000037	Hydra|LOC124807742, Hydra|LOC124815457, Hydra|LOC105845174, Hydra|LOC124809142, Hydra|LOC105843872, Hydra|LOC124812137, Hydra|LOC124806497, Hydra|LOC124814087, Hydra|LOC124809173, Hydra|LOC124807610, Hydra|LOC124813145, Hydra|LOC124810296, Hydra|LOC124812089, Hydra|LOC124806627, Hydra|LOC105845505, Hydra|LOC124809134, Hydra|LOC124812727, Hydra|LOC124807875, Hydra|LOC124812663, Hydra|LOC124812444, Hydra|LOC124810139, Hydra|LOC124813685, Hydra|LOC124816195, Hydra|LOC124810589, Hydra|LOC124810610, Hydra|LOC124805773, Hydra|LOC124807482, Hydra|LOC124808925, Hydra|LOC124808926, Hydra|LOC124807261, Hydra|LOC105849071, Hydra|LOC105843508, Hydra|LOC100202567, Hydra|LOC124812088, Hydra|LOC124807652, Hydra|LOC105850375, Hydra|LOC124810033, Hydra|LOC124806439, Hydra|LOC124808404, Hydra|LOC124812155, Hydra|LOC105844476, Hydra|LOC124806484, Hydra|LOC124812450, Hydra|LOC124816532, Hydra|LOC124811607, Hydra|LOC124816708, Hydra|LOC124813462, Hydra|LOC124807873, Hydra|LOC124814520, Hydra|LOC124813777, Hydra|LOC124816464, Hydra|LOC124810316, Hydra|LOC124807935	Clytia|LOC_006347
OG0000038	Hydra|LOC105849896, Hydra|LOC101236124, Hydra|LOC101241209, Hydra|LOC105849797, Hydra|LOC101241798, Hydra|LOC101238699, Hydra|LOC101240221, Hydra|LOC105843656, Hydra|LOC101239129, Hydra|LOC101236254, Hydra|LOC101239770, Hydra|LOC124808611, Hydra|LOC101235500, Hydra|LOC101235687, Hydra|LOC101239603, Hydra|LOC101238386, Hydra|LOC124815232, Hydra|LOC124813908, Hydra|LOC124817248, Hydra|LOC101238402, Hydra|LOC101237398, Hydra|LOC101235608, Hydra|LOC100212569, Hydra|LOC101235699, Hydra|LOC124807571	Clytia|LOC_020435, Clytia|LOC_026073
OG0000041	Hydra|LOC124817196, Hydra|LOC124809037, Hydra|LOC124815851, Hydra|LOC124807156, Hydra|LOC124809009, Hydra|LOC124817065, Hydra|LOC124819302, Hydra|LOC124816091, Hydra|LOC124814567, Hydra|LOC124814502, Hydra|LOC124806913, Hydra|LOC124818784, Hydra|LOC100214618, Hydra|LOC100205216, Hydra|LOC124815351, Hydra|LOC124817120, Hydra|LOC124817114, Hydra|LOC124816344, Hydra|LOC124815454, Hydra|LOC124814093, Hydra|LOC100212395, Hydra|LOC124811660, Hydra|LOC124808592, Hydra|LOC124817124, Hydra|LOC124812664, Hydra|LOC124807268, Hydra|LOC100200387, Hydra|LOC124814551, Hydra|LOC124818777, Hydra|LOC100215876, Hydra|LOC100202948, Hydra|LOC100202891, Hydra|LOC100197137, Hydra|LOC124814016, Hydra|LOC124819113, Hydra|LOC124814952, Hydra|LOC124815701, Hydra|LOC124807396, Hydra|LOC105851009, Hydra|LOC124811265, Hydra|LOC100207340, Hydra|LOC124818985	Clytia|LOC_028192, Clytia|LOC_001404
OG0000041	Hydra|LOC124805951, Hydra|LOC105848553, Hydra|LOC124809192	Clytia|LOC_016809, Clytia|LOC_005088
OG0000047	Hydra|LOC124808554, Hydra|LOC105844759, Hydra|LOC100203216	Clytia|LOC_032826, Clytia|LOC_005929, Clytia|LOC_025378
OG0000047	Hydra|LOC124811288, Hydra|LOC124816221	Clytia|LOC_005930, Clytia|LOC_043586, Clytia|LOC_032625, Clytia|LOC_021234, Clytia|LOC_040508, Clytia|LOC_041536, Clytia|LOC_018138, Clytia|LOC_025036, Clytia|LOC_006737, Clytia|LOC_035375, Clytia|LOC_019485, Clytia|LOC_037230, Clytia|LOC_015820
OG0000047	Hydra|LOC124812491	Clytia|LOC_022998, Clytia|LOC_014620, Clytia|LOC_014247, Clytia|LOC_018337
OG0000047	Hydra|LOC124814052	Clytia|LOC_011860, Clytia|LOC_041735, Clytia|LOC_007894, Clytia|LOC_004499, Clytia|LOC_018799, Clytia|LOC_026116, Clytia|LOC_040030, Clytia|LOC_025745, Clytia|LOC_022595, Clytia|LOC_012799, Clytia|LOC_011587, Clytia|LOC_011242, Clytia|LOC_017033, Clytia|LOC_006248, Clytia|LOC_008571
OG0000049	Hydra|LOC124815975	Clytia|LOC_000359
OG0000049	Hydra|LOC101239839, Hydra|LOC100203231, Hydra|LOC101235926, Hydra|LOC124808567, Hydra|LOC105851025, Hydra|LOC124816125, Hydra|LOC101238960	Clytia|LOC_006090
OG0000050	Hydra|LOC124811434, Hydra|LOC101237371, Hydra|LOC124810861, Hydra|LOC124814340, Hydra|LOC101241515, Hydra|LOC105851030, Hydra|LOC124812318, Hydra|LOC124819165, Hydra|LOC124816028, Hydra|LOC101240057, Hydra|LOC101235303, Hydra|LOC105846491, Hydra|LOC101236144, Hydra|LOC124819177, Hydra|LOC124813759, Hydra|LOC101238994, Hydra|LOC101235643, Hydra|LOC105849119, Hydra|LOC100201776, Hydra|LOC101241427, Hydra|LOC105846680, Hydra|LOC124811353, Hydra|LOC124816740, Hydra|LOC124806216	Clytia|LOC_031188, Clytia|LOC_018743, Clytia|LOC_012577
OG0000052	Hydra|LOC124810088, Hydra|LOC124810087	Clytia|LOC_003985
OG0000055	Hydra|LOC100198982, Hydra|LOC100201245, Hydra|LOC100208378, Hydra|LOC101240164, Hydra|LOC100199379	Clytia|LOC_037309, Clytia|LOC_011687, Clytia|LOC_031115, Clytia|LOC_014757, Clytia|LOC_019574
OG0000056	Hydra|LOC100212279, Hydra|LOC105850026, Hydra|LOC105843886, Hydra|LOC105843885, Hydra|LOC100199100, Hydra|LOC100215485, Hydra|LOC100202932, Hydra|LOC100203996, Hydra|LOC100215883, Hydra|LOC124817534, Hydra|LOC100210439, Hydra|LOC105850171	Clytia|LOC_040257, Clytia|LOC_044510, Clytia|LOC_032863, Clytia|LOC_009882, Clytia|LOC_016972, Clytia|LOC_041403
OG0000057	Hydra|LOC100211639, Hydra|LOC100204569	Clytia|LOC_044383
OG0000057	Hydra|LOC105844836	Clytia|LOC_020267
OG0000057	Hydra|LOC101240655	Clytia|LOC_032661
OG0000058	Hydra|LOC100208117, Hydra|LOC100209370, Hydra|LOC100211643, Hydra|LOC100206280, Hydra|LOC100212715, Hydra|LOC100207137, Hydra|LOC100198645, Hydra|LOC100200047, Hydra|LOC100200125, Hydra|LOC100215544, Hydra|LOC100205851	Clytia|LOC_009218
OG0000058	Hydra|LOC100204781	Clytia|LOC_001448
OG0000059	Hydra|LOC124807794	Clytia|LOC_009758
OG0000064	Hydra|LOC100198560	Clytia|LOC_030566
OG0000064	Hydra|LOC101238122	Clytia|LOC_004460
OG0000070	Hydra|LOC100199035, Hydra|LOC100208692, Hydra|LOC100208013, Hydra|LOC101236318, Hydra|LOC100209933, Hydra|LOC100214511, Hydra|LOC100210485, Hydra|LOC100213639, Hydra|LOC100202831, Hydra|LOC100205467	Clytia|LOC_003863, Clytia|LOC_023129, Clytia|LOC_019571, Clytia|LOC_024647, Clytia|LOC_043392, Clytia|LOC_018545, Clytia|LOC_043942, Clytia|LOC_012194, Clytia|LOC_028028, Clytia|LOC_015165, Clytia|LOC_015176, Clytia|LOC_043391, Clytia|LOC_028822, Clytia|LOC_018076, Clytia|LOC_012657
OG0000071	Hydra|LOC101238762, Hydra|LOC100203937, Hydra|LOC100197148, Hydra|LOC105847586, Hydra|LOC100214107, Hydra|LOC100208450, Hydra|LOC100213839, Hydra|LOC100207051, Hydra|LOC105843386, Hydra|LOC105847748, Hydra|LOC100205608, Hydra|LOC100197328, Hydra|LOC101236989, Hydra|LOC100210397, Hydra|LOC100199090, Hydra|LOC101237406, Hydra|LOC105848477, Hydra|LOC100203405, Hydra|LOC105844737, Hydra|LOC101238025, Hydra|LOC105849732, Hydra|LOC105847520, Hydra|LOC105844194, Hydra|LOC105844851, Hydra|LOC124807279, Hydra|LOC105846743, Hydra|LOC105847007, Hydra|LOC124807548, Hydra|LOC105846130, Hydra|LOC100210254, Hydra|LOC124807298, Hydra|LOC124807041, Hydra|LOC124806850, Hydra|LOC124807047, Hydra|LOC105847441, Hydra|LOC105847694, Hydra|LOC124815391	Clytia|LOC_016497, Clytia|LOC_015138, Clytia|LOC_012974, Clytia|LOC_040493, Clytia|LOC_006069, Clytia|LOC_004166, Clytia|LOC_012975
OG0000072	Hydra|LOC105843185	Clytia|LOC_020657
OG0000076	Hydra|LOC100197513, Hydra|LOC100200835, Hydra|LOC100206745	Clytia|LOC_006659, Clytia|LOC_011074
OG0000076	Hydra|LOC100204469	Clytia|LOC_045131, Clytia|LOC_045140
OG0000077	Hydra|LOC124808598, Hydra|LOC124811869, Hydra|LOC124808754, Hydra|LOC124810962, Hydra|LOC124809876, Hydra|LOC124815272, Hydra|LOC124811656, Hydra|LOC124808806, Hydra|LOC124816679, Hydra|LOC105849695, Hydra|LOC105848780, Hydra|LOC105844707, Hydra|LOC124816781, Hydra|LOC124817732, Hydra|LOC124813387, Hydra|LOC124808933, Hydra|LOC124815154, Hydra|LOC124807677, Hydra|LOC105844517, Hydra|LOC100210922, Hydra|LOC105845298, Hydra|LOC105850492, Hydra|LOC124809454, Hydra|LOC124807181, Hydra|LOC124811372, Hydra|LOC105845273, Hydra|LOC124812705, Hydra|LOC124811548, Hydra|LOC105847862, Hydra|LOC105850655, Hydra|LOC124807634, Hydra|LOC105845150, Hydra|LOC124811646, Hydra|LOC124810435, Hydra|LOC124812194, Hydra|LOC124814630, Hydra|LOC105846786, Hydra|LOC105850987, Hydra|LOC105845582, Hydra|LOC105844956, Hydra|LOC124817647, Hydra|LOC124807902	Clytia|LOC_021580
OG0000087	Hydra|LOC124814947	Clytia|LOC_023522
OG0000095	Hydra|LOC124817479, Hydra|LOC101234480, Hydra|LOC124805861	Clytia|LOC_027553, Clytia|LOC_037347, Clytia|LOC_037702, Clytia|LOC_016564, Clytia|LOC_007721, Clytia|LOC_041773, Clytia|LOC_033017, Clytia|LOC_021736
OG0000096	Hydra|LOC124818226	Clytia|LOC_027348
OG0000097	Hydra|LOC101235243, Hydra|LOC100197458, Hydra|LOC105843824, Hydra|LOC100204018, Hydra|LOC100199462, Hydra|LOC100205528, Hydra|LOC124813588, Hydra|LOC124813587, Hydra|LOC100202946, Hydra|LOC124813591, Hydra|LOC100199246, Hydra|LOC100211336, Hydra|LOC124813270, Hydra|LOC124813271, Hydra|LOC124813272, Hydra|LOC124813273, Hydra|LOC124808990, Hydra|LOC100200369, Hydra|LOC124808989, Hydra|LOC124808835, Hydra|LOC100214931, Hydra|LOC100211409	Clytia|LOC_005362, Clytia|LOC_026732
OG0000099	Hydra|LOC100198789, Hydra|LOC100208992, Hydra|LOC124807958, Hydra|LOC101234986, Hydra|LOC100200794	Clytia|LOC_038973, Clytia|LOC_042141, Clytia|LOC_033871, Clytia|LOC_007234
OG0000099	Hydra|LOC101238906, Hydra|LOC100205679, Hydra|LOC124816533, Hydra|LOC105845703, Hydra|LOC105850458, Hydra|LOC124809446, Hydra|LOC105849325	Clytia|LOC_002257
OG0000101	Hydra|LOC105847405, Hydra|LOC124807874, Hydra|LOC100202594, Hydra|LOC105849163, Hydra|LOC105850477, Hydra|LOC105849833, Hydra|LOC100202526, Hydra|LOC105846394, Hydra|LOC100200487, Hydra|LOC100205967, Hydra|LOC105847111, Hydra|LOC105847937, Hydra|LOC100197853, Hydra|LOC105850058, Hydra|LOC105847567, Hydra|LOC124817013, Hydra|LOC124808112	Clytia|LOC_044821, Clytia|LOC_044777
OG0000101	Hydra|LOC100211975, Hydra|LOC105847963	Clytia|LOC_010824, Clytia|LOC_044779
OG0000102	Hydra|LOC105845506, Hydra|LOC100204385, Hydra|LOC100210029, Hydra|LOC100197985, Hydra|LOC100203529, Hydra|LOC124814554	Clytia|LOC_044518, Clytia|LOC_036827
OG0000106	Hydra|LOC124813372, Hydra|LOC124807592	Clytia|LOC_014477, Clytia|LOC_007985, Clytia|LOC_005886, Clytia|LOC_017506, Clytia|LOC_038046, Clytia|LOC_033919, Clytia|LOC_003385, Clytia|LOC_034030, Clytia|LOC_003391, Clytia|LOC_012939, Clytia|LOC_007502, Clytia|LOC_018677, Clytia|LOC_024246, Clytia|LOC_023307, Clytia|LOC_009186, Clytia|LOC_034001, Clytia|LOC_039556, Clytia|LOC_013772, Clytia|LOC_020659, Clytia|LOC_020245, Clytia|LOC_026904, Clytia|LOC_002881, Clytia|LOC_028031, Clytia|LOC_009548, Clytia|LOC_029451, Clytia|LOC_031028, Clytia|LOC_027850, Clytia|LOC_040638, Clytia|LOC_029717, Clytia|LOC_007099, Clytia|LOC_004538, Clytia|LOC_017776
OG0000107	Hydra|LOC124810516	Clytia|LOC_024146, Clytia|LOC_005994, Clytia|LOC_042515, Clytia|LOC_010498, Clytia|LOC_027659, Clytia|LOC_041537, Clytia|LOC_014232, Clytia|LOC_019802, Clytia|LOC_016658, Clytia|LOC_032628, Clytia|LOC_016723, Clytia|LOC_025950, Clytia|LOC_024172, Clytia|LOC_025062, Clytia|LOC_039589, Clytia|LOC_021436, Clytia|LOC_007828, Clytia|LOC_016568, Clytia|LOC_021898, Clytia|LOC_032605, Clytia|LOC_027924, Clytia|LOC_041220, Clytia|LOC_016409, Clytia|LOC_037229, Clytia|LOC_018704, Clytia|LOC_018908, Clytia|LOC_024081, Clytia|LOC_033673, Clytia|LOC_006247, Clytia|LOC_033677, Clytia|LOC_035348, Clytia|LOC_005931, Clytia|LOC_019056, Clytia|LOC_021413, Clytia|LOC_024929, Clytia|LOC_015087, Clytia|LOC_031590
OG0000114	Hydra|LOC124809990, Hydra|LOC124807036, Hydra|LOC124819117, Hydra|LOC124817223, Hydra|LOC124815623	Clytia|LOC_023088, Clytia|LOC_007705, Clytia|LOC_020880, Clytia|LOC_032961, Clytia|LOC_021237, Clytia|LOC_025827
OG0000116	Hydra|LOC105844919, Hydra|LOC105844462, Hydra|LOC124814664, Hydra|LOC124806794, Hydra|LOC124812446, Hydra|LOC124817980, Hydra|LOC124812220, Hydra|LOC124809128	Clytia|LOC_020176
OG0000119	Hydra|LOC101241120	Clytia|LOC_013647
OG0000119	Hydra|LOC101234692	Clytia|LOC_038551, Clytia|LOC_003858, Clytia|LOC_033110, Clytia|LOC_017073
OG0000121	Hydra|LOC100202816	Clytia|LOC_013247
OG0000121	Hydra|LOC100205025, Hydra|LOC100209153	Clytia|LOC_034546, Clytia|LOC_034547, Clytia|LOC_034548
OG0000122	Hydra|LOC124806064, Hydra|LOC101237068	Clytia|LOC_016389
OG0000123	Hydra|LOC124806254, Hydra|LOC124808501, Hydra|LOC124815199, Hydra|LOC101240833, Hydra|LOC101241821, Hydra|LOC101237033, Hydra|LOC105846156, Hydra|LOC101234688, Hydra|LOC124812486, Hydra|LOC101238091, Hydra|LOC101235674, Hydra|LOC101239035, Hydra|LOC101241129, Hydra|LOC101239844, Hydra|LOC124808626, Hydra|LOC101240727, Hydra|LOC124816275, Hydra|LOC101234312, Hydra|LOC124811226, Hydra|LOC124811219, Hydra|LOC101239024, Hydra|LOC124812007, Hydra|LOC101240443, Hydra|LOC101237152, Hydra|LOC124812697, Hydra|LOC101237545, Hydra|LOC124811202, Hydra|LOC101235352, Hydra|LOC124807032, Hydra|LOC105844004, Hydra|LOC124809425, Hydra|LOC124815093, Hydra|LOC101238692, Hydra|LOC101238977, Hydra|LOC101241640	Clytia|LOC_034279
OG0000135	Hydra|LOC105843177	Clytia|LOC_000978, Clytia|LOC_001011
OG0000136	Hydra|LOC101236484	Clytia|LOC_009005
OG0000138	Hydra|LOC124818227, Hydra|LOC124810394, Hydra|LOC124816785	Clytia|LOC_027347, Clytia|LOC_035704
OG0000139	Hydra|LOC101234992, Hydra|LOC105846869	Clytia|LOC_020618
OG0000140	Hydra|LOC105846240	Clytia|LOC_036855
OG0000149	Hydra|LOC124805805, Hydra|LOC124810124, Hydra|LOC124810126, Hydra|LOC124810051, Hydra|LOC124810053, Hydra|LOC124810052, Hydra|LOC100204347, Hydra|LOC124810085, Hydra|LOC124810102, Hydra|LOC124810086, Hydra|LOC124810041	Clytia|LOC_009534
OG0000150	Hydra|LOC101239443, Hydra|LOC124814296	Clytia|LOC_017886
OG0000154	Hydra|LOC100214713	Clytia|LOC_039418
OG0000158	Hydra|LOC124817025	Clytia|LOC_022281
OG0000158	Hydra|LOC124813134	Clytia|LOC_022893, Clytia|LOC_022894, Clytia|LOC_042747, Clytia|LOC_011790, Clytia|LOC_018100
OG0000158	Hydra|LOC124817998	Clytia|LOC_036421
OG0000158	Hydra|LOC124818088	Clytia|LOC_027385
OG0000158	Hydra|LOC124805886	Clytia|LOC_018092, Clytia|LOC_036278
OG0000161	Hydra|LOC100205024, Hydra|LOC100209038	Clytia|LOC_035657, Clytia|LOC_020579
OG0000162	Hydra|LOC105845415, Hydra|LOC124809061, Hydra|LOC124815819, Hydra|LOC124806664, Hydra|LOC124817561, Hydra|LOC105850241, Hydra|LOC124817429, Hydra|LOC105846026, Hydra|LOC124815702, Hydra|LOC124811105, Hydra|LOC124811266, Hydra|LOC124815291, Hydra|LOC105848041, Hydra|LOC124817101, Hydra|LOC124812544, Hydra|LOC124814951, Hydra|LOC124807999, Hydra|LOC105846274, Hydra|LOC124809082, Hydra|LOC124810637, Hydra|LOC124814637, Hydra|LOC124814844, Hydra|LOC124814116, Hydra|LOC124806961, Hydra|LOC124813948, Hydra|LOC124818154, Hydra|LOC124815804, Hydra|LOC124807522	Clytia|LOC_026733
OG0000171	Hydra|LOC100209148, Hydra|LOC100207461	Clytia|LOC_010525, Clytia|LOC_013644, Clytia|LOC_013785
OG0000171	Hydra|LOC101240094	Clytia|LOC_017940, Clytia|LOC_004093, Clytia|LOC_004092
OG0000172	Hydra|LOC100200070, Hydra|LOC100210824, Hydra|LOC100214004, Hydra|LOC100211747, Hydra|LOC100204251, Hydra|LOC100214342, Hydra|LOC100204542, Hydra|LOC100208696, Hydra|LOC105844189, Hydra|LOC100197723	Clytia|LOC_036838, Clytia|LOC_029414, Clytia|LOC_007993, Clytia|LOC_040448
OG0000181	Hydra|LOC100199767	Clytia|LOC_018765, Clytia|LOC_002562, Clytia|LOC_014700, Clytia|LOC_014689, Clytia|LOC_008546, Clytia|LOC_001455, Clytia|LOC_004883, Clytia|LOC_001454, Clytia|LOC_001493, Clytia|LOC_001492, Clytia|LOC_018768, Clytia|LOC_009350, Clytia|LOC_001420, Clytia|LOC_014688, Clytia|LOC_018763, Clytia|LOC_018766, Clytia|LOC_013298, Clytia|LOC_013308, Clytia|LOC_013309, Clytia|LOC_010820, Clytia|LOC_005300, Clytia|LOC_017683, Clytia|LOC_006384, Clytia|LOC_043267, Clytia|LOC_010993, Clytia|LOC_033091
OG0000182	Hydra|LOC124814729, Hydra|LOC124815970, Hydra|LOC124807117, Hydra|LOC124809126	Clytia|LOC_036516, Clytia|LOC_001657
OG0000182	Hydra|LOC124808522	Clytia|LOC_036517, Clytia|LOC_023081, Clytia|LOC_028614, Clytia|LOC_018844, Clytia|LOC_042036, Clytia|LOC_025985, Clytia|LOC_009220
OG0000182	Hydra|LOC124817661, Hydra|LOC124816290, Hydra|LOC105848552	Clytia|LOC_026019, Clytia|LOC_032908, Clytia|LOC_024346
OG0000183	Hydra|LOC105847108	Clytia|LOC_002151
OG0000183	Hydra|LOC100202075, Hydra|LOC105844007	Clytia|LOC_007968, Clytia|LOC_011732
OG0000187	Hydra|LOC124818782, Hydra|LOC124817773, Hydra|LOC124808398, Hydra|LOC124815840	Clytia|LOC_012759
OG0000187	Hydra|LOC124819175	Clytia|LOC_020952, Clytia|LOC_006913, Clytia|LOC_016922
OG0000189	Hydra|LOC105843051, Hydra|LOC124806290, Hydra|LOC124808890, Hydra|LOC124812077, Hydra|LOC124812076, Hydra|LOC124811036, Hydra|LOC124811037, Hydra|LOC124810944, Hydra|LOC105850318, Hydra|LOC124816845, Hydra|LOC105845879, Hydra|LOC124818510, Hydra|LOC124807723, Hydra|LOC124818598, Hydra|LOC124808443, Hydra|LOC124819321, Hydra|LOC124812506, Hydra|LOC124815512, Hydra|LOC124812078, Hydra|LOC100210356, Hydra|LOC124807772, Hydra|LOC124806289, Hydra|LOC100203912, Hydra|LOC124816284, Hydra|LOC124811174, Hydra|LOC124811173	Clytia|LOC_011151, Clytia|LOC_016571, Clytia|LOC_016487
OG0000190	Hydra|LOC124808627	Clytia|LOC_023819, Clytia|LOC_020840, Clytia|LOC_027512, Clytia|LOC_027341, Clytia|LOC_032511, Clytia|LOC_025012, Clytia|LOC_011983, Clytia|LOC_016941, Clytia|LOC_032213, Clytia|LOC_016144, Clytia|LOC_023005, Clytia|LOC_040833
OG0000190	Hydra|LOC124819132	Clytia|LOC_027398
OG0000190	Hydra|LOC124810639	Clytia|LOC_038726
OG0000191	Hydra|LOC101237290, Hydra|LOC100203903, Hydra|LOC100205142, Hydra|LOC101241511, Hydra|LOC100201535, Hydra|LOC101237418	Clytia|LOC_044011, Clytia|LOC_013758, Clytia|LOC_038024, Clytia|LOC_041071
OG0000192	Hydra|LOC105848735, Hydra|LOC105847728, Hydra|LOC124814037, Hydra|LOC124815168, Hydra|LOC124816083, Hydra|LOC124807462, Hydra|LOC124809805, Hydra|LOC124809813, Hydra|LOC124815510, Hydra|LOC124809366, Hydra|LOC124813494, Hydra|LOC124808546, Hydra|LOC124814454, Hydra|LOC124814041, Hydra|LOC124806299, Hydra|LOC124811455, Hydra|LOC124809178, Hydra|LOC124808588, Hydra|LOC124816690, Hydra|LOC124816603, Hydra|LOC124808749, Hydra|LOC124818983, Hydra|LOC124813740, Hydra|LOC124813739, Hydra|LOC124808790, Hydra|LOC124813311, Hydra|LOC124806542, Hydra|LOC124814071, Hydra|LOC124815703	Clytia|LOC_033128
OG0000198	Hydra|LOC100198301, Hydra|LOC105848097, Hydra|LOC100198266, Hydra|LOC100210114, Hydra|LOC100206560, Hydra|LOC124816021, Hydra|LOC124815485, Hydra|LOC105848060, Hydra|LOC124815483, Hydra|LOC105848059, Hydra|LOC100212264, Hydra|LOC105843370, Hydra|LOC100214927, Hydra|LOC124817284, Hydra|LOC101241671, Hydra|LOC105848315, Hydra|LOC100209302, Hydra|LOC100204079, Hydra|LOC105846252, Hydra|LOC124815817, Hydra|LOC105844145	Clytia|LOC_010119, Clytia|LOC_000685, Clytia|LOC_027623, Clytia|LOC_000634, Clytia|LOC_000635, Clytia|LOC_036720
OG0000199	Hydra|LOC100210520	Clytia|LOC_037757
OG0000199	Hydra|LOC100210347	Clytia|LOC_001458, Clytia|LOC_014192
OG0000201	Hydra|LOC101234800	Clytia|LOC_002457
OG0000201	Hydra|LOC101235379, Hydra|LOC124818168, Hydra|LOC124818652, Hydra|LOC124818169, Hydra|LOC124818171	Clytia|LOC_010572
OG0000201	Hydra|LOC105844596, Hydra|LOC124818240	Clytia|LOC_042021
OG0000203	Hydra|LOC105845451, Hydra|LOC105846532, Hydra|LOC124806214	Clytia|LOC_006283
OG0000204	Hydra|LOC124810952	Clytia|LOC_011197, Clytia|LOC_031082
OG0000205	Hydra|LOC101241012	Clytia|LOC_033080
OG0000205	Hydra|LOC105847945, Hydra|LOC100212356, Hydra|LOC100208489, Hydra|LOC100206775, Hydra|LOC100201407	Clytia|LOC_014280
