Orthogroup	longest_isoform_HydraProteins	longest_isoform_XeniaProteins
OG0000172	Hydra|LOC100200070, Hydra|LOC100210824, Hydra|LOC100214004, Hydra|LOC100211747, Hydra|LOC100204251, Hydra|LOC100214342, Hydra|LOC100204542, Hydra|LOC100208696, Hydra|LOC105844189, Hydra|LOC100197723	Xenia|LOC124446156, Xenia|LOC124446044, Xenia|LOC124441661, Xenia|LOC124442295, Xenia|LOC124441659, Xenia|LOC124442292
OG0000182	Hydra|LOC124814729, Hydra|LOC124815970, Hydra|LOC124807117, Hydra|LOC124809126	Xenia|LOC124448498, Xenia|LOC124454014, Xenia|LOC124447078, Xenia|LOC124438959, Xenia|LOC124455760, Xenia|LOC124459156
OG0000182	Hydra|LOC124808522	Xenia|LOC124449684, Xenia|LOC124456773
OG0000183	Hydra|LOC105847108	Xenia|LOC124445830
OG0000183	Hydra|LOC100202075, Hydra|LOC105844007	Xenia|LOC124454260, Xenia|LOC124454518, Xenia|LOC124454261, Xenia|LOC124454193, Xenia|LOC124454194, Xenia|LOC124454168, Xenia|LOC124454166, Xenia|LOC124455089, Xenia|LOC124454158, Xenia|LOC124451095
OG0000191	Hydra|LOC101237290, Hydra|LOC100203903, Hydra|LOC100205142, Hydra|LOC101241511, Hydra|LOC100201535, Hydra|LOC101237418	Xenia|LOC124444466, Xenia|LOC124444460, Xenia|LOC124444599, Xenia|LOC124444459, Xenia|LOC124440526
OG0000199	Hydra|LOC100210520, Hydra|LOC100210347	Xenia|LOC124451509
OG0000201	Hydra|LOC101234800, Hydra|LOC101235379, Hydra|LOC124818168, Hydra|LOC124818652, Hydra|LOC124818169, Hydra|LOC124818171, Hydra|LOC105844596, Hydra|LOC124818240	Xenia|LOC124446271
OG0000203	Hydra|LOC105845451, Hydra|LOC105846532, Hydra|LOC124806214	Xenia|LOC124434644, Xenia|LOC124458387, Xenia|LOC124456427, Xenia|LOC124435926, Xenia|LOC124441539, Xenia|LOC124435924, Xenia|LOC124454916, Xenia|LOC124434562, Xenia|LOC124455150, Xenia|LOC124445564
OG0000205	Hydra|LOC101241012	Xenia|LOC124436233
OG0000208	Hydra|LOC100203226	Xenia|LOC124458361
OG0000214	Hydra|LOC100202124, Hydra|LOC100214606, Hydra|LOC100210361, Hydra|LOC100200773, Hydra|LOC100204287, Hydra|LOC100208387, Hydra|LOC100211315	Xenia|LOC124444458, Xenia|LOC124443640, Xenia|LOC124458224, Xenia|LOC124443768, Xenia|LOC124443476
OG0000219	Hydra|LOC100201053, Hydra|LOC100197241, Hydra|LOC101240448, Hydra|LOC124806999	Xenia|LOC124449141, Xenia|LOC124442228, Xenia|LOC124441475
OG0000220	Hydra|LOC124813933	Xenia|LOC124452530, Xenia|LOC124452177, Xenia|LOC124444586
OG0000220	Hydra|LOC124811158, Hydra|LOC124812545, Hydra|LOC124818113, Hydra|LOC101236360, Hydra|LOC124813989	Xenia|LOC124456439, Xenia|LOC124436110
OG0000221	Hydra|LOC105843802, Hydra|LOC124816024, Hydra|LOC105844459, Hydra|LOC105844903, Hydra|LOC124805799, Hydra|LOC101236864	Xenia|LOC124442944, Xenia|LOC124438663
OG0000222	Hydra|LOC101234955	Xenia|LOC124439368, Xenia|LOC124439554, Xenia|LOC124439555, Xenia|LOC124435718
OG0000226	Hydra|LOC105844386, Hydra|LOC124819254, Hydra|LOC105845143, Hydra|LOC124816033, Hydra|LOC105847278, Hydra|LOC124816032, Hydra|LOC124810297, Hydra|LOC105844578, Hydra|LOC105850060, Hydra|LOC124816956, Hydra|LOC105846126	Xenia|LOC124435288, Xenia|LOC124437602
OG0000228	Hydra|LOC105846448, Hydra|LOC105844975	Xenia|LOC124452073, Xenia|LOC124456516, Xenia|LOC124456935, Xenia|LOC124442558
OG0000228	Hydra|LOC124815997, Hydra|LOC101237683, Hydra|LOC124807560	Xenia|LOC124457104, Xenia|LOC124435146, Xenia|LOC124453382, Xenia|LOC124439436, Xenia|LOC124441600, Xenia|LOC124457214, Xenia|LOC124453996
OG0000230	Hydra|LOC101240163	Xenia|LOC124444827, Xenia|LOC124439300, Xenia|LOC124438682, Xenia|LOC124438967, Xenia|LOC124438988, Xenia|LOC124438987, Xenia|LOC124434561
OG0000234	Hydra|LOC101238207, Hydra|LOC124810498, Hydra|LOC124817159, Hydra|LOC105843698, Hydra|LOC100211061, Hydra|LOC124809364, Hydra|LOC105843699, Hydra|LOC100207440, Hydra|LOC124815072, Hydra|LOC124811159	Xenia|LOC124451462
OG0000236	Hydra|LOC101237415, Hydra|LOC124816337, Hydra|LOC124809499, Hydra|LOC105843090, Hydra|LOC101239716, Hydra|LOC124806229, Hydra|LOC124808565, Hydra|LOC101239830, Hydra|LOC101235483, Hydra|LOC100210050, Hydra|LOC124817298, Hydra|LOC105845645, Hydra|LOC124816338, Hydra|LOC101240504, Hydra|LOC105846463, Hydra|LOC124806271, Hydra|LOC101238584, Hydra|LOC124809430, Hydra|LOC101240175, Hydra|LOC105847272, Hydra|LOC101238668, Hydra|LOC101237591, Hydra|LOC101234421, Hydra|LOC101235310, Hydra|LOC105843676, Hydra|LOC101234271	Xenia|LOC124457044, Xenia|LOC124457491
OG0000244	Hydra|LOC100207598	Xenia|LOC124449158
OG0000247	Hydra|LOC124810406, Hydra|LOC124812105, Hydra|LOC124817297, Hydra|LOC124813219, Hydra|LOC124810038, Hydra|LOC124806531, Hydra|LOC105849056, Hydra|LOC124809880, Hydra|LOC105843760, Hydra|LOC105843659, Hydra|LOC105850149, Hydra|LOC124813804, Hydra|LOC124811602, Hydra|LOC100199509, Hydra|LOC124815968, Hydra|LOC124816849, Hydra|LOC124815644, Hydra|LOC124818542, Hydra|LOC105850155, Hydra|LOC105847011, Hydra|LOC124814837	Xenia|LOC124447391, Xenia|LOC124452124, Xenia|LOC124456882, Xenia|LOC124452068
OG0000249	Hydra|LOC100197171, Hydra|LOC100204510, Hydra|LOC100209120, Hydra|LOC100208032	Xenia|LOC124457153, Xenia|LOC124457732
OG0000261	Hydra|LOC100209288, Hydra|LOC124812583, Hydra|LOC100205022	Xenia|LOC124435231
OG0000261	Hydra|LOC100202104	Xenia|LOC124434660
OG0000265	Hydra|LOC124814091	Xenia|LOC124452014, Xenia|LOC124435919, Xenia|LOC124454223, Xenia|LOC124449256, Xenia|LOC124435134, Xenia|LOC124457083, Xenia|LOC124456983, Xenia|LOC124449257
OG0000265	Hydra|LOC105849713, Hydra|LOC124807573, Hydra|LOC124817076, Hydra|LOC124806270, Hydra|LOC124815064	Xenia|LOC124455227, Xenia|LOC124441684, Xenia|LOC124449123, Xenia|LOC124459169
OG0000277	Hydra|LOC100210263, Hydra|LOC105847872, Hydra|LOC100206535	Xenia|LOC124453160
OG0000277	Hydra|LOC100209857, Hydra|LOC100198551, Hydra|LOC100205519	Xenia|LOC124445271
OG0000277	Hydra|LOC100199733	Xenia|LOC124459577
OG0000279	Hydra|LOC100202877	Xenia|LOC124446247
OG0000279	Hydra|LOC100204232	Xenia|LOC124438589
OG0000279	Hydra|LOC100201806	Xenia|LOC124446748
OG0000281	Hydra|LOC100212485, Hydra|LOC100207889	Xenia|LOC124444138
OG0000283	Hydra|LOC101235722, Hydra|LOC124813622, Hydra|LOC105848724, Hydra|LOC124809811, Hydra|LOC124808666, Hydra|LOC105846153, Hydra|LOC105843126, Hydra|LOC105850527, Hydra|LOC105850609, Hydra|LOC105843398, Hydra|LOC105843356, Hydra|LOC105843450, Hydra|LOC105843480, Hydra|LOC105844970, Hydra|LOC124817167, Hydra|LOC124816244, Hydra|LOC124805898, Hydra|LOC105848332, Hydra|LOC105846710, Hydra|LOC105849638, Hydra|LOC105844348	Xenia|LOC124456594
OG0000284	Hydra|LOC124806157, Hydra|LOC124814268, Hydra|LOC124813646, Hydra|LOC124813545, Hydra|LOC124816589, Hydra|LOC124809156, Hydra|LOC124812667, Hydra|LOC124814280, Hydra|LOC124807566, Hydra|LOC124811086, Hydra|LOC124815406	Xenia|LOC124455617, Xenia|LOC124439838
OG0000286	Hydra|LOC124816007, Hydra|LOC124816009, Hydra|LOC124814403, Hydra|LOC105849026, Hydra|LOC101234789, Hydra|LOC124808318, Hydra|LOC124819084, Hydra|LOC124814450, Hydra|LOC105849334, Hydra|LOC124818669, Hydra|LOC124815251	Xenia|LOC124456078, Xenia|LOC124456079
OG0000290	Hydra|LOC100215474	Xenia|LOC124454167, Xenia|LOC124454011
OG0000291	Hydra|LOC100213238	Xenia|LOC124440975, Xenia|LOC124440982, Xenia|LOC124457898, Xenia|LOC124459016, Xenia|LOC124453854, Xenia|LOC124457941, Xenia|LOC124457251, Xenia|LOC124448011, Xenia|LOC124457894, Xenia|LOC124448818, Xenia|LOC124457939, Xenia|LOC124456706, Xenia|LOC124440974, Xenia|LOC124457264, Xenia|LOC124440977, Xenia|LOC124459013, Xenia|LOC124456696, Xenia|LOC124457896, Xenia|LOC124440978, Xenia|LOC124457938, Xenia|LOC124440891
