Orthogroup	longest_isoform_HydractiniaProteins	longest_isoform_NematostellaProteins
OG0000014	Hydractinia|LOC130636694, Hydractinia|LOC130630056, Hydractinia|LOC130648562, Hydractinia|LOC130646224, Hydractinia|LOC130613631, Hydractinia|LOC130646455, Hydractinia|LOC130630143, Hydractinia|LOC130641499, Hydractinia|LOC130657725, Hydractinia|LOC130656310, Hydractinia|LOC130651852, Hydractinia|LOC130634259, Hydractinia|LOC130641518, Hydractinia|LOC130644506, Hydractinia|LOC130634386, Hydractinia|LOC130637328, Hydractinia|LOC130637312, Hydractinia|LOC130629657, Hydractinia|LOC130614570, Hydractinia|LOC130631391, Hydractinia|LOC130634228, Hydractinia|LOC130634212, Hydractinia|LOC130653624, Hydractinia|LOC130630291, Hydractinia|LOC130649204, Hydractinia|LOC130654991, Hydractinia|LOC130630150, Hydractinia|LOC130649776, Hydractinia|LOC130651409, Hydractinia|LOC130630249, Hydractinia|LOC130630245, Hydractinia|LOC130630244, Hydractinia|LOC130630215, Hydractinia|LOC130626960, Hydractinia|LOC130627577, Hydractinia|LOC130633207, Hydractinia|LOC130646136, Hydractinia|LOC130648117, Hydractinia|LOC130645427, Hydractinia|LOC130636826, Hydractinia|LOC130642339, Hydractinia|LOC130639252, Hydractinia|LOC130630142, Hydractinia|LOC130634428, Hydractinia|LOC130651686, Hydractinia|LOC130649243, Hydractinia|LOC130649033, Hydractinia|LOC130648645, Hydractinia|LOC130649633, Hydractinia|LOC130648663, Hydractinia|LOC130648522, Hydractinia|LOC130648384, Hydractinia|LOC130649127, Hydractinia|LOC130649655, Hydractinia|LOC130648828, Hydractinia|LOC130649450, Hydractinia|LOC130649195, Hydractinia|LOC130654003, Hydractinia|LOC130649683, Hydractinia|LOC130648973, Hydractinia|LOC130649611, Hydractinia|LOC130648337, Hydractinia|LOC130648322, Hydractinia|LOC130648352, Hydractinia|LOC130649403, Hydractinia|LOC130649600, Hydractinia|LOC130649475, Hydractinia|LOC130649319, Hydractinia|LOC130649531, Hydractinia|LOC130644475, Hydractinia|LOC130641467, Hydractinia|LOC130657919, Hydractinia|LOC130641541, Hydractinia|LOC130644514, Hydractinia|LOC130632771, Hydractinia|LOC130648867, Hydractinia|LOC130641796, Hydractinia|LOC130641798, Hydractinia|LOC130642807, Hydractinia|LOC130639884, Hydractinia|LOC130655924, Hydractinia|LOC130639900, Hydractinia|LOC130651187, Hydractinia|LOC130655829	Nematostella|LOC125568328
OG0000018	Hydractinia|LOC130656216	Nematostella|LOC5517675
OG0000018	Hydractinia|LOC130657164, Hydractinia|LOC130657487, Hydractinia|LOC130657693, Hydractinia|LOC130657915, Hydractinia|LOC130656323, Hydractinia|LOC130657692, Hydractinia|LOC130656427, Hydractinia|LOC130656187, Hydractinia|LOC130657146, Hydractinia|LOC130657075, Hydractinia|LOC130657143, Hydractinia|LOC130657071, Hydractinia|LOC130657407, Hydractinia|LOC130657293, Hydractinia|LOC130656728, Hydractinia|LOC130657433, Hydractinia|LOC130656888, Hydractinia|LOC130656170, Hydractinia|LOC130657335, Hydractinia|LOC130656480, Hydractinia|LOC130657697, Hydractinia|LOC130656171, Hydractinia|LOC130657585, Hydractinia|LOC130657506, Hydractinia|LOC130657577, Hydractinia|LOC130657295, Hydractinia|LOC130657315, Hydractinia|LOC130657412, Hydractinia|LOC130657285, Hydractinia|LOC130656950, Hydractinia|LOC130657372, Hydractinia|LOC130657760, Hydractinia|LOC130657103, Hydractinia|LOC130657104, Hydractinia|LOC130657105, Hydractinia|LOC130657106, Hydractinia|LOC130657134, Hydractinia|LOC130657133, Hydractinia|LOC130657132, Hydractinia|LOC130657131, Hydractinia|LOC130657130, Hydractinia|LOC130657987, Hydractinia|LOC130657371, Hydractinia|LOC130657127, Hydractinia|LOC130657099, Hydractinia|LOC130657108, Hydractinia|LOC130657102, Hydractinia|LOC130657128, Hydractinia|LOC130657126, Hydractinia|LOC130657125, Hydractinia|LOC130656326, Hydractinia|LOC130656958, Hydractinia|LOC130656957, Hydractinia|LOC130656959	Nematostella|LOC5508709
OG0000018	Hydractinia|LOC130656519, Hydractinia|LOC130658020, Hydractinia|LOC130658029	Nematostella|LOC116603287
OG0000018	Hydractinia|LOC130657764	Nematostella|LOC5518572, Nematostella|LOC5497976, Nematostella|LOC116615386, Nematostella|LOC5512235, Nematostella|LOC125559140, Nematostella|LOC125559141, Nematostella|LOC116618192
OG0000027	Hydractinia|LOC130657762, Hydractinia|LOC130657574, Hydractinia|LOC130657552, Hydractinia|LOC130656680, Hydractinia|LOC130656681, Hydractinia|LOC130657521, Hydractinia|LOC130657475, Hydractinia|LOC130657473, Hydractinia|LOC130657472, Hydractinia|LOC130656679, Hydractinia|LOC130657463, Hydractinia|LOC130622882	Nematostella|LOC5502001, Nematostella|LOC5505980
OG0000027	Hydractinia|LOC130654630	Nematostella|LOC5497940, Nematostella|LOC116607803, Nematostella|LOC5500881, Nematostella|LOC116618621, Nematostella|LOC5518508, Nematostella|LOC116618181, Nematostella|LOC116603288, Nematostella|LOC116615387, Nematostella|LOC5520654, Nematostella|LOC5497237, Nematostella|LOC5520522, Nematostella|LOC5497168, Nematostella|LOC125557190, Nematostella|LOC5497955, Nematostella|LOC5498099, Nematostella|LOC125557183, Nematostella|LOC5498791, Nematostella|LOC125557186, Nematostella|LOC125557179, Nematostella|LOC125557185, Nematostella|LOC125557191, Nematostella|LOC125557192, Nematostella|LOC125557187, Nematostella|LOC125557188, Nematostella|LOC116607011, Nematostella|LOC125557178, Nematostella|LOC125557182, Nematostella|LOC125557180, Nematostella|LOC125557181, Nematostella|LOC125557175, Nematostella|LOC125557174, Nematostella|LOC125557176, Nematostella|LOC125557172, Nematostella|LOC125557173, Nematostella|LOC125557171, Nematostella|LOC125557193
OG0000031	Hydractinia|LOC130641359, Hydractinia|LOC130648774, Hydractinia|LOC130653590, Hydractinia|LOC130654985, Hydractinia|LOC130653857, Hydractinia|LOC130635989	Nematostella|LOC116620586
OG0000036	Hydractinia|LOC130628649	Nematostella|LOC125559372
OG0000036	Hydractinia|LOC130648502	Nematostella|LOC125570202
OG0000036	Hydractinia|LOC130660791, Hydractinia|LOC130630114	Nematostella|LOC116612042
OG0000036	Hydractinia|LOC130648011	Nematostella|LOC116614082, Nematostella|LOC116609843, Nematostella|LOC116608828
OG0000038	Hydractinia|LOC130642352	Nematostella|LOC125560740, Nematostella|LOC125561897
OG0000038	Hydractinia|LOC130613046, Hydractinia|LOC130628713	Nematostella|LOC125573188
OG0000041	Hydractinia|LOC130635935, Hydractinia|LOC130635834, Hydractinia|LOC130655845, Hydractinia|LOC130612154, Hydractinia|LOC130625317, Hydractinia|LOC130625033	Nematostella|LOC116616791
OG0000052	Hydractinia|LOC130657180	Nematostella|LOC5518464, Nematostella|LOC5505974, Nematostella|LOC5502003
OG0000052	Hydractinia|LOC130656743, Hydractinia|LOC130657382, Hydractinia|LOC130657368, Hydractinia|LOC130657014, Hydractinia|LOC130656730, Hydractinia|LOC130656738, Hydractinia|LOC130656740, Hydractinia|LOC130656741, Hydractinia|LOC130656737, Hydractinia|LOC130656731, Hydractinia|LOC130656729, Hydractinia|LOC130656733, Hydractinia|LOC130656735, Hydractinia|LOC130656744, Hydractinia|LOC130657366, Hydractinia|LOC130657375, Hydractinia|LOC130656605, Hydractinia|LOC130656736, Hydractinia|LOC130656734, Hydractinia|LOC130657337, Hydractinia|LOC130656746, Hydractinia|LOC130656745	Nematostella|LOC116619866, Nematostella|LOC5518526, Nematostella|LOC116618182, Nematostella|LOC116618622, Nematostella|LOC125556744, Nematostella|LOC5520521, Nematostella|LOC5518506, Nematostella|LOC5500882, Nematostella|LOC5496697, Nematostella|LOC116615389, Nematostella|LOC5497979
OG0000055	Hydractinia|LOC130647888, Hydractinia|LOC130647524	Nematostella|LOC116617885, Nematostella|LOC5506227
OG0000056	Hydractinia|LOC130654719	Nematostella|LOC116621207, Nematostella|LOC116618769, Nematostella|LOC116619460, Nematostella|LOC116619459, Nematostella|LOC116619641, Nematostella|LOC116619360, Nematostella|LOC116619457, Nematostella|LOC116610741, Nematostella|LOC116605419, Nematostella|LOC116610740, Nematostella|LOC116602624, Nematostella|LOC116605418, Nematostella|LOC5513110, Nematostella|LOC5507246, Nematostella|LOC5504753
OG0000057	Hydractinia|LOC130645557	Nematostella|LOC5511243, Nematostella|LOC116610685, Nematostella|LOC116608817, Nematostella|LOC5503124, Nematostella|LOC5510306, Nematostella|LOC5503113, Nematostella|LOC5503121, Nematostella|LOC125559909, Nematostella|LOC5501535, Nematostella|LOC116606605, Nematostella|LOC5501533, Nematostella|LOC5510302, Nematostella|LOC5501536, Nematostella|LOC125559899, Nematostella|LOC125559913, Nematostella|LOC116607488, Nematostella|LOC125559907, Nematostella|LOC5499800, Nematostella|LOC5499802, Nematostella|LOC125559860, Nematostella|LOC5499801, Nematostella|LOC125570298, Nematostella|LOC125557117, Nematostella|LOC5506106, Nematostella|LOC5511033, Nematostella|LOC5509171
OG0000057	Hydractinia|LOC130648983	Nematostella|LOC5520133
OG0000057	Hydractinia|LOC130645286	Nematostella|LOC116619038
OG0000058	Hydractinia|LOC130635857	Nematostella|LOC5517877, Nematostella|LOC5514304
OG0000058	Hydractinia|LOC130625164, Hydractinia|LOC130612897, Hydractinia|LOC130657718, Hydractinia|LOC130644249, Hydractinia|LOC130646239	Nematostella|LOC5516814, Nematostella|LOC5516769, Nematostella|LOC116612015, Nematostella|LOC116620853, Nematostella|LOC5521880, Nematostella|LOC5514294
OG0000058	Hydractinia|LOC130621547, Hydractinia|LOC130621544, Hydractinia|LOC130621546, Hydractinia|LOC130621533, Hydractinia|LOC130621542, Hydractinia|LOC130621543, Hydractinia|LOC130621540, Hydractinia|LOC130621538, Hydractinia|LOC130621530, Hydractinia|LOC130621531, Hydractinia|LOC130621536, Hydractinia|LOC130621539, Hydractinia|LOC130621537, Hydractinia|LOC130621532, Hydractinia|LOC130621545, Hydractinia|LOC130621535	Nematostella|LOC5509144
OG0000059	Hydractinia|LOC130623717, Hydractinia|LOC130630002, Hydractinia|LOC130630042, Hydractinia|LOC130622387, Hydractinia|LOC130655533, Hydractinia|LOC130623275, Hydractinia|LOC130642359, Hydractinia|LOC130636847, Hydractinia|LOC130629893, Hydractinia|LOC130625238, Hydractinia|LOC130614651, Hydractinia|LOC130645446, Hydractinia|LOC130623070, Hydractinia|LOC130642199, Hydractinia|LOC130614239, Hydractinia|LOC130653660, Hydractinia|LOC130612889, Hydractinia|LOC130628710, Hydractinia|LOC130629754, Hydractinia|LOC130628630, Hydractinia|LOC130628718, Hydractinia|LOC130662834, Hydractinia|LOC130612816, Hydractinia|LOC130658967, Hydractinia|LOC130636937, Hydractinia|LOC130630107, Hydractinia|LOC130644574, Hydractinia|LOC130657896, Hydractinia|LOC130612985, Hydractinia|LOC130612867, Hydractinia|LOC130642216, Hydractinia|LOC130640706, Hydractinia|LOC130625163, Hydractinia|LOC130645412, Hydractinia|LOC130645939, Hydractinia|LOC130629917	Nematostella|LOC125561023, Nematostella|LOC116607669
OG0000061	Hydractinia|LOC130613658, Hydractinia|LOC130630007, Hydractinia|LOC130648130, Hydractinia|LOC130653911, Hydractinia|LOC130629289, Hydractinia|LOC130648551, Hydractinia|LOC130648024, Hydractinia|LOC130642304, Hydractinia|LOC130630052	Nematostella|LOC125567917, Nematostella|LOC116604397, Nematostella|LOC116614870, Nematostella|LOC125568025, Nematostella|LOC125568003, Nematostella|LOC125558973, Nematostella|LOC125561078, Nematostella|LOC125573628, Nematostella|LOC125561829, Nematostella|LOC125560962, Nematostella|LOC125560617, Nematostella|LOC125563064, Nematostella|LOC125570180, Nematostella|LOC125573604, Nematostella|LOC116608832, Nematostella|LOC5510820, Nematostella|LOC116618856, Nematostella|LOC116616148, Nematostella|LOC125563036, Nematostella|LOC116610921, Nematostella|LOC125559014, Nematostella|LOC125567564, Nematostella|LOC116607038, Nematostella|LOC125560974, Nematostella|LOC125560625, Nematostella|LOC125561048, Nematostella|LOC125560917, Nematostella|LOC125559868, Nematostella|LOC116603076, Nematostella|LOC125573803, Nematostella|LOC116620195, Nematostella|LOC116613530, Nematostella|LOC125556695, Nematostella|LOC125570193, Nematostella|LOC125559887
OG0000062	Hydractinia|LOC130657124, Hydractinia|LOC130657111, Hydractinia|LOC130657110, Hydractinia|LOC130657114	Nematostella|LOC5509798
OG0000062	Hydractinia|LOC130657117	Nematostella|LOC5497158
OG0000062	Hydractinia|LOC130657119	Nematostella|LOC125557222, Nematostella|LOC125557238, Nematostella|LOC125557239, Nematostella|LOC125557226, Nematostella|LOC125557223, Nematostella|LOC125557230, Nematostella|LOC125557234, Nematostella|LOC5496422, Nematostella|LOC125557228, Nematostella|LOC125557236
OG0000062	Hydractinia|LOC130657121	Nematostella|LOC125557220
OG0000062	Hydractinia|LOC130657123	Nematostella|LOC125557233
OG0000062	Hydractinia|LOC130657112	Nematostella|LOC125557219
OG0000064	Hydractinia|LOC130625128, Hydractinia|LOC130653828, Hydractinia|LOC130630220, Hydractinia|LOC130629974, Hydractinia|LOC130654870, Hydractinia|LOC130655473	Nematostella|LOC116619486
OG0000064	Hydractinia|LOC130613983	Nematostella|LOC5503492, Nematostella|LOC5505881, Nematostella|LOC5521478, Nematostella|LOC5503475, Nematostella|LOC5501722
OG0000064	Hydractinia|LOC130653877	Nematostella|LOC5522323, Nematostella|LOC5517523, Nematostella|LOC5514687, Nematostella|LOC5505462, Nematostella|LOC116612680, Nematostella|LOC5503451, Nematostella|LOC116616801
OG0000070	Hydractinia|LOC130647407	Nematostella|LOC5503789, Nematostella|LOC5514659, Nematostella|LOC5503046, Nematostella|LOC5510781, Nematostella|LOC5511836, Nematostella|LOC5511848, Nematostella|LOC5508605, Nematostella|LOC116615595, Nematostella|LOC116620045, Nematostella|LOC116604845, Nematostella|LOC5516926, Nematostella|LOC5520430, Nematostella|LOC5504613, Nematostella|LOC5515944
OG0000071	Hydractinia|LOC130649660	Nematostella|LOC116611066
OG0000072	Hydractinia|LOC130642205, Hydractinia|LOC130642191, Hydractinia|LOC130657812, Hydractinia|LOC130635490, Hydractinia|LOC130613378, Hydractinia|LOC130612919, Hydractinia|LOC130623081, Hydractinia|LOC130625167, Hydractinia|LOC130645918, Hydractinia|LOC130654274, Hydractinia|LOC130646154	Nematostella|LOC116614590, Nematostella|LOC125573620
OG0000072	Hydractinia|LOC130629953	Nematostella|LOC125559738
OG0000076	Hydractinia|LOC130641471	Nematostella|LOC5512559, Nematostella|LOC5516629, Nematostella|LOC5509656, Nematostella|LOC5509657, Nematostella|LOC5509638, Nematostella|LOC5516771, Nematostella|LOC116620829, Nematostella|LOC5516770
OG0000076	Hydractinia|LOC130647500	Nematostella|LOC5516785
OG0000076	Hydractinia|LOC130647707, Hydractinia|LOC130647710, Hydractinia|LOC130647709, Hydractinia|LOC130622752, Hydractinia|LOC130654943, Hydractinia|LOC130657080, Hydractinia|LOC130642061, Hydractinia|LOC130621180, Hydractinia|LOC130657009	Nematostella|LOC5509636, Nematostella|LOC5518438, Nematostella|LOC5517474
OG0000079	Hydractinia|LOC130655471, Hydractinia|LOC130641512, Hydractinia|LOC130645074, Hydractinia|LOC130645075, Hydractinia|LOC130630299, Hydractinia|LOC130641309, Hydractinia|LOC130655072, Hydractinia|LOC130612225, Hydractinia|LOC130629531, Hydractinia|LOC130648314, Hydractinia|LOC130635858, Hydractinia|LOC130623915, Hydractinia|LOC130642137, Hydractinia|LOC130623362, Hydractinia|LOC130635856, Hydractinia|LOC130613624, Hydractinia|LOC130623337, Hydractinia|LOC130654290, Hydractinia|LOC130649484, Hydractinia|LOC130621113, Hydractinia|LOC130629284, Hydractinia|LOC130654265, Hydractinia|LOC130654802, Hydractinia|LOC130655450, Hydractinia|LOC130653858, Hydractinia|LOC130654010, Hydractinia|LOC130644476, Hydractinia|LOC130629336, Hydractinia|LOC130645111, Hydractinia|LOC130656601, Hydractinia|LOC130633887, Hydractinia|LOC130656204, Hydractinia|LOC130612749, Hydractinia|LOC130647986, Hydractinia|LOC130645400, Hydractinia|LOC130613626, Hydractinia|LOC130644720	Nematostella|LOC125560947
OG0000086	Hydractinia|LOC130654894	Nematostella|LOC5513480, Nematostella|LOC116618883
OG0000086	Hydractinia|LOC130621631, Hydractinia|LOC130621632	Nematostella|LOC116619731, Nematostella|LOC5513575
OG0000086	Hydractinia|LOC130614645, Hydractinia|LOC130629193, Hydractinia|LOC130614148, Hydractinia|LOC130645941	Nematostella|LOC5502427, Nematostella|LOC5518125, Nematostella|LOC116611466, Nematostella|LOC5514576, Nematostella|LOC5511759, Nematostella|LOC5511758, Nematostella|LOC116616115, Nematostella|LOC5514578
OG0000087	Hydractinia|LOC130624086, Hydractinia|LOC130623926, Hydractinia|LOC130614578, Hydractinia|LOC130644714, Hydractinia|LOC130644510, Hydractinia|LOC130647227, Hydractinia|LOC130656708, Hydractinia|LOC130640787, Hydractinia|LOC130614717, Hydractinia|LOC130623885, Hydractinia|LOC130662733, Hydractinia|LOC130662734, Hydractinia|LOC130645064	Nematostella|LOC125570198
OG0000095	Hydractinia|LOC130644939	Nematostella|LOC116611723, Nematostella|LOC125573037, Nematostella|LOC125561142, Nematostella|LOC116619028
OG0000096	Hydractinia|LOC130630430	Nematostella|LOC116611814, Nematostella|LOC116612389
OG0000097	Hydractinia|LOC130657035, Hydractinia|LOC130628905, Hydractinia|LOC130628598, Hydractinia|LOC130628907, Hydractinia|LOC130641789, Hydractinia|LOC130654245	Nematostella|LOC5519484, Nematostella|LOC5505319, Nematostella|LOC5505323, Nematostella|LOC5504813, Nematostella|LOC5512659, Nematostella|LOC5505316, Nematostella|LOC5505313, Nematostella|LOC5519551
OG0000099	Hydractinia|LOC130653763, Hydractinia|LOC130655905, Hydractinia|LOC130654023, Hydractinia|LOC130623866, Hydractinia|LOC130655048, Hydractinia|LOC130653830, Hydractinia|LOC130621301, Hydractinia|LOC130655670, Hydractinia|LOC130655209, Hydractinia|LOC130622122, Hydractinia|LOC130630274, Hydractinia|LOC130629753	Nematostella|LOC5520593
OG0000101	Hydractinia|LOC130613201, Hydractinia|LOC130613202	Nematostella|LOC125570308, Nematostella|LOC116611693, Nematostella|LOC5519403, Nematostella|LOC5519404
OG0000102	Hydractinia|LOC130645903, Hydractinia|LOC130646238, Hydractinia|LOC130645805, Hydractinia|LOC130645802, Hydractinia|LOC130646310, Hydractinia|LOC130646309, Hydractinia|LOC130645599, Hydractinia|LOC130640830, Hydractinia|LOC130641201, Hydractinia|LOC130654695	Nematostella|LOC5517026
OG0000113	Hydractinia|LOC130624002	Nematostella|LOC5508222, Nematostella|LOC5511695, Nematostella|LOC5504357, Nematostella|LOC125568417, Nematostella|LOC5516898, Nematostella|LOC5513659, Nematostella|LOC116618483, Nematostella|LOC5510760, Nematostella|LOC125558672, Nematostella|LOC5510761, Nematostella|LOC5510774, Nematostella|LOC5510762, Nematostella|LOC5510102, Nematostella|LOC5510106, Nematostella|LOC125570160, Nematostella|LOC116603415, Nematostella|LOC5504193, Nematostella|LOC5507641, Nematostella|LOC116611768, Nematostella|LOC125568395, Nematostella|LOC5504188, Nematostella|LOC116616351, Nematostella|LOC116610950, Nematostella|LOC5512711, Nematostella|LOC116601638, Nematostella|LOC5508054, Nematostella|LOC5516836, Nematostella|LOC5504446, Nematostella|LOC5515279, Nematostella|LOC125573323, Nematostella|LOC125559075, Nematostella|LOC125561197, Nematostella|LOC5521922, Nematostella|LOC5502825, Nematostella|LOC125573764, Nematostella|LOC5512133, Nematostella|LOC5502826
OG0000116	Hydractinia|LOC130624967, Hydractinia|LOC130645136, Hydractinia|LOC130646973, Hydractinia|LOC130624126, Hydractinia|LOC130654166, Hydractinia|LOC130629798, Hydractinia|LOC130630325, Hydractinia|LOC130641834, Hydractinia|LOC130645298, Hydractinia|LOC130640719, Hydractinia|LOC130644572, Hydractinia|LOC130613357, Hydractinia|LOC130648382, Hydractinia|LOC130654406, Hydractinia|LOC130657379, Hydractinia|LOC130656405, Hydractinia|LOC130622477, Hydractinia|LOC130629024, Hydractinia|LOC130646974, Hydractinia|LOC130656403, Hydractinia|LOC130645476, Hydractinia|LOC130641841, Hydractinia|LOC130645134, Hydractinia|LOC130636492, Hydractinia|LOC130629317, Hydractinia|LOC130648181, Hydractinia|LOC130645581	Nematostella|LOC116615474
OG0000119	Hydractinia|LOC130630519	Nematostella|LOC116615063, Nematostella|LOC5509978
OG0000120	Hydractinia|LOC130625064	Nematostella|LOC125563054, Nematostella|LOC116616834, Nematostella|LOC5504231, Nematostella|LOC125568290, Nematostella|LOC125557119, Nematostella|LOC125560845, Nematostella|LOC125572226, Nematostella|LOC116604813
OG0000121	Hydractinia|LOC130655592, Hydractinia|LOC130654628, Hydractinia|LOC130654518, Hydractinia|LOC130654516	Nematostella|LOC5516499, Nematostella|LOC116620688, Nematostella|LOC5516497, Nematostella|LOC5509419
OG0000122	Hydractinia|LOC130625102	Nematostella|LOC5510381
OG0000122	Hydractinia|LOC130630012, Hydractinia|LOC130657910, Hydractinia|LOC130636938, Hydractinia|LOC130628635	Nematostella|LOC116612118
OG0000131	Hydractinia|LOC130645491	Nematostella|LOC5510080, Nematostella|LOC125561406, Nematostella|LOC116621555, Nematostella|LOC125560761, Nematostella|LOC125560997, Nematostella|LOC116616695, Nematostella|LOC116612251, Nematostella|LOC125563142, Nematostella|LOC125572211, Nematostella|LOC125560996, Nematostella|LOC116601917, Nematostella|LOC5514985, Nematostella|LOC116616902, Nematostella|LOC116617253, Nematostella|LOC125561396, Nematostella|LOC116614556, Nematostella|LOC125560999, Nematostella|LOC116620893, Nematostella|LOC5502488, Nematostella|LOC125563143, Nematostella|LOC116601987, Nematostella|LOC116616888, Nematostella|LOC125561000, Nematostella|LOC116615565, Nematostella|LOC116610004, Nematostella|LOC116609987, Nematostella|LOC125568221, Nematostella|LOC116615546, Nematostella|LOC125560774, Nematostella|LOC5507411, Nematostella|LOC116607138, Nematostella|LOC116616903, Nematostella|LOC125561001, Nematostella|LOC125559089
OG0000135	Hydractinia|LOC130630336, Hydractinia|LOC130630009, Hydractinia|LOC130648991, Hydractinia|LOC130621352, Hydractinia|LOC130621350, Hydractinia|LOC130621896, Hydractinia|LOC130621895, Hydractinia|LOC130621357, Hydractinia|LOC130621901, Hydractinia|LOC130621458, Hydractinia|LOC130655149, Hydractinia|LOC130653629, Hydractinia|LOC130653628, Hydractinia|LOC130628829, Hydractinia|LOC130635855	Nematostella|LOC5502632, Nematostella|LOC5507628, Nematostella|LOC5505651, Nematostella|LOC5510410, Nematostella|LOC5505886, Nematostella|LOC5505650, Nematostella|LOC5502628, Nematostella|LOC5508959, Nematostella|LOC5504972, Nematostella|LOC116616008, Nematostella|LOC5504116, Nematostella|LOC116613566, Nematostella|LOC5513980
