Orthogroup	longest_isoform_HydractiniaProteins	longest_isoform_ClytiaProteins
OG0000019	Hydractinia|LOC130647034	Clytia|LOC_012864, Clytia|LOC_012865, Clytia|LOC_014004, Clytia|LOC_001016, Clytia|LOC_028659, Clytia|LOC_000972, Clytia|LOC_004446
OG0000019	Hydractinia|LOC130636070, Hydractinia|LOC130637571, Hydractinia|LOC130636079, Hydractinia|LOC130637587, Hydractinia|LOC130633451	Clytia|LOC_029223
OG0000019	Hydractinia|LOC130647668, Hydractinia|LOC130647588, Hydractinia|LOC130647667, Hydractinia|LOC130647646, Hydractinia|LOC130647672, Hydractinia|LOC130647649, Hydractinia|LOC130647670, Hydractinia|LOC130647645, Hydractinia|LOC130629178, Hydractinia|LOC130629179, Hydractinia|LOC130625973, Hydractinia|LOC130648144, Hydractinia|LOC130648960	Clytia|LOC_010084, Clytia|LOC_045107, Clytia|LOC_035384, Clytia|LOC_039005, Clytia|LOC_014818, Clytia|LOC_014946, Clytia|LOC_018174, Clytia|LOC_042258, Clytia|LOC_012407, Clytia|LOC_022731, Clytia|LOC_037150, Clytia|LOC_028917, Clytia|LOC_004495, Clytia|LOC_012866, Clytia|LOC_031706, Clytia|LOC_031642, Clytia|LOC_006134, Clytia|LOC_023203, Clytia|LOC_039062, Clytia|LOC_045110, Clytia|LOC_035385, Clytia|LOC_002386, Clytia|LOC_037388, Clytia|LOC_017424
OG0000019	Hydractinia|LOC130629227, Hydractinia|LOC130629228, Hydractinia|LOC130629132, Hydractinia|LOC130647589, Hydractinia|LOC130647669, Hydractinia|LOC130623977, Hydractinia|LOC130657338	Clytia|LOC_036539
OG0000020	Hydractinia|LOC130622430, Hydractinia|LOC130623146, Hydractinia|LOC130624315, Hydractinia|LOC130625237, Hydractinia|LOC130647226, Hydractinia|LOC130623217, Hydractinia|LOC130624316, Hydractinia|LOC130647998, Hydractinia|LOC130625199, Hydractinia|LOC130646103	Clytia|LOC_018745
OG0000027	Hydractinia|LOC130657762, Hydractinia|LOC130657574, Hydractinia|LOC130657552, Hydractinia|LOC130656680, Hydractinia|LOC130656681, Hydractinia|LOC130657521, Hydractinia|LOC130657475, Hydractinia|LOC130657473, Hydractinia|LOC130657472, Hydractinia|LOC130656679, Hydractinia|LOC130657463, Hydractinia|LOC130622882	Clytia|LOC_036708
OG0000027	Hydractinia|LOC130654630	Clytia|LOC_040069
OG0000028	Hydractinia|LOC130653823, Hydractinia|LOC130621745, Hydractinia|LOC130630157, Hydractinia|LOC130642263, Hydractinia|LOC130630094, Hydractinia|LOC130642212, Hydractinia|LOC130612794, Hydractinia|LOC130655070, Hydractinia|LOC130629972, Hydractinia|LOC130629610, Hydractinia|LOC130642213, Hydractinia|LOC130648521, Hydractinia|LOC130637023, Hydractinia|LOC130655395, Hydractinia|LOC130648059, Hydractinia|LOC130621341	Clytia|LOC_014132
OG0000031	Hydractinia|LOC130635880, Hydractinia|LOC130622537	Clytia|LOC_026151
OG0000031	Hydractinia|LOC130653857	Clytia|LOC_000924
OG0000031	Hydractinia|LOC130635989	Clytia|LOC_029112
OG0000036	Hydractinia|LOC130628649	Clytia|LOC_027032, Clytia|LOC_000262
OG0000036	Hydractinia|LOC130648502	Clytia|LOC_025146, Clytia|LOC_023340, Clytia|LOC_025944, Clytia|LOC_034307
OG0000036	Hydractinia|LOC130660791, Hydractinia|LOC130630114	Clytia|LOC_009422, Clytia|LOC_021142
OG0000036	Hydractinia|LOC130648011	Clytia|LOC_005544, Clytia|LOC_012702, Clytia|LOC_023170, Clytia|LOC_030500, Clytia|LOC_005084, Clytia|LOC_044912, Clytia|LOC_017788, Clytia|LOC_037973
OG0000036	Hydractinia|LOC130621375, Hydractinia|LOC130642375, Hydractinia|LOC130648600, Hydractinia|LOC130629823, Hydractinia|LOC130621368, Hydractinia|LOC130648189	Clytia|LOC_013561
OG0000036	Hydractinia|LOC130613498	Clytia|LOC_035943
OG0000037	Hydractinia|LOC130614590	Clytia|LOC_012800
OG0000038	Hydractinia|LOC130642352	Clytia|LOC_020435, Clytia|LOC_026073
OG0000041	Hydractinia|LOC130635935, Hydractinia|LOC130635834, Hydractinia|LOC130655845, Hydractinia|LOC130612154, Hydractinia|LOC130625317, Hydractinia|LOC130625033	Clytia|LOC_028192, Clytia|LOC_001404, Clytia|LOC_016809, Clytia|LOC_005088
OG0000047	Hydractinia|LOC130648505	Clytia|LOC_024709, Clytia|LOC_017610, Clytia|LOC_039229, Clytia|LOC_036590, Clytia|LOC_032888, Clytia|LOC_017900, Clytia|LOC_045808, Clytia|LOC_025063, Clytia|LOC_021175, Clytia|LOC_005930, Clytia|LOC_043586, Clytia|LOC_032625, Clytia|LOC_021234, Clytia|LOC_040508, Clytia|LOC_041536, Clytia|LOC_018138, Clytia|LOC_025036, Clytia|LOC_006737, Clytia|LOC_035375, Clytia|LOC_019485, Clytia|LOC_037230, Clytia|LOC_015820, Clytia|LOC_022998, Clytia|LOC_014620, Clytia|LOC_014247, Clytia|LOC_018337
OG0000049	Hydractinia|LOC130623210, Hydractinia|LOC130637024	Clytia|LOC_000359
OG0000049	Hydractinia|LOC130648579, Hydractinia|LOC130662617, Hydractinia|LOC130657531, Hydractinia|LOC130662861, Hydractinia|LOC130637007, Hydractinia|LOC130636907	Clytia|LOC_006090
OG0000052	Hydractinia|LOC130657180	Clytia|LOC_003985
OG0000055	Hydractinia|LOC130648014, Hydractinia|LOC130647079, Hydractinia|LOC130646947, Hydractinia|LOC130646946	Clytia|LOC_037309, Clytia|LOC_011687, Clytia|LOC_031115, Clytia|LOC_014757, Clytia|LOC_019574
OG0000055	Hydractinia|LOC130647082, Hydractinia|LOC130648058, Hydractinia|LOC130642060	Clytia|LOC_005650, Clytia|LOC_005666
OG0000056	Hydractinia|LOC130654719	Clytia|LOC_040257, Clytia|LOC_044510, Clytia|LOC_032863, Clytia|LOC_009882, Clytia|LOC_016972, Clytia|LOC_041403
OG0000057	Hydractinia|LOC130645557	Clytia|LOC_044383
OG0000057	Hydractinia|LOC130648983	Clytia|LOC_020267
OG0000057	Hydractinia|LOC130645286	Clytia|LOC_032661
OG0000058	Hydractinia|LOC130625164, Hydractinia|LOC130612897, Hydractinia|LOC130657718, Hydractinia|LOC130644249, Hydractinia|LOC130646239	Clytia|LOC_041183
OG0000058	Hydractinia|LOC130647540	Clytia|LOC_009218
OG0000058	Hydractinia|LOC130621547, Hydractinia|LOC130621544, Hydractinia|LOC130621546, Hydractinia|LOC130621533, Hydractinia|LOC130621542, Hydractinia|LOC130621543, Hydractinia|LOC130621540, Hydractinia|LOC130621538, Hydractinia|LOC130621530, Hydractinia|LOC130621531, Hydractinia|LOC130621536, Hydractinia|LOC130621539, Hydractinia|LOC130621537, Hydractinia|LOC130621532, Hydractinia|LOC130621545, Hydractinia|LOC130621535	Clytia|LOC_001448
OG0000059	Hydractinia|LOC130623717, Hydractinia|LOC130630002, Hydractinia|LOC130630042, Hydractinia|LOC130622387, Hydractinia|LOC130655533, Hydractinia|LOC130623275, Hydractinia|LOC130642359, Hydractinia|LOC130636847, Hydractinia|LOC130629893, Hydractinia|LOC130625238, Hydractinia|LOC130614651, Hydractinia|LOC130645446, Hydractinia|LOC130623070, Hydractinia|LOC130642199, Hydractinia|LOC130614239, Hydractinia|LOC130653660, Hydractinia|LOC130612889, Hydractinia|LOC130628710, Hydractinia|LOC130629754, Hydractinia|LOC130628630, Hydractinia|LOC130628718, Hydractinia|LOC130662834, Hydractinia|LOC130612816, Hydractinia|LOC130658967, Hydractinia|LOC130636937, Hydractinia|LOC130630107, Hydractinia|LOC130644574, Hydractinia|LOC130657896, Hydractinia|LOC130612985, Hydractinia|LOC130612867, Hydractinia|LOC130642216, Hydractinia|LOC130640706, Hydractinia|LOC130625163, Hydractinia|LOC130645412	Clytia|LOC_009758
OG0000064	Hydractinia|LOC130653828	Clytia|LOC_021768
OG0000064	Hydractinia|LOC130654870, Hydractinia|LOC130655473	Clytia|LOC_045244, Clytia|LOC_007240
OG0000064	Hydractinia|LOC130613983	Clytia|LOC_030566
OG0000064	Hydractinia|LOC130653877	Clytia|LOC_004460
OG0000070	Hydractinia|LOC130647407	Clytia|LOC_003863, Clytia|LOC_023129, Clytia|LOC_019571, Clytia|LOC_024647, Clytia|LOC_043392, Clytia|LOC_018545, Clytia|LOC_043942, Clytia|LOC_012194, Clytia|LOC_028028, Clytia|LOC_015165, Clytia|LOC_015176, Clytia|LOC_043391, Clytia|LOC_028822, Clytia|LOC_018076, Clytia|LOC_012657
OG0000071	Hydractinia|LOC130649660	Clytia|LOC_016497, Clytia|LOC_015138, Clytia|LOC_012974, Clytia|LOC_040493, Clytia|LOC_006069, Clytia|LOC_004166, Clytia|LOC_012975
OG0000072	Hydractinia|LOC130648514, Hydractinia|LOC130623535, Hydractinia|LOC130649159, Hydractinia|LOC130649160, Hydractinia|LOC130629979, Hydractinia|LOC130648537, Hydractinia|LOC130648613, Hydractinia|LOC130645896, Hydractinia|LOC130653795, Hydractinia|LOC130625080, Hydractinia|LOC130642205, Hydractinia|LOC130642191, Hydractinia|LOC130657812, Hydractinia|LOC130635490, Hydractinia|LOC130613378, Hydractinia|LOC130612919, Hydractinia|LOC130623081, Hydractinia|LOC130625167, Hydractinia|LOC130645918, Hydractinia|LOC130654274, Hydractinia|LOC130646154	Clytia|LOC_020657
OG0000072	Hydractinia|LOC130629953	Clytia|LOC_045029, Clytia|LOC_017867
OG0000076	Hydractinia|LOC130647500	Clytia|LOC_006659, Clytia|LOC_011074
OG0000076	Hydractinia|LOC130647707, Hydractinia|LOC130647710, Hydractinia|LOC130647709	Clytia|LOC_005491
OG0000076	Hydractinia|LOC130654943	Clytia|LOC_045131, Clytia|LOC_045140
OG0000076	Hydractinia|LOC130642061, Hydractinia|LOC130621180, Hydractinia|LOC130657009	Clytia|LOC_032509, Clytia|LOC_045225
OG0000077	Hydractinia|LOC130630081, Hydractinia|LOC130647688	Clytia|LOC_021580
OG0000078	Hydractinia|LOC130648569, Hydractinia|LOC130613593, Hydractinia|LOC130623259, Hydractinia|LOC130623263, Hydractinia|LOC130623257, Hydractinia|LOC130623261, Hydractinia|LOC130623265, Hydractinia|LOC130623282, Hydractinia|LOC130649438, Hydractinia|LOC130647765, Hydractinia|LOC130629843, Hydractinia|LOC130613033, Hydractinia|LOC130629785, Hydractinia|LOC130648188, Hydractinia|LOC130628689, Hydractinia|LOC130626017, Hydractinia|LOC130642232, Hydractinia|LOC130642351, Hydractinia|LOC130648580, Hydractinia|LOC130628696, Hydractinia|LOC130621329, Hydractinia|LOC130642344	Clytia|LOC_035192
OG0000078	Hydractinia|LOC130628789, Hydractinia|LOC130648052, Hydractinia|LOC130613610, Hydractinia|LOC130648007, Hydractinia|LOC130657891, Hydractinia|LOC130625225, Hydractinia|LOC130648228, Hydractinia|LOC130625104, Hydractinia|LOC130647074, Hydractinia|LOC130648588, Hydractinia|LOC130623260, Hydractinia|LOC130623262, Hydractinia|LOC130623264, Hydractinia|LOC130618902, Hydractinia|LOC130630000, Hydractinia|LOC130648636, Hydractinia|LOC130648594, Hydractinia|LOC130629774, Hydractinia|LOC130642342, Hydractinia|LOC130648598, Hydractinia|LOC130642368	Clytia|LOC_027087
OG0000079	Hydractinia|LOC130655471, Hydractinia|LOC130641512, Hydractinia|LOC130645074, Hydractinia|LOC130645075, Hydractinia|LOC130630299, Hydractinia|LOC130641309, Hydractinia|LOC130655072, Hydractinia|LOC130612225, Hydractinia|LOC130629531, Hydractinia|LOC130648314, Hydractinia|LOC130635858, Hydractinia|LOC130623915, Hydractinia|LOC130642137, Hydractinia|LOC130623362, Hydractinia|LOC130635856, Hydractinia|LOC130613624, Hydractinia|LOC130623337, Hydractinia|LOC130654290, Hydractinia|LOC130649484, Hydractinia|LOC130621113, Hydractinia|LOC130629284, Hydractinia|LOC130654265, Hydractinia|LOC130654802, Hydractinia|LOC130655450, Hydractinia|LOC130653858, Hydractinia|LOC130654010, Hydractinia|LOC130644476, Hydractinia|LOC130629336, Hydractinia|LOC130645111, Hydractinia|LOC130656601, Hydractinia|LOC130633887, Hydractinia|LOC130656204, Hydractinia|LOC130612749, Hydractinia|LOC130647986, Hydractinia|LOC130645400, Hydractinia|LOC130613626	Clytia|LOC_036357
OG0000081	Hydractinia|LOC130657750	Clytia|LOC_027982, Clytia|LOC_026870, Clytia|LOC_000792, Clytia|LOC_031096, Clytia|LOC_032171, Clytia|LOC_026057, Clytia|LOC_033464, Clytia|LOC_010805, Clytia|LOC_037806, Clytia|LOC_025408, Clytia|LOC_011644, Clytia|LOC_036762, Clytia|LOC_009708, Clytia|LOC_022064, Clytia|LOC_016553, Clytia|LOC_015036, Clytia|LOC_010845, Clytia|LOC_008550, Clytia|LOC_017705, Clytia|LOC_025646, Clytia|LOC_009030, Clytia|LOC_003641, Clytia|LOC_004417, Clytia|LOC_030520, Clytia|LOC_036310, Clytia|LOC_032285, Clytia|LOC_012436, Clytia|LOC_041363, Clytia|LOC_006509, Clytia|LOC_011985, Clytia|LOC_003716, Clytia|LOC_021802, Clytia|LOC_006880, Clytia|LOC_024896, Clytia|LOC_010203, Clytia|LOC_012267, Clytia|LOC_034684, Clytia|LOC_029375, Clytia|LOC_004851, Clytia|LOC_001972, Clytia|LOC_042431, Clytia|LOC_037106, Clytia|LOC_033163
OG0000086	Hydractinia|LOC130654894	Clytia|LOC_030793, Clytia|LOC_042126, Clytia|LOC_030739
OG0000086	Hydractinia|LOC130621631, Hydractinia|LOC130621632	Clytia|LOC_008540
OG0000086	Hydractinia|LOC130614645	Clytia|LOC_006000, Clytia|LOC_006001
OG0000086	Hydractinia|LOC130629193, Hydractinia|LOC130614148, Hydractinia|LOC130645941	Clytia|LOC_045253
OG0000087	Hydractinia|LOC130624086, Hydractinia|LOC130623926, Hydractinia|LOC130614578, Hydractinia|LOC130644714, Hydractinia|LOC130644510, Hydractinia|LOC130647227, Hydractinia|LOC130656708, Hydractinia|LOC130640787, Hydractinia|LOC130614717, Hydractinia|LOC130623885, Hydractinia|LOC130662733, Hydractinia|LOC130662734, Hydractinia|LOC130645064	Clytia|LOC_023522
OG0000092	Hydractinia|LOC130614184, Hydractinia|LOC130614592, Hydractinia|LOC130614431, Hydractinia|LOC130614414, Hydractinia|LOC130613489, Hydractinia|LOC130613490, Hydractinia|LOC130613540, Hydractinia|LOC130614459, Hydractinia|LOC130648590, Hydractinia|LOC130648591, Hydractinia|LOC130648583, Hydractinia|LOC130649364, Hydractinia|LOC130648597, Hydractinia|LOC130648447, Hydractinia|LOC130613604, Hydractinia|LOC130613603, Hydractinia|LOC130613617, Hydractinia|LOC130614567, Hydractinia|LOC130614303, Hydractinia|LOC130613619, Hydractinia|LOC130613618, Hydractinia|LOC130613620	Clytia|LOC_019343
OG0000092	Hydractinia|LOC130625706, Hydractinia|LOC130648547, Hydractinia|LOC130648908	Clytia|LOC_001332, Clytia|LOC_042934
OG0000092	Hydractinia|LOC130613396, Hydractinia|LOC130613420, Hydractinia|LOC130613480, Hydractinia|LOC130613418, Hydractinia|LOC130613419	Clytia|LOC_040554
OG0000095	Hydractinia|LOC130644939	Clytia|LOC_027553, Clytia|LOC_037347, Clytia|LOC_037702, Clytia|LOC_016564, Clytia|LOC_007721, Clytia|LOC_041773, Clytia|LOC_033017, Clytia|LOC_021736, Clytia|LOC_025237
OG0000096	Hydractinia|LOC130630430	Clytia|LOC_024348, Clytia|LOC_037980
OG0000097	Hydractinia|LOC130657035	Clytia|LOC_005362
OG0000097	Hydractinia|LOC130628905, Hydractinia|LOC130628598, Hydractinia|LOC130628907, Hydractinia|LOC130641789, Hydractinia|LOC130654245	Clytia|LOC_026732
OG0000099	Hydractinia|LOC130653763, Hydractinia|LOC130655905, Hydractinia|LOC130654023, Hydractinia|LOC130623866, Hydractinia|LOC130655048	Clytia|LOC_038973, Clytia|LOC_042141, Clytia|LOC_033871, Clytia|LOC_007234
OG0000099	Hydractinia|LOC130653830, Hydractinia|LOC130621301, Hydractinia|LOC130655670, Hydractinia|LOC130655209	Clytia|LOC_002257
OG0000099	Hydractinia|LOC130622122, Hydractinia|LOC130630274, Hydractinia|LOC130629753	Clytia|LOC_010091
OG0000101	Hydractinia|LOC130613201, Hydractinia|LOC130613202	Clytia|LOC_044820, Clytia|LOC_044792, Clytia|LOC_044821, Clytia|LOC_044777, Clytia|LOC_010824, Clytia|LOC_044779
OG0000102	Hydractinia|LOC130645903, Hydractinia|LOC130646238, Hydractinia|LOC130645805, Hydractinia|LOC130645802, Hydractinia|LOC130646310, Hydractinia|LOC130646309, Hydractinia|LOC130645599, Hydractinia|LOC130640830, Hydractinia|LOC130641201, Hydractinia|LOC130654695	Clytia|LOC_044518, Clytia|LOC_036827
OG0000106	Hydractinia|LOC130625172	Clytia|LOC_014477
OG0000106	Hydractinia|LOC130641166	Clytia|LOC_007985, Clytia|LOC_005886, Clytia|LOC_017506, Clytia|LOC_038046, Clytia|LOC_033919, Clytia|LOC_003385, Clytia|LOC_034030, Clytia|LOC_003391, Clytia|LOC_012939, Clytia|LOC_007502, Clytia|LOC_018677, Clytia|LOC_024246, Clytia|LOC_023307, Clytia|LOC_009186, Clytia|LOC_034001, Clytia|LOC_039556, Clytia|LOC_013772, Clytia|LOC_020659, Clytia|LOC_020245, Clytia|LOC_026904, Clytia|LOC_002881, Clytia|LOC_028031, Clytia|LOC_009548, Clytia|LOC_029451, Clytia|LOC_031028, Clytia|LOC_027850, Clytia|LOC_040638, Clytia|LOC_029717, Clytia|LOC_007099, Clytia|LOC_004538, Clytia|LOC_017776
OG0000114	Hydractinia|LOC130613612	Clytia|LOC_020931
OG0000115	Hydractinia|LOC130647914	Clytia|LOC_018658, Clytia|LOC_021113, Clytia|LOC_033051, Clytia|LOC_012156, Clytia|LOC_044889, Clytia|LOC_024658, Clytia|LOC_019805, Clytia|LOC_024613, Clytia|LOC_043468, Clytia|LOC_044846, Clytia|LOC_022441, Clytia|LOC_027859, Clytia|LOC_016456, Clytia|LOC_020805, Clytia|LOC_031432, Clytia|LOC_017119, Clytia|LOC_020056, Clytia|LOC_038313, Clytia|LOC_022823, Clytia|LOC_019886, Clytia|LOC_025128, Clytia|LOC_037835, Clytia|LOC_032293, Clytia|LOC_021199, Clytia|LOC_022423, Clytia|LOC_022377, Clytia|LOC_012733, Clytia|LOC_032334, Clytia|LOC_013145, Clytia|LOC_025160, Clytia|LOC_027270, Clytia|LOC_029812, Clytia|LOC_043713, Clytia|LOC_034490, Clytia|LOC_022903, Clytia|LOC_011379
OG0000116	Hydractinia|LOC130624967, Hydractinia|LOC130645136, Hydractinia|LOC130646973, Hydractinia|LOC130624126, Hydractinia|LOC130654166, Hydractinia|LOC130629798, Hydractinia|LOC130630325, Hydractinia|LOC130641834, Hydractinia|LOC130645298, Hydractinia|LOC130640719, Hydractinia|LOC130644572, Hydractinia|LOC130613357, Hydractinia|LOC130648382, Hydractinia|LOC130654406, Hydractinia|LOC130657379, Hydractinia|LOC130656405, Hydractinia|LOC130622477, Hydractinia|LOC130629024, Hydractinia|LOC130646974, Hydractinia|LOC130656403, Hydractinia|LOC130645476, Hydractinia|LOC130641841, Hydractinia|LOC130645134, Hydractinia|LOC130636492, Hydractinia|LOC130629317, Hydractinia|LOC130648181, Hydractinia|LOC130645581	Clytia|LOC_020176
OG0000119	Hydractinia|LOC130630519	Clytia|LOC_038551, Clytia|LOC_003858, Clytia|LOC_033110, Clytia|LOC_017073
OG0000120	Hydractinia|LOC130625064	Clytia|LOC_041119, Clytia|LOC_009961, Clytia|LOC_042502, Clytia|LOC_012119, Clytia|LOC_020420, Clytia|LOC_009959
OG0000121	Hydractinia|LOC130655592, Hydractinia|LOC130654628	Clytia|LOC_013247
OG0000121	Hydractinia|LOC130654518, Hydractinia|LOC130654516	Clytia|LOC_034546, Clytia|LOC_034547, Clytia|LOC_034548
OG0000129	Hydractinia|LOC130636163	Clytia|LOC_025445, Clytia|LOC_033805, Clytia|LOC_029612, Clytia|LOC_003287, Clytia|LOC_020030, Clytia|LOC_016792, Clytia|LOC_027940, Clytia|LOC_026781, Clytia|LOC_025737, Clytia|LOC_021130, Clytia|LOC_030451, Clytia|LOC_020103, Clytia|LOC_027096, Clytia|LOC_041185, Clytia|LOC_020029, Clytia|LOC_029635, Clytia|LOC_026327, Clytia|LOC_043673, Clytia|LOC_018826, Clytia|LOC_014019, Clytia|LOC_043666, Clytia|LOC_022562, Clytia|LOC_028427, Clytia|LOC_026714, Clytia|LOC_036478, Clytia|LOC_035519, Clytia|LOC_012354, Clytia|LOC_009944, Clytia|LOC_027858, Clytia|LOC_026068, Clytia|LOC_026348, Clytia|LOC_014971, Clytia|LOC_017612
OG0000135	Hydractinia|LOC130630336, Hydractinia|LOC130630009, Hydractinia|LOC130648991, Hydractinia|LOC130621352, Hydractinia|LOC130621350, Hydractinia|LOC130621896, Hydractinia|LOC130621895, Hydractinia|LOC130621357, Hydractinia|LOC130621901, Hydractinia|LOC130621458, Hydractinia|LOC130655149, Hydractinia|LOC130653629, Hydractinia|LOC130653628, Hydractinia|LOC130628829, Hydractinia|LOC130635855	Clytia|LOC_000978, Clytia|LOC_001011
OG0000136	Hydractinia|LOC130623837, Hydractinia|LOC130623840, Hydractinia|LOC130624039, Hydractinia|LOC130623846, Hydractinia|LOC130641704, Hydractinia|LOC130621333, Hydractinia|LOC130622679	Clytia|LOC_017246, Clytia|LOC_027033, Clytia|LOC_040269, Clytia|LOC_040270
