Orthogroup	longest_isoform_ClytiaProteins	longest_isoform_HydraProteins
OG0000041	Clytia|LOC028192, Clytia|LOC001404	Hydra|LOC124817196, Hydra|LOC124809037, Hydra|LOC124815851, Hydra|LOC124807156, Hydra|LOC124809009, Hydra|LOC124817065, Hydra|LOC124819302, Hydra|LOC124816091, Hydra|LOC124814567, Hydra|LOC124814502, Hydra|LOC124806913, Hydra|LOC124818784, Hydra|LOC100214618, Hydra|LOC100205216, Hydra|LOC124815351, Hydra|LOC124817120, Hydra|LOC124817114, Hydra|LOC124816344, Hydra|LOC124815454, Hydra|LOC124814093, Hydra|LOC100212395, Hydra|LOC124811660, Hydra|LOC124808592, Hydra|LOC124817124, Hydra|LOC124812664, Hydra|LOC124807268, Hydra|LOC100200387, Hydra|LOC124814551, Hydra|LOC124818777, Hydra|LOC100215876, Hydra|LOC100202948, Hydra|LOC100202891, Hydra|LOC100197137, Hydra|LOC124814016, Hydra|LOC124819113, Hydra|LOC124814952, Hydra|LOC124815701, Hydra|LOC124807396, Hydra|LOC105851009, Hydra|LOC124811265, Hydra|LOC100207340, Hydra|LOC124818985
OG0000041	Clytia|LOC016809, Clytia|LOC005088	Hydra|LOC124805951, Hydra|LOC105848553, Hydra|LOC124809192
OG0000047	Clytia|LOC032826, Clytia|LOC005929, Clytia|LOC025378	Hydra|LOC124808554, Hydra|LOC105844759, Hydra|LOC100203216
OG0000047	Clytia|LOC005930, Clytia|LOC043586, Clytia|LOC032625, Clytia|LOC021234, Clytia|LOC040508, Clytia|LOC041536, Clytia|LOC018138, Clytia|LOC025036, Clytia|LOC006737, Clytia|LOC035375, Clytia|LOC019485, Clytia|LOC037230, Clytia|LOC015820	Hydra|LOC124811288, Hydra|LOC124816221
OG0000047	Clytia|LOC022998, Clytia|LOC014620, Clytia|LOC014247, Clytia|LOC018337	Hydra|LOC124812491
OG0000047	Clytia|LOC011860, Clytia|LOC041735, Clytia|LOC007894, Clytia|LOC004499, Clytia|LOC018799, Clytia|LOC026116, Clytia|LOC040030, Clytia|LOC025745, Clytia|LOC022595, Clytia|LOC012799, Clytia|LOC011587, Clytia|LOC011242, Clytia|LOC017033, Clytia|LOC006248, Clytia|LOC008571	Hydra|LOC124814052
OG0000049	Clytia|LOC000359	Hydra|LOC124815975
OG0000049	Clytia|LOC006090	Hydra|LOC101239839, Hydra|LOC100203231, Hydra|LOC101235926, Hydra|LOC124808567, Hydra|LOC105851025, Hydra|LOC124816125, Hydra|LOC101238960
OG0000050	Clytia|LOC031188, Clytia|LOC018743, Clytia|LOC012577	Hydra|LOC124811434, Hydra|LOC101237371, Hydra|LOC124810861, Hydra|LOC124814340, Hydra|LOC101241515, Hydra|LOC105851030, Hydra|LOC124812318, Hydra|LOC124819165, Hydra|LOC124816028, Hydra|LOC101240057, Hydra|LOC101235303, Hydra|LOC105846491, Hydra|LOC101236144, Hydra|LOC124819177, Hydra|LOC124813759, Hydra|LOC101238994, Hydra|LOC101235643, Hydra|LOC105849119, Hydra|LOC100201776, Hydra|LOC101241427, Hydra|LOC105846680, Hydra|LOC124811353, Hydra|LOC124816740, Hydra|LOC124806216
OG0000052	Clytia|LOC003985	Hydra|LOC124810088, Hydra|LOC124810087
OG0000055	Clytia|LOC037309, Clytia|LOC011687, Clytia|LOC031115, Clytia|LOC014757, Clytia|LOC019574	Hydra|LOC100198982, Hydra|LOC100201245, Hydra|LOC100208378, Hydra|LOC101240164, Hydra|LOC100199379
OG0000056	Clytia|LOC040257, Clytia|LOC044510, Clytia|LOC032863, Clytia|LOC009882, Clytia|LOC016972, Clytia|LOC041403	Hydra|LOC100212279, Hydra|LOC105850026, Hydra|LOC105843886, Hydra|LOC105843885, Hydra|LOC100199100, Hydra|LOC100215485, Hydra|LOC100202932, Hydra|LOC100203996, Hydra|LOC100215883, Hydra|LOC124817534, Hydra|LOC100210439, Hydra|LOC105850171
OG0000057	Clytia|LOC044383	Hydra|LOC100211639, Hydra|LOC100204569
OG0000057	Clytia|LOC020267	Hydra|LOC105844836
OG0000057	Clytia|LOC032661	Hydra|LOC101240655
OG0000058	Clytia|LOC009218	Hydra|LOC100208117, Hydra|LOC100209370, Hydra|LOC100211643, Hydra|LOC100206280, Hydra|LOC100212715, Hydra|LOC100207137, Hydra|LOC100198645, Hydra|LOC100200047, Hydra|LOC100200125, Hydra|LOC100215544, Hydra|LOC100205851
OG0000058	Clytia|LOC001448	Hydra|LOC100204781
OG0000059	Clytia|LOC009758	Hydra|LOC124807794
OG0000064	Clytia|LOC030566	Hydra|LOC100198560
OG0000064	Clytia|LOC004460	Hydra|LOC101238122
OG0000070	Clytia|LOC003863, Clytia|LOC023129, Clytia|LOC019571, Clytia|LOC024647, Clytia|LOC043392, Clytia|LOC018545, Clytia|LOC043942, Clytia|LOC012194, Clytia|LOC028028, Clytia|LOC015165, Clytia|LOC015176, Clytia|LOC043391, Clytia|LOC028822, Clytia|LOC018076, Clytia|LOC012657	Hydra|LOC100199035, Hydra|LOC100208692, Hydra|LOC100208013, Hydra|LOC101236318, Hydra|LOC100209933, Hydra|LOC100214511, Hydra|LOC100210485, Hydra|LOC100213639, Hydra|LOC100202831, Hydra|LOC100205467
OG0000071	Clytia|LOC016497, Clytia|LOC015138, Clytia|LOC012974, Clytia|LOC040493, Clytia|LOC006069, Clytia|LOC004166, Clytia|LOC012975	Hydra|LOC101238762, Hydra|LOC100203937, Hydra|LOC100197148, Hydra|LOC105847586, Hydra|LOC100214107, Hydra|LOC100208450, Hydra|LOC100213839, Hydra|LOC100207051, Hydra|LOC105843386, Hydra|LOC105847748, Hydra|LOC100205608, Hydra|LOC100197328, Hydra|LOC101236989, Hydra|LOC100210397, Hydra|LOC100199090, Hydra|LOC101237406, Hydra|LOC105848477, Hydra|LOC100203405, Hydra|LOC105844737, Hydra|LOC101238025, Hydra|LOC105849732, Hydra|LOC105847520, Hydra|LOC105844194, Hydra|LOC105844851, Hydra|LOC124807279, Hydra|LOC105846743, Hydra|LOC105847007, Hydra|LOC124807548, Hydra|LOC105846130, Hydra|LOC100210254, Hydra|LOC124807298, Hydra|LOC124807041, Hydra|LOC124806850, Hydra|LOC124807047, Hydra|LOC105847441, Hydra|LOC105847694, Hydra|LOC124815391
OG0000072	Clytia|LOC020657	Hydra|LOC105843185
OG0000076	Clytia|LOC006659, Clytia|LOC011074	Hydra|LOC100197513, Hydra|LOC100200835, Hydra|LOC100206745
OG0000076	Clytia|LOC045131, Clytia|LOC045140	Hydra|LOC100204469
OG0000077	Clytia|LOC021580	Hydra|LOC124808598, Hydra|LOC124811869, Hydra|LOC124808754, Hydra|LOC124810962, Hydra|LOC124809876, Hydra|LOC124815272, Hydra|LOC124811656, Hydra|LOC124808806, Hydra|LOC124816679, Hydra|LOC105849695, Hydra|LOC105848780, Hydra|LOC105844707, Hydra|LOC124816781, Hydra|LOC124817732, Hydra|LOC124813387, Hydra|LOC124808933, Hydra|LOC124815154, Hydra|LOC124807677, Hydra|LOC105844517, Hydra|LOC100210922, Hydra|LOC105845298, Hydra|LOC105850492, Hydra|LOC124809454, Hydra|LOC124807181, Hydra|LOC124811372, Hydra|LOC105845273, Hydra|LOC124812705, Hydra|LOC124811548, Hydra|LOC105847862, Hydra|LOC105850655, Hydra|LOC124807634, Hydra|LOC105845150, Hydra|LOC124811646, Hydra|LOC124810435, Hydra|LOC124812194, Hydra|LOC124814630, Hydra|LOC105846786, Hydra|LOC105850987, Hydra|LOC105845582, Hydra|LOC105844956, Hydra|LOC124817647, Hydra|LOC124807902
OG0000087	Clytia|LOC023522	Hydra|LOC124814947
OG0000095	Clytia|LOC027553, Clytia|LOC037347, Clytia|LOC037702, Clytia|LOC016564, Clytia|LOC007721, Clytia|LOC041773, Clytia|LOC033017, Clytia|LOC021736	Hydra|LOC124817479, Hydra|LOC101234480, Hydra|LOC124805861
OG0000096	Clytia|LOC027348	Hydra|LOC124818226
OG0000097	Clytia|LOC005362, Clytia|LOC026732	Hydra|LOC101235243, Hydra|LOC100197458, Hydra|LOC105843824, Hydra|LOC100204018, Hydra|LOC100199462, Hydra|LOC100205528, Hydra|LOC124813588, Hydra|LOC124813587, Hydra|LOC100202946, Hydra|LOC124813591, Hydra|LOC100199246, Hydra|LOC100211336, Hydra|LOC124813270, Hydra|LOC124813271, Hydra|LOC124813272, Hydra|LOC124813273, Hydra|LOC124808990, Hydra|LOC100200369, Hydra|LOC124808989, Hydra|LOC124808835, Hydra|LOC100214931, Hydra|LOC100211409
OG0000099	Clytia|LOC038973, Clytia|LOC042141, Clytia|LOC033871, Clytia|LOC007234	Hydra|LOC100198789, Hydra|LOC100208992, Hydra|LOC124807958, Hydra|LOC101234986, Hydra|LOC100200794
OG0000099	Clytia|LOC002257	Hydra|LOC101238906, Hydra|LOC100205679, Hydra|LOC124816533, Hydra|LOC105845703, Hydra|LOC105850458, Hydra|LOC124809446, Hydra|LOC105849325
OG0000101	Clytia|LOC044821, Clytia|LOC044777	Hydra|LOC105847405, Hydra|LOC124807874, Hydra|LOC100202594, Hydra|LOC105849163, Hydra|LOC105850477, Hydra|LOC105849833, Hydra|LOC100202526, Hydra|LOC105846394, Hydra|LOC100200487, Hydra|LOC100205967, Hydra|LOC105847111, Hydra|LOC105847937, Hydra|LOC100197853, Hydra|LOC105850058, Hydra|LOC105847567, Hydra|LOC124817013, Hydra|LOC124808112
OG0000101	Clytia|LOC010824, Clytia|LOC044779	Hydra|LOC100211975, Hydra|LOC105847963
OG0000102	Clytia|LOC044518, Clytia|LOC036827	Hydra|LOC105845506, Hydra|LOC100204385, Hydra|LOC100210029, Hydra|LOC100197985, Hydra|LOC100203529, Hydra|LOC124814554
OG0000106	Clytia|LOC014477, Clytia|LOC007985, Clytia|LOC005886, Clytia|LOC017506, Clytia|LOC038046, Clytia|LOC033919, Clytia|LOC003385, Clytia|LOC034030, Clytia|LOC003391, Clytia|LOC012939, Clytia|LOC007502, Clytia|LOC018677, Clytia|LOC024246, Clytia|LOC023307, Clytia|LOC009186, Clytia|LOC034001, Clytia|LOC039556, Clytia|LOC013772, Clytia|LOC020659, Clytia|LOC020245, Clytia|LOC026904, Clytia|LOC002881, Clytia|LOC028031, Clytia|LOC009548, Clytia|LOC029451, Clytia|LOC031028, Clytia|LOC027850, Clytia|LOC040638, Clytia|LOC029717, Clytia|LOC007099, Clytia|LOC004538, Clytia|LOC017776	Hydra|LOC124813372, Hydra|LOC124807592
OG0000107	Clytia|LOC024146, Clytia|LOC005994, Clytia|LOC042515, Clytia|LOC010498, Clytia|LOC027659, Clytia|LOC041537, Clytia|LOC014232, Clytia|LOC019802, Clytia|LOC016658, Clytia|LOC032628, Clytia|LOC016723, Clytia|LOC025950, Clytia|LOC024172, Clytia|LOC025062, Clytia|LOC039589, Clytia|LOC021436, Clytia|LOC007828, Clytia|LOC016568, Clytia|LOC021898, Clytia|LOC032605, Clytia|LOC027924, Clytia|LOC041220, Clytia|LOC016409, Clytia|LOC037229, Clytia|LOC018704, Clytia|LOC018908, Clytia|LOC024081, Clytia|LOC033673, Clytia|LOC006247, Clytia|LOC033677, Clytia|LOC035348, Clytia|LOC005931, Clytia|LOC019056, Clytia|LOC021413, Clytia|LOC024929, Clytia|LOC015087, Clytia|LOC031590	Hydra|LOC124810516
OG0000114	Clytia|LOC023088, Clytia|LOC007705, Clytia|LOC020880, Clytia|LOC032961, Clytia|LOC021237, Clytia|LOC025827	Hydra|LOC124809990, Hydra|LOC124807036, Hydra|LOC124819117, Hydra|LOC124817223, Hydra|LOC124815623
OG0000116	Clytia|LOC020176	Hydra|LOC105844919, Hydra|LOC105844462, Hydra|LOC124814664, Hydra|LOC124806794, Hydra|LOC124812446, Hydra|LOC124817980, Hydra|LOC124812220, Hydra|LOC124809128
OG0000119	Clytia|LOC013647	Hydra|LOC101241120
OG0000119	Clytia|LOC038551, Clytia|LOC003858, Clytia|LOC033110, Clytia|LOC017073	Hydra|LOC101234692
OG0000121	Clytia|LOC013247	Hydra|LOC100202816
OG0000121	Clytia|LOC034546, Clytia|LOC034547, Clytia|LOC034548	Hydra|LOC100205025, Hydra|LOC100209153
OG0000122	Clytia|LOC016389	Hydra|LOC124806064, Hydra|LOC101237068
OG0000123	Clytia|LOC034279	Hydra|LOC124806254, Hydra|LOC124808501, Hydra|LOC124815199, Hydra|LOC101240833, Hydra|LOC101241821, Hydra|LOC101237033, Hydra|LOC105846156, Hydra|LOC101234688, Hydra|LOC124812486, Hydra|LOC101238091, Hydra|LOC101235674, Hydra|LOC101239035, Hydra|LOC101241129, Hydra|LOC101239844, Hydra|LOC124808626, Hydra|LOC101240727, Hydra|LOC124816275, Hydra|LOC101234312, Hydra|LOC124811226, Hydra|LOC124811219, Hydra|LOC101239024, Hydra|LOC124812007, Hydra|LOC101240443, Hydra|LOC101237152, Hydra|LOC124812697, Hydra|LOC101237545, Hydra|LOC124811202, Hydra|LOC101235352, Hydra|LOC124807032, Hydra|LOC105844004, Hydra|LOC124809425, Hydra|LOC124815093, Hydra|LOC101238692, Hydra|LOC101238977, Hydra|LOC101241640
OG0000135	Clytia|LOC000978, Clytia|LOC001011	Hydra|LOC105843177
OG0000136	Clytia|LOC009005	Hydra|LOC101236484
OG0000138	Clytia|LOC027347, Clytia|LOC035704	Hydra|LOC124818227, Hydra|LOC124810394, Hydra|LOC124816785
OG0000139	Clytia|LOC020618	Hydra|LOC101234992, Hydra|LOC105846869
OG0000140	Clytia|LOC036855	Hydra|LOC105846240
OG0000149	Clytia|LOC009534	Hydra|LOC124805805, Hydra|LOC124810124, Hydra|LOC124810126, Hydra|LOC124810051, Hydra|LOC124810053, Hydra|LOC124810052, Hydra|LOC100204347, Hydra|LOC124810085, Hydra|LOC124810102, Hydra|LOC124810086, Hydra|LOC124810041
OG0000150	Clytia|LOC017886	Hydra|LOC101239443, Hydra|LOC124814296
OG0000154	Clytia|LOC039418	Hydra|LOC100214713
OG0000158	Clytia|LOC022281	Hydra|LOC124817025
OG0000158	Clytia|LOC022893, Clytia|LOC022894, Clytia|LOC042747, Clytia|LOC011790, Clytia|LOC018100	Hydra|LOC124813134
OG0000158	Clytia|LOC036421	Hydra|LOC124817998
OG0000158	Clytia|LOC027385	Hydra|LOC124818088
OG0000158	Clytia|LOC018092, Clytia|LOC036278	Hydra|LOC124805886
OG0000161	Clytia|LOC035657, Clytia|LOC020579	Hydra|LOC100205024, Hydra|LOC100209038
OG0000162	Clytia|LOC026733	Hydra|LOC105845415, Hydra|LOC124809061, Hydra|LOC124815819, Hydra|LOC124806664, Hydra|LOC124817561, Hydra|LOC105850241, Hydra|LOC124817429, Hydra|LOC105846026, Hydra|LOC124815702, Hydra|LOC124811105, Hydra|LOC124811266, Hydra|LOC124815291, Hydra|LOC105848041, Hydra|LOC124817101, Hydra|LOC124812544, Hydra|LOC124814951, Hydra|LOC124807999, Hydra|LOC105846274, Hydra|LOC124809082, Hydra|LOC124810637, Hydra|LOC124814637, Hydra|LOC124814844, Hydra|LOC124814116, Hydra|LOC124806961, Hydra|LOC124813948, Hydra|LOC124818154, Hydra|LOC124815804, Hydra|LOC124807522
OG0000171	Clytia|LOC010525, Clytia|LOC013644, Clytia|LOC013785	Hydra|LOC100209148, Hydra|LOC100207461
OG0000171	Clytia|LOC017940, Clytia|LOC004093, Clytia|LOC004092	Hydra|LOC101240094
OG0000172	Clytia|LOC036838, Clytia|LOC029414, Clytia|LOC007993, Clytia|LOC040448	Hydra|LOC100200070, Hydra|LOC100210824, Hydra|LOC100214004, Hydra|LOC100211747, Hydra|LOC100204251, Hydra|LOC100214342, Hydra|LOC100204542, Hydra|LOC100208696, Hydra|LOC105844189, Hydra|LOC100197723
OG0000181	Clytia|LOC018765, Clytia|LOC002562, Clytia|LOC014700, Clytia|LOC014689, Clytia|LOC008546, Clytia|LOC001455, Clytia|LOC004883, Clytia|LOC001454, Clytia|LOC001493, Clytia|LOC001492, Clytia|LOC018768, Clytia|LOC009350, Clytia|LOC001420, Clytia|LOC014688, Clytia|LOC018763, Clytia|LOC018766, Clytia|LOC013298, Clytia|LOC013308, Clytia|LOC013309, Clytia|LOC010820, Clytia|LOC005300, Clytia|LOC017683, Clytia|LOC006384, Clytia|LOC043267, Clytia|LOC010993, Clytia|LOC033091	Hydra|LOC100199767
OG0000182	Clytia|LOC036516, Clytia|LOC001657	Hydra|LOC124814729, Hydra|LOC124815970, Hydra|LOC124807117, Hydra|LOC124809126
OG0000182	Clytia|LOC036517, Clytia|LOC023081, Clytia|LOC028614, Clytia|LOC018844, Clytia|LOC042036, Clytia|LOC025985, Clytia|LOC009220	Hydra|LOC124808522
OG0000182	Clytia|LOC026019, Clytia|LOC032908, Clytia|LOC024346	Hydra|LOC124817661, Hydra|LOC124816290, Hydra|LOC105848552
OG0000183	Clytia|LOC002151	Hydra|LOC105847108
OG0000183	Clytia|LOC007968, Clytia|LOC011732	Hydra|LOC100202075, Hydra|LOC105844007
OG0000187	Clytia|LOC012759	Hydra|LOC124818782, Hydra|LOC124817773, Hydra|LOC124808398, Hydra|LOC124815840
OG0000187	Clytia|LOC020952, Clytia|LOC006913, Clytia|LOC016922	Hydra|LOC124819175
OG0000189	Clytia|LOC011151, Clytia|LOC016571, Clytia|LOC016487	Hydra|LOC105843051, Hydra|LOC124806290, Hydra|LOC124808890, Hydra|LOC124812077, Hydra|LOC124812076, Hydra|LOC124811036, Hydra|LOC124811037, Hydra|LOC124810944, Hydra|LOC105850318, Hydra|LOC124816845, Hydra|LOC105845879, Hydra|LOC124818510, Hydra|LOC124807723, Hydra|LOC124818598, Hydra|LOC124808443, Hydra|LOC124819321, Hydra|LOC124812506, Hydra|LOC124815512, Hydra|LOC124812078, Hydra|LOC100210356, Hydra|LOC124807772, Hydra|LOC124806289, Hydra|LOC100203912, Hydra|LOC124816284, Hydra|LOC124811174, Hydra|LOC124811173
OG0000190	Clytia|LOC023819, Clytia|LOC020840, Clytia|LOC027512, Clytia|LOC027341, Clytia|LOC032511, Clytia|LOC025012, Clytia|LOC011983, Clytia|LOC016941, Clytia|LOC032213, Clytia|LOC016144, Clytia|LOC023005, Clytia|LOC040833	Hydra|LOC124808627
OG0000190	Clytia|LOC027398	Hydra|LOC124819132
OG0000190	Clytia|LOC038726	Hydra|LOC124810639
OG0000191	Clytia|LOC044011, Clytia|LOC013758, Clytia|LOC038024, Clytia|LOC041071	Hydra|LOC101237290, Hydra|LOC100203903, Hydra|LOC100205142, Hydra|LOC101241511, Hydra|LOC100201535, Hydra|LOC101237418
OG0000192	Clytia|LOC033128	Hydra|LOC105848735, Hydra|LOC105847728, Hydra|LOC124814037, Hydra|LOC124815168, Hydra|LOC124816083, Hydra|LOC124807462, Hydra|LOC124809805, Hydra|LOC124809813, Hydra|LOC124815510, Hydra|LOC124809366, Hydra|LOC124813494, Hydra|LOC124808546, Hydra|LOC124814454, Hydra|LOC124814041, Hydra|LOC124806299, Hydra|LOC124811455, Hydra|LOC124809178, Hydra|LOC124808588, Hydra|LOC124816690, Hydra|LOC124816603, Hydra|LOC124808749, Hydra|LOC124818983, Hydra|LOC124813740, Hydra|LOC124813739, Hydra|LOC124808790, Hydra|LOC124813311, Hydra|LOC124806542, Hydra|LOC124814071, Hydra|LOC124815703
OG0000198	Clytia|LOC010119, Clytia|LOC000685, Clytia|LOC027623, Clytia|LOC000634, Clytia|LOC000635, Clytia|LOC036720	Hydra|LOC100198301, Hydra|LOC105848097, Hydra|LOC100198266, Hydra|LOC100210114, Hydra|LOC100206560, Hydra|LOC124816021, Hydra|LOC124815485, Hydra|LOC105848060, Hydra|LOC124815483, Hydra|LOC105848059, Hydra|LOC100212264, Hydra|LOC105843370, Hydra|LOC100214927, Hydra|LOC124817284, Hydra|LOC101241671, Hydra|LOC105848315, Hydra|LOC100209302, Hydra|LOC100204079, Hydra|LOC105846252, Hydra|LOC124815817, Hydra|LOC105844145
OG0000199	Clytia|LOC037757	Hydra|LOC100210520
OG0000199	Clytia|LOC001458, Clytia|LOC014192	Hydra|LOC100210347
OG0000201	Clytia|LOC002457	Hydra|LOC101234800
OG0000201	Clytia|LOC010572	Hydra|LOC101235379, Hydra|LOC124818168, Hydra|LOC124818652, Hydra|LOC124818169, Hydra|LOC124818171
OG0000201	Clytia|LOC042021	Hydra|LOC105844596, Hydra|LOC124818240
OG0000203	Clytia|LOC006283	Hydra|LOC105845451, Hydra|LOC105846532, Hydra|LOC124806214
OG0000204	Clytia|LOC011197, Clytia|LOC031082	Hydra|LOC124810952
OG0000205	Clytia|LOC033080	Hydra|LOC101241012
OG0000205	Clytia|LOC014280	Hydra|LOC105847945, Hydra|LOC100212356, Hydra|LOC100208489, Hydra|LOC100206775, Hydra|LOC100201407
OG0000213	Clytia|LOC039083, Clytia|LOC042361, Clytia|LOC039431, Clytia|LOC039430, Clytia|LOC042296, Clytia|LOC037945, Clytia|LOC037952, Clytia|LOC045007, Clytia|LOC039138, Clytia|LOC039137, Clytia|LOC039082, Clytia|LOC039134, Clytia|LOC039109, Clytia|LOC030430, Clytia|LOC030417, Clytia|LOC039112, Clytia|LOC039136, Clytia|LOC032959, Clytia|LOC037946, Clytia|LOC012910, Clytia|LOC029064, Clytia|LOC037948, Clytia|LOC042346, Clytia|LOC040139, Clytia|LOC000126, Clytia|LOC000047, Clytia|LOC000048	Hydra|LOC105847263
OG0000214	Clytia|LOC013572	Hydra|LOC100214606
OG0000214	Clytia|LOC001305, Clytia|LOC001335, Clytia|LOC012853	Hydra|LOC100210361, Hydra|LOC100200773, Hydra|LOC100204287, Hydra|LOC100208387, Hydra|LOC100211315
OG0000218	Clytia|LOC030794, Clytia|LOC036043, Clytia|LOC009449	Hydra|LOC100199496
