Orthogroup	longest_isoform_ClytiaProteins	longest_isoform_HydractiniaProteins
OG0000011	Clytia|LOC032289, Clytia|LOC043684, Clytia|LOC005472, Clytia|LOC001109, Clytia|LOC038723, Clytia|LOC000148, Clytia|LOC014378, Clytia|LOC016589, Clytia|LOC038634, Clytia|LOC029808, Clytia|LOC026545, Clytia|LOC018851, Clytia|LOC039785, Clytia|LOC027971, Clytia|LOC035015, Clytia|LOC044254	Hydractinia|LOC130630139
OG0000011	Clytia|LOC024584	Hydractinia|LOC130612914, Hydractinia|LOC130653829, Hydractinia|LOC130613454, Hydractinia|LOC130630332
OG0000012	Clytia|LOC024469	Hydractinia|LOC130657890, Hydractinia|LOC130619234
OG0000012	Clytia|LOC014876, Clytia|LOC020023, Clytia|LOC018498	Hydractinia|LOC130649269, Hydractinia|LOC130645275, Hydractinia|LOC130629945, Hydractinia|LOC130644159, Hydractinia|LOC130645787, Hydractinia|LOC130648096, Hydractinia|LOC130646911
OG0000012	Clytia|LOC022811, Clytia|LOC015573, Clytia|LOC023433, Clytia|LOC018212, Clytia|LOC025301, Clytia|LOC023432, Clytia|LOC018211, Clytia|LOC019429, Clytia|LOC025945	Hydractinia|LOC130628946
OG0000012	Clytia|LOC032409, Clytia|LOC031974	Hydractinia|LOC130624204, Hydractinia|LOC130654344
OG0000012	Clytia|LOC021441, Clytia|LOC027374, Clytia|LOC017462, Clytia|LOC017620	Hydractinia|LOC130636097, Hydractinia|LOC130645573
OG0000019	Clytia|LOC012416	Hydractinia|LOC130636372
OG0000019	Clytia|LOC035404, Clytia|LOC035412, Clytia|LOC035386, Clytia|LOC010107, Clytia|LOC010108, Clytia|LOC035413, Clytia|LOC036552, Clytia|LOC014947	Hydractinia|LOC130630437
OG0000019	Clytia|LOC012864, Clytia|LOC012865, Clytia|LOC014004, Clytia|LOC001016, Clytia|LOC028659, Clytia|LOC000972, Clytia|LOC004446	Hydractinia|LOC130647034
OG0000019	Clytia|LOC029223	Hydractinia|LOC130636070, Hydractinia|LOC130637571, Hydractinia|LOC130636079, Hydractinia|LOC130637587, Hydractinia|LOC130633451
OG0000019	Clytia|LOC010084, Clytia|LOC045107, Clytia|LOC035384, Clytia|LOC039005, Clytia|LOC014818, Clytia|LOC014946, Clytia|LOC018174, Clytia|LOC042258, Clytia|LOC012407, Clytia|LOC022731, Clytia|LOC037150, Clytia|LOC028917, Clytia|LOC004495, Clytia|LOC012866, Clytia|LOC031706, Clytia|LOC031642, Clytia|LOC006134, Clytia|LOC023203, Clytia|LOC039062, Clytia|LOC045110, Clytia|LOC035385, Clytia|LOC002386, Clytia|LOC037388, Clytia|LOC017424	Hydractinia|LOC130647668, Hydractinia|LOC130647588, Hydractinia|LOC130647667, Hydractinia|LOC130647646, Hydractinia|LOC130647672, Hydractinia|LOC130647649, Hydractinia|LOC130647670, Hydractinia|LOC130647645, Hydractinia|LOC130629178, Hydractinia|LOC130629179, Hydractinia|LOC130625973, Hydractinia|LOC130648144, Hydractinia|LOC130648960
OG0000019	Clytia|LOC036539	Hydractinia|LOC130629227, Hydractinia|LOC130629228, Hydractinia|LOC130629132, Hydractinia|LOC130647589, Hydractinia|LOC130647669, Hydractinia|LOC130623977, Hydractinia|LOC130657338
OG0000020	Clytia|LOC018745	Hydractinia|LOC130622430, Hydractinia|LOC130623146, Hydractinia|LOC130624315, Hydractinia|LOC130625237, Hydractinia|LOC130647226, Hydractinia|LOC130623217, Hydractinia|LOC130624316, Hydractinia|LOC130647998, Hydractinia|LOC130625199, Hydractinia|LOC130646103
OG0000027	Clytia|LOC036708	Hydractinia|LOC130657762, Hydractinia|LOC130657574, Hydractinia|LOC130657552, Hydractinia|LOC130656680, Hydractinia|LOC130656681, Hydractinia|LOC130657521, Hydractinia|LOC130657475, Hydractinia|LOC130657473, Hydractinia|LOC130657472, Hydractinia|LOC130656679, Hydractinia|LOC130657463, Hydractinia|LOC130622882
OG0000027	Clytia|LOC040069	Hydractinia|LOC130654630
OG0000028	Clytia|LOC014132	Hydractinia|LOC130653823, Hydractinia|LOC130621745, Hydractinia|LOC130630157, Hydractinia|LOC130642263, Hydractinia|LOC130630094, Hydractinia|LOC130642212, Hydractinia|LOC130612794, Hydractinia|LOC130655070, Hydractinia|LOC130629972, Hydractinia|LOC130629610, Hydractinia|LOC130642213, Hydractinia|LOC130648521, Hydractinia|LOC130637023, Hydractinia|LOC130655395, Hydractinia|LOC130648059, Hydractinia|LOC130621341
OG0000031	Clytia|LOC026151	Hydractinia|LOC130635880, Hydractinia|LOC130622537
OG0000031	Clytia|LOC000924	Hydractinia|LOC130653857
OG0000031	Clytia|LOC029112	Hydractinia|LOC130635989
OG0000036	Clytia|LOC027032, Clytia|LOC000262	Hydractinia|LOC130628649
OG0000036	Clytia|LOC025146, Clytia|LOC023340, Clytia|LOC025944, Clytia|LOC034307	Hydractinia|LOC130648502
OG0000036	Clytia|LOC009422, Clytia|LOC021142	Hydractinia|LOC130660791, Hydractinia|LOC130630114
OG0000036	Clytia|LOC005544, Clytia|LOC012702, Clytia|LOC023170, Clytia|LOC030500, Clytia|LOC005084, Clytia|LOC044912, Clytia|LOC017788, Clytia|LOC037973	Hydractinia|LOC130648011
OG0000036	Clytia|LOC013561	Hydractinia|LOC130621375, Hydractinia|LOC130642375, Hydractinia|LOC130648600, Hydractinia|LOC130629823, Hydractinia|LOC130621368, Hydractinia|LOC130648189
OG0000036	Clytia|LOC035943	Hydractinia|LOC130613498
OG0000037	Clytia|LOC012800	Hydractinia|LOC130614590
OG0000038	Clytia|LOC020435, Clytia|LOC026073	Hydractinia|LOC130642352
OG0000041	Clytia|LOC028192, Clytia|LOC001404, Clytia|LOC016809, Clytia|LOC005088	Hydractinia|LOC130635935, Hydractinia|LOC130635834, Hydractinia|LOC130655845, Hydractinia|LOC130612154, Hydractinia|LOC130625317, Hydractinia|LOC130625033
OG0000047	Clytia|LOC024709, Clytia|LOC017610, Clytia|LOC039229, Clytia|LOC036590, Clytia|LOC032888, Clytia|LOC017900, Clytia|LOC045808, Clytia|LOC025063, Clytia|LOC021175, Clytia|LOC005930, Clytia|LOC043586, Clytia|LOC032625, Clytia|LOC021234, Clytia|LOC040508, Clytia|LOC041536, Clytia|LOC018138, Clytia|LOC025036, Clytia|LOC006737, Clytia|LOC035375, Clytia|LOC019485, Clytia|LOC037230, Clytia|LOC015820, Clytia|LOC022998, Clytia|LOC014620, Clytia|LOC014247, Clytia|LOC018337	Hydractinia|LOC130648505
OG0000049	Clytia|LOC000359	Hydractinia|LOC130623210, Hydractinia|LOC130637024
OG0000049	Clytia|LOC006090	Hydractinia|LOC130648579, Hydractinia|LOC130662617, Hydractinia|LOC130657531, Hydractinia|LOC130662861, Hydractinia|LOC130637007, Hydractinia|LOC130636907
OG0000052	Clytia|LOC003985	Hydractinia|LOC130657180
OG0000055	Clytia|LOC037309, Clytia|LOC011687, Clytia|LOC031115, Clytia|LOC014757, Clytia|LOC019574	Hydractinia|LOC130648014, Hydractinia|LOC130647079, Hydractinia|LOC130646947, Hydractinia|LOC130646946
OG0000055	Clytia|LOC005650, Clytia|LOC005666	Hydractinia|LOC130647082, Hydractinia|LOC130648058, Hydractinia|LOC130642060
OG0000056	Clytia|LOC040257, Clytia|LOC044510, Clytia|LOC032863, Clytia|LOC009882, Clytia|LOC016972, Clytia|LOC041403	Hydractinia|LOC130654719
OG0000057	Clytia|LOC044383	Hydractinia|LOC130645557
OG0000057	Clytia|LOC020267	Hydractinia|LOC130648983
OG0000057	Clytia|LOC032661	Hydractinia|LOC130645286
OG0000058	Clytia|LOC041183	Hydractinia|LOC130625164, Hydractinia|LOC130612897, Hydractinia|LOC130657718, Hydractinia|LOC130644249, Hydractinia|LOC130646239
OG0000058	Clytia|LOC009218	Hydractinia|LOC130647540
OG0000058	Clytia|LOC001448	Hydractinia|LOC130621547, Hydractinia|LOC130621544, Hydractinia|LOC130621546, Hydractinia|LOC130621533, Hydractinia|LOC130621542, Hydractinia|LOC130621543, Hydractinia|LOC130621540, Hydractinia|LOC130621538, Hydractinia|LOC130621530, Hydractinia|LOC130621531, Hydractinia|LOC130621536, Hydractinia|LOC130621539, Hydractinia|LOC130621537, Hydractinia|LOC130621532, Hydractinia|LOC130621545, Hydractinia|LOC130621535
OG0000059	Clytia|LOC009758	Hydractinia|LOC130623717, Hydractinia|LOC130630002, Hydractinia|LOC130630042, Hydractinia|LOC130622387, Hydractinia|LOC130655533, Hydractinia|LOC130623275, Hydractinia|LOC130642359, Hydractinia|LOC130636847, Hydractinia|LOC130629893, Hydractinia|LOC130625238, Hydractinia|LOC130614651, Hydractinia|LOC130645446, Hydractinia|LOC130623070, Hydractinia|LOC130642199, Hydractinia|LOC130614239, Hydractinia|LOC130653660, Hydractinia|LOC130612889, Hydractinia|LOC130628710, Hydractinia|LOC130629754, Hydractinia|LOC130628630, Hydractinia|LOC130628718, Hydractinia|LOC130662834, Hydractinia|LOC130612816, Hydractinia|LOC130658967, Hydractinia|LOC130636937, Hydractinia|LOC130630107, Hydractinia|LOC130644574, Hydractinia|LOC130657896, Hydractinia|LOC130612985, Hydractinia|LOC130612867, Hydractinia|LOC130642216, Hydractinia|LOC130640706, Hydractinia|LOC130625163, Hydractinia|LOC130645412
OG0000064	Clytia|LOC021768	Hydractinia|LOC130653828
OG0000064	Clytia|LOC045244, Clytia|LOC007240	Hydractinia|LOC130654870, Hydractinia|LOC130655473
OG0000064	Clytia|LOC030566	Hydractinia|LOC130613983
OG0000064	Clytia|LOC004460	Hydractinia|LOC130653877
OG0000070	Clytia|LOC003863, Clytia|LOC023129, Clytia|LOC019571, Clytia|LOC024647, Clytia|LOC043392, Clytia|LOC018545, Clytia|LOC043942, Clytia|LOC012194, Clytia|LOC028028, Clytia|LOC015165, Clytia|LOC015176, Clytia|LOC043391, Clytia|LOC028822, Clytia|LOC018076, Clytia|LOC012657	Hydractinia|LOC130647407
OG0000071	Clytia|LOC016497, Clytia|LOC015138, Clytia|LOC012974, Clytia|LOC040493, Clytia|LOC006069, Clytia|LOC004166, Clytia|LOC012975	Hydractinia|LOC130649660
OG0000072	Clytia|LOC020657	Hydractinia|LOC130648514, Hydractinia|LOC130623535, Hydractinia|LOC130649159, Hydractinia|LOC130649160, Hydractinia|LOC130629979, Hydractinia|LOC130648537, Hydractinia|LOC130648613, Hydractinia|LOC130645896, Hydractinia|LOC130653795, Hydractinia|LOC130625080, Hydractinia|LOC130642205, Hydractinia|LOC130642191, Hydractinia|LOC130657812, Hydractinia|LOC130635490, Hydractinia|LOC130613378, Hydractinia|LOC130612919, Hydractinia|LOC130623081, Hydractinia|LOC130625167, Hydractinia|LOC130645918, Hydractinia|LOC130654274, Hydractinia|LOC130646154
OG0000072	Clytia|LOC045029, Clytia|LOC017867	Hydractinia|LOC130629953
OG0000076	Clytia|LOC006659, Clytia|LOC011074	Hydractinia|LOC130647500
OG0000076	Clytia|LOC005491	Hydractinia|LOC130647707, Hydractinia|LOC130647710, Hydractinia|LOC130647709
OG0000076	Clytia|LOC045131, Clytia|LOC045140	Hydractinia|LOC130654943
OG0000076	Clytia|LOC032509, Clytia|LOC045225	Hydractinia|LOC130642061, Hydractinia|LOC130621180, Hydractinia|LOC130657009
OG0000077	Clytia|LOC021580	Hydractinia|LOC130630081, Hydractinia|LOC130647688
OG0000078	Clytia|LOC035192	Hydractinia|LOC130648569, Hydractinia|LOC130613593, Hydractinia|LOC130623259, Hydractinia|LOC130623263, Hydractinia|LOC130623257, Hydractinia|LOC130623261, Hydractinia|LOC130623265, Hydractinia|LOC130623282, Hydractinia|LOC130649438, Hydractinia|LOC130647765, Hydractinia|LOC130629843, Hydractinia|LOC130613033, Hydractinia|LOC130629785, Hydractinia|LOC130648188, Hydractinia|LOC130628689, Hydractinia|LOC130626017, Hydractinia|LOC130642232, Hydractinia|LOC130642351, Hydractinia|LOC130648580, Hydractinia|LOC130628696, Hydractinia|LOC130621329, Hydractinia|LOC130642344
OG0000078	Clytia|LOC027087	Hydractinia|LOC130628789, Hydractinia|LOC130648052, Hydractinia|LOC130613610, Hydractinia|LOC130648007, Hydractinia|LOC130657891, Hydractinia|LOC130625225, Hydractinia|LOC130648228, Hydractinia|LOC130625104, Hydractinia|LOC130647074, Hydractinia|LOC130648588, Hydractinia|LOC130623260, Hydractinia|LOC130623262, Hydractinia|LOC130623264, Hydractinia|LOC130618902, Hydractinia|LOC130630000, Hydractinia|LOC130648636, Hydractinia|LOC130648594, Hydractinia|LOC130629774, Hydractinia|LOC130642342, Hydractinia|LOC130648598, Hydractinia|LOC130642368
OG0000079	Clytia|LOC036357	Hydractinia|LOC130655471, Hydractinia|LOC130641512, Hydractinia|LOC130645074, Hydractinia|LOC130645075, Hydractinia|LOC130630299, Hydractinia|LOC130641309, Hydractinia|LOC130655072, Hydractinia|LOC130612225, Hydractinia|LOC130629531, Hydractinia|LOC130648314, Hydractinia|LOC130635858, Hydractinia|LOC130623915, Hydractinia|LOC130642137, Hydractinia|LOC130623362, Hydractinia|LOC130635856, Hydractinia|LOC130613624, Hydractinia|LOC130623337, Hydractinia|LOC130654290, Hydractinia|LOC130649484, Hydractinia|LOC130621113, Hydractinia|LOC130629284, Hydractinia|LOC130654265, Hydractinia|LOC130654802, Hydractinia|LOC130655450, Hydractinia|LOC130653858, Hydractinia|LOC130654010, Hydractinia|LOC130644476, Hydractinia|LOC130629336, Hydractinia|LOC130645111, Hydractinia|LOC130656601, Hydractinia|LOC130633887, Hydractinia|LOC130656204, Hydractinia|LOC130612749, Hydractinia|LOC130647986, Hydractinia|LOC130645400, Hydractinia|LOC130613626
OG0000081	Clytia|LOC027982, Clytia|LOC026870, Clytia|LOC000792, Clytia|LOC031096, Clytia|LOC032171, Clytia|LOC026057, Clytia|LOC033464, Clytia|LOC010805, Clytia|LOC037806, Clytia|LOC025408, Clytia|LOC011644, Clytia|LOC036762, Clytia|LOC009708, Clytia|LOC022064, Clytia|LOC016553, Clytia|LOC015036, Clytia|LOC010845, Clytia|LOC008550, Clytia|LOC017705, Clytia|LOC025646, Clytia|LOC009030, Clytia|LOC003641, Clytia|LOC004417, Clytia|LOC030520, Clytia|LOC036310, Clytia|LOC032285, Clytia|LOC012436, Clytia|LOC041363, Clytia|LOC006509, Clytia|LOC011985, Clytia|LOC003716, Clytia|LOC021802, Clytia|LOC006880, Clytia|LOC024896, Clytia|LOC010203, Clytia|LOC012267, Clytia|LOC034684, Clytia|LOC029375, Clytia|LOC004851, Clytia|LOC001972, Clytia|LOC042431, Clytia|LOC037106, Clytia|LOC033163	Hydractinia|LOC130657750
OG0000086	Clytia|LOC030793, Clytia|LOC042126, Clytia|LOC030739	Hydractinia|LOC130654894
OG0000086	Clytia|LOC008540	Hydractinia|LOC130621631, Hydractinia|LOC130621632
OG0000086	Clytia|LOC006000, Clytia|LOC006001	Hydractinia|LOC130614645
OG0000086	Clytia|LOC045253	Hydractinia|LOC130629193, Hydractinia|LOC130614148, Hydractinia|LOC130645941
OG0000087	Clytia|LOC023522	Hydractinia|LOC130624086, Hydractinia|LOC130623926, Hydractinia|LOC130614578, Hydractinia|LOC130644714, Hydractinia|LOC130644510, Hydractinia|LOC130647227, Hydractinia|LOC130656708, Hydractinia|LOC130640787, Hydractinia|LOC130614717, Hydractinia|LOC130623885, Hydractinia|LOC130662733, Hydractinia|LOC130662734, Hydractinia|LOC130645064
OG0000092	Clytia|LOC019343	Hydractinia|LOC130614184, Hydractinia|LOC130614592, Hydractinia|LOC130614431, Hydractinia|LOC130614414, Hydractinia|LOC130613489, Hydractinia|LOC130613490, Hydractinia|LOC130613540, Hydractinia|LOC130614459, Hydractinia|LOC130648590, Hydractinia|LOC130648591, Hydractinia|LOC130648583, Hydractinia|LOC130649364, Hydractinia|LOC130648597, Hydractinia|LOC130648447, Hydractinia|LOC130613604, Hydractinia|LOC130613603, Hydractinia|LOC130613617, Hydractinia|LOC130614567, Hydractinia|LOC130614303, Hydractinia|LOC130613619, Hydractinia|LOC130613618, Hydractinia|LOC130613620
OG0000092	Clytia|LOC001332, Clytia|LOC042934	Hydractinia|LOC130625706, Hydractinia|LOC130648547, Hydractinia|LOC130648908
OG0000092	Clytia|LOC040554	Hydractinia|LOC130613396, Hydractinia|LOC130613420, Hydractinia|LOC130613480, Hydractinia|LOC130613418, Hydractinia|LOC130613419
OG0000095	Clytia|LOC027553, Clytia|LOC037347, Clytia|LOC037702, Clytia|LOC016564, Clytia|LOC007721, Clytia|LOC041773, Clytia|LOC033017, Clytia|LOC021736, Clytia|LOC025237	Hydractinia|LOC130644939
OG0000096	Clytia|LOC024348, Clytia|LOC037980	Hydractinia|LOC130630430
OG0000097	Clytia|LOC005362	Hydractinia|LOC130657035
OG0000097	Clytia|LOC026732	Hydractinia|LOC130628905, Hydractinia|LOC130628598, Hydractinia|LOC130628907, Hydractinia|LOC130641789, Hydractinia|LOC130654245
OG0000099	Clytia|LOC038973, Clytia|LOC042141, Clytia|LOC033871, Clytia|LOC007234	Hydractinia|LOC130653763, Hydractinia|LOC130655905, Hydractinia|LOC130654023, Hydractinia|LOC130623866, Hydractinia|LOC130655048
OG0000099	Clytia|LOC002257	Hydractinia|LOC130653830, Hydractinia|LOC130621301, Hydractinia|LOC130655670, Hydractinia|LOC130655209
OG0000099	Clytia|LOC010091	Hydractinia|LOC130622122, Hydractinia|LOC130630274, Hydractinia|LOC130629753
OG0000101	Clytia|LOC044820, Clytia|LOC044792, Clytia|LOC044821, Clytia|LOC044777, Clytia|LOC010824, Clytia|LOC044779	Hydractinia|LOC130613201, Hydractinia|LOC130613202
OG0000102	Clytia|LOC044518, Clytia|LOC036827	Hydractinia|LOC130645903, Hydractinia|LOC130646238, Hydractinia|LOC130645805, Hydractinia|LOC130645802, Hydractinia|LOC130646310, Hydractinia|LOC130646309, Hydractinia|LOC130645599, Hydractinia|LOC130640830, Hydractinia|LOC130641201, Hydractinia|LOC130654695
OG0000106	Clytia|LOC014477	Hydractinia|LOC130625172
OG0000106	Clytia|LOC007985, Clytia|LOC005886, Clytia|LOC017506, Clytia|LOC038046, Clytia|LOC033919, Clytia|LOC003385, Clytia|LOC034030, Clytia|LOC003391, Clytia|LOC012939, Clytia|LOC007502, Clytia|LOC018677, Clytia|LOC024246, Clytia|LOC023307, Clytia|LOC009186, Clytia|LOC034001, Clytia|LOC039556, Clytia|LOC013772, Clytia|LOC020659, Clytia|LOC020245, Clytia|LOC026904, Clytia|LOC002881, Clytia|LOC028031, Clytia|LOC009548, Clytia|LOC029451, Clytia|LOC031028, Clytia|LOC027850, Clytia|LOC040638, Clytia|LOC029717, Clytia|LOC007099, Clytia|LOC004538, Clytia|LOC017776	Hydractinia|LOC130641166
OG0000114	Clytia|LOC020931	Hydractinia|LOC130613612
OG0000115	Clytia|LOC018658, Clytia|LOC021113, Clytia|LOC033051, Clytia|LOC012156, Clytia|LOC044889, Clytia|LOC024658, Clytia|LOC019805, Clytia|LOC024613, Clytia|LOC043468, Clytia|LOC044846, Clytia|LOC022441, Clytia|LOC027859, Clytia|LOC016456, Clytia|LOC020805, Clytia|LOC031432, Clytia|LOC017119, Clytia|LOC020056, Clytia|LOC038313, Clytia|LOC022823, Clytia|LOC019886, Clytia|LOC025128, Clytia|LOC037835, Clytia|LOC032293, Clytia|LOC021199, Clytia|LOC022423, Clytia|LOC022377, Clytia|LOC012733, Clytia|LOC032334, Clytia|LOC013145, Clytia|LOC025160, Clytia|LOC027270, Clytia|LOC029812, Clytia|LOC043713, Clytia|LOC034490, Clytia|LOC022903, Clytia|LOC011379	Hydractinia|LOC130647914
OG0000116	Clytia|LOC020176	Hydractinia|LOC130624967, Hydractinia|LOC130645136, Hydractinia|LOC130646973, Hydractinia|LOC130624126, Hydractinia|LOC130654166, Hydractinia|LOC130629798, Hydractinia|LOC130630325, Hydractinia|LOC130641834, Hydractinia|LOC130645298, Hydractinia|LOC130640719, Hydractinia|LOC130644572, Hydractinia|LOC130613357, Hydractinia|LOC130648382, Hydractinia|LOC130654406, Hydractinia|LOC130657379, Hydractinia|LOC130656405, Hydractinia|LOC130622477, Hydractinia|LOC130629024, Hydractinia|LOC130646974, Hydractinia|LOC130656403, Hydractinia|LOC130645476, Hydractinia|LOC130641841, Hydractinia|LOC130645134, Hydractinia|LOC130636492, Hydractinia|LOC130629317, Hydractinia|LOC130648181, Hydractinia|LOC130645581
OG0000119	Clytia|LOC038551, Clytia|LOC003858, Clytia|LOC033110, Clytia|LOC017073	Hydractinia|LOC130630519
OG0000120	Clytia|LOC041119, Clytia|LOC009961, Clytia|LOC042502, Clytia|LOC012119, Clytia|LOC020420, Clytia|LOC009959	Hydractinia|LOC130625064
OG0000121	Clytia|LOC013247	Hydractinia|LOC130655592, Hydractinia|LOC130654628
OG0000121	Clytia|LOC034546, Clytia|LOC034547, Clytia|LOC034548	Hydractinia|LOC130654518, Hydractinia|LOC130654516
OG0000129	Clytia|LOC025445, Clytia|LOC033805, Clytia|LOC029612, Clytia|LOC003287, Clytia|LOC020030, Clytia|LOC016792, Clytia|LOC027940, Clytia|LOC026781, Clytia|LOC025737, Clytia|LOC021130, Clytia|LOC030451, Clytia|LOC020103, Clytia|LOC027096, Clytia|LOC041185, Clytia|LOC020029, Clytia|LOC029635, Clytia|LOC026327, Clytia|LOC043673, Clytia|LOC018826, Clytia|LOC014019, Clytia|LOC043666, Clytia|LOC022562, Clytia|LOC028427, Clytia|LOC026714, Clytia|LOC036478, Clytia|LOC035519, Clytia|LOC012354, Clytia|LOC009944, Clytia|LOC027858, Clytia|LOC026068, Clytia|LOC026348, Clytia|LOC014971, Clytia|LOC017612	Hydractinia|LOC130636163
OG0000135	Clytia|LOC000978, Clytia|LOC001011	Hydractinia|LOC130630336, Hydractinia|LOC130630009, Hydractinia|LOC130648991, Hydractinia|LOC130621352, Hydractinia|LOC130621350, Hydractinia|LOC130621896, Hydractinia|LOC130621895, Hydractinia|LOC130621357, Hydractinia|LOC130621901, Hydractinia|LOC130621458, Hydractinia|LOC130655149, Hydractinia|LOC130653629, Hydractinia|LOC130653628, Hydractinia|LOC130628829, Hydractinia|LOC130635855
OG0000136	Clytia|LOC017246, Clytia|LOC027033, Clytia|LOC040269, Clytia|LOC040270	Hydractinia|LOC130623837, Hydractinia|LOC130623840, Hydractinia|LOC130624039, Hydractinia|LOC130623846, Hydractinia|LOC130641704, Hydractinia|LOC130621333, Hydractinia|LOC130622679
OG0000136	Clytia|LOC001457, Clytia|LOC006729, Clytia|LOC006558, Clytia|LOC006559, Clytia|LOC038811, Clytia|LOC003934, Clytia|LOC038810, Clytia|LOC006545, Clytia|LOC003665, Clytia|LOC007288	Hydractinia|LOC130641407, Hydractinia|LOC130612768, Hydractinia|LOC130612688, Hydractinia|LOC130612648, Hydractinia|LOC130612692, Hydractinia|LOC130623761
OG0000136	Clytia|LOC009005	Hydractinia|LOC130640927
OG0000137	Clytia|LOC017393	Hydractinia|LOC130621345
OG0000137	Clytia|LOC008117, Clytia|LOC033607	Hydractinia|LOC130649284, Hydractinia|LOC130649536, Hydractinia|LOC130646614, Hydractinia|LOC130623152, Hydractinia|LOC130648610, Hydractinia|LOC130625264, Hydractinia|LOC130629860, Hydractinia|LOC130629859, Hydractinia|LOC130630172, Hydractinia|LOC130636806, Hydractinia|LOC130630163, Hydractinia|LOC130657868, Hydractinia|LOC130613629, Hydractinia|LOC130630077, Hydractinia|LOC130629969, Hydractinia|LOC130630019, Hydractinia|LOC130636955, Hydractinia|LOC130642190, Hydractinia|LOC130646052, Hydractinia|LOC130653901, Hydractinia|LOC130642299, Hydractinia|LOC130623235
