Orthogroup	longest_isoform_XeniaProteins	longest_isoform_HydractiniaProteins
OG0000012	Xenia|LOC124456874, Xenia|LOC124449211, Xenia|LOC124438747, Xenia|LOC124457630, Xenia|LOC124448662, Xenia|LOC124442701, Xenia|LOC124441609, Xenia|LOC124459032, Xenia|LOC124448663, Xenia|LOC124451260	Hydractinia|LOC130636097, Hydractinia|LOC130645573
OG0000018	Xenia|LOC124443897, Xenia|LOC124436633	Hydractinia|LOC130657164, Hydractinia|LOC130657487, Hydractinia|LOC130657693, Hydractinia|LOC130657915, Hydractinia|LOC130656323, Hydractinia|LOC130657692, Hydractinia|LOC130656427, Hydractinia|LOC130656187, Hydractinia|LOC130657146, Hydractinia|LOC130657075, Hydractinia|LOC130657143, Hydractinia|LOC130657071, Hydractinia|LOC130657407, Hydractinia|LOC130657293, Hydractinia|LOC130656728, Hydractinia|LOC130657433, Hydractinia|LOC130656888, Hydractinia|LOC130656170, Hydractinia|LOC130657335, Hydractinia|LOC130656480, Hydractinia|LOC130657697, Hydractinia|LOC130656171, Hydractinia|LOC130657585, Hydractinia|LOC130657506, Hydractinia|LOC130657577, Hydractinia|LOC130657295, Hydractinia|LOC130657315, Hydractinia|LOC130657412, Hydractinia|LOC130657285, Hydractinia|LOC130656950, Hydractinia|LOC130657372, Hydractinia|LOC130657760, Hydractinia|LOC130657103, Hydractinia|LOC130657104, Hydractinia|LOC130657105, Hydractinia|LOC130657106, Hydractinia|LOC130657134, Hydractinia|LOC130657133, Hydractinia|LOC130657132, Hydractinia|LOC130657131, Hydractinia|LOC130657130, Hydractinia|LOC130657987, Hydractinia|LOC130657371, Hydractinia|LOC130657127, Hydractinia|LOC130657099, Hydractinia|LOC130657108, Hydractinia|LOC130657102, Hydractinia|LOC130657128, Hydractinia|LOC130657126, Hydractinia|LOC130657125, Hydractinia|LOC130656326, Hydractinia|LOC130656958, Hydractinia|LOC130656957
OG0000018	Xenia|LOC124449834	Hydractinia|LOC130656519, Hydractinia|LOC130658020, Hydractinia|LOC130658029, Hydractinia|LOC130657764
OG0000020	Xenia|LOC124451290, Xenia|LOC124452110, Xenia|LOC124455268, Xenia|LOC124456909	Hydractinia|LOC130622430, Hydractinia|LOC130623146, Hydractinia|LOC130624315, Hydractinia|LOC130625237, Hydractinia|LOC130647226, Hydractinia|LOC130623217, Hydractinia|LOC130624316
OG0000027	Xenia|LOC124452960, Xenia|LOC124445656	Hydractinia|LOC130654630
OG0000028	Xenia|LOC124456948, Xenia|LOC124456913, Xenia|LOC124447147	Hydractinia|LOC130653823, Hydractinia|LOC130621745, Hydractinia|LOC130630157
OG0000028	Xenia|LOC124449248, Xenia|LOC124449119, Xenia|LOC124452042, Xenia|LOC124452084	Hydractinia|LOC130642263, Hydractinia|LOC130630094, Hydractinia|LOC130642212, Hydractinia|LOC130612794, Hydractinia|LOC130655070, Hydractinia|LOC130629972, Hydractinia|LOC130629610, Hydractinia|LOC130642213, Hydractinia|LOC130648521, Hydractinia|LOC130637023, Hydractinia|LOC130655395, Hydractinia|LOC130648059, Hydractinia|LOC130621341
OG0000031	Xenia|LOC124445131, Xenia|LOC124451022, Xenia|LOC124448024, Xenia|LOC124436060, Xenia|LOC124438534	Hydractinia|LOC130635880, Hydractinia|LOC130622537
OG0000031	Xenia|LOC124446624, Xenia|LOC124456591	Hydractinia|LOC130653857
OG0000036	Xenia|LOC124437283, Xenia|LOC124457091	Hydractinia|LOC130628649
OG0000036	Xenia|LOC124434350, Xenia|LOC124448385	Hydractinia|LOC130648502
OG0000036	Xenia|LOC124449079	Hydractinia|LOC130648011, Hydractinia|LOC130621375, Hydractinia|LOC130642375, Hydractinia|LOC130648600, Hydractinia|LOC130629823, Hydractinia|LOC130621368, Hydractinia|LOC130648189, Hydractinia|LOC130613498
OG0000038	Xenia|LOC124452018	Hydractinia|LOC130642352
OG0000038	Xenia|LOC124457082, Xenia|LOC124452064, Xenia|LOC124449046	Hydractinia|LOC130613046, Hydractinia|LOC130628713
OG0000049	Xenia|LOC124438617	Hydractinia|LOC130623210, Hydractinia|LOC130637024
OG0000049	Xenia|LOC124457302, Xenia|LOC124457308, Xenia|LOC124438309, Xenia|LOC124456999	Hydractinia|LOC130648435
OG0000049	Xenia|LOC124453904, Xenia|LOC124453378	Hydractinia|LOC130657848, Hydractinia|LOC130660957, Hydractinia|LOC130648257, Hydractinia|LOC130648138
OG0000049	Xenia|LOC124449210	Hydractinia|LOC130647521
OG0000049	Xenia|LOC124457685, Xenia|LOC124456074, Xenia|LOC124455470, Xenia|LOC124448176, Xenia|LOC124456087, Xenia|LOC124436003, Xenia|LOC124440438, Xenia|LOC124443422, Xenia|LOC124452226, Xenia|LOC124438371, Xenia|LOC124451980	Hydractinia|LOC130648579, Hydractinia|LOC130662617, Hydractinia|LOC130657531, Hydractinia|LOC130662861, Hydractinia|LOC130637007, Hydractinia|LOC130636907
OG0000055	Xenia|LOC124439851	Hydractinia|LOC130647888, Hydractinia|LOC130647524
OG0000056	Xenia|LOC124443759, Xenia|LOC124444697, Xenia|LOC124443940, Xenia|LOC124444793, Xenia|LOC124444794, Xenia|LOC124444698, Xenia|LOC124444796, Xenia|LOC124444699, Xenia|LOC124450666, Xenia|LOC124444518, Xenia|LOC124448436, Xenia|LOC124448362, Xenia|LOC124448803, Xenia|LOC124449424, Xenia|LOC124449519, Xenia|LOC124449572, Xenia|LOC124435076	Hydractinia|LOC130654719
OG0000057	Xenia|LOC124446315, Xenia|LOC124440454, Xenia|LOC124439770, Xenia|LOC124439767, Xenia|LOC124439766, Xenia|LOC124440447, Xenia|LOC124439768, Xenia|LOC124440456, Xenia|LOC124455175, Xenia|LOC124440449, Xenia|LOC124440453, Xenia|LOC124439771	Hydractinia|LOC130645557
OG0000057	Xenia|LOC124439764	Hydractinia|LOC130648983, Hydractinia|LOC130645286
OG0000058	Xenia|LOC124440541	Hydractinia|LOC130635857
OG0000061	Xenia|LOC124449198	Hydractinia|LOC130613658, Hydractinia|LOC130630007, Hydractinia|LOC130648130, Hydractinia|LOC130653911, Hydractinia|LOC130629289, Hydractinia|LOC130648551, Hydractinia|LOC130648024, Hydractinia|LOC130642304, Hydractinia|LOC130630052
OG0000062	Xenia|LOC124436742	Hydractinia|LOC130657124, Hydractinia|LOC130657111, Hydractinia|LOC130657110, Hydractinia|LOC130657114, Hydractinia|LOC130657117
OG0000062	Xenia|LOC124443616	Hydractinia|LOC130657119
OG0000064	Xenia|LOC124438084, Xenia|LOC124438083, Xenia|LOC124438085, Xenia|LOC124438591	Hydractinia|LOC130625128, Hydractinia|LOC130653828, Hydractinia|LOC130630220, Hydractinia|LOC130629974, Hydractinia|LOC130654870, Hydractinia|LOC130655473
OG0000064	Xenia|LOC124433327, Xenia|LOC124439612	Hydractinia|LOC130653877
OG0000068	Xenia|LOC124457106, Xenia|LOC124452224, Xenia|LOC124458313	Hydractinia|LOC130645634, Hydractinia|LOC130629957, Hydractinia|LOC130623256
OG0000070	Xenia|LOC124433854, Xenia|LOC124433853, Xenia|LOC124433852, Xenia|LOC124433855, Xenia|LOC124458321, Xenia|LOC124436250, Xenia|LOC124444824	Hydractinia|LOC130647407
OG0000071	Xenia|LOC124449577	Hydractinia|LOC130649660
OG0000072	Xenia|LOC124435903	Hydractinia|LOC130642205, Hydractinia|LOC130642191, Hydractinia|LOC130657812, Hydractinia|LOC130635490, Hydractinia|LOC130613378, Hydractinia|LOC130612919, Hydractinia|LOC130623081, Hydractinia|LOC130625167, Hydractinia|LOC130645918, Hydractinia|LOC130654274, Hydractinia|LOC130646154
OG0000072	Xenia|LOC124445250	Hydractinia|LOC130629953
OG0000076	Xenia|LOC124442055	Hydractinia|LOC130641471
OG0000076	Xenia|LOC124435646, Xenia|LOC124447619, Xenia|LOC124439890, Xenia|LOC124456527	Hydractinia|LOC130647707, Hydractinia|LOC130647710, Hydractinia|LOC130647709, Hydractinia|LOC130622752, Hydractinia|LOC130654943, Hydractinia|LOC130657080, Hydractinia|LOC130642061, Hydractinia|LOC130621180, Hydractinia|LOC130657009
OG0000079	Xenia|LOC124443324, Xenia|LOC124452133, Xenia|LOC124435990, Xenia|LOC124436069, Xenia|LOC124443369	Hydractinia|LOC130655471, Hydractinia|LOC130641512, Hydractinia|LOC130645074, Hydractinia|LOC130645075, Hydractinia|LOC130630299, Hydractinia|LOC130641309, Hydractinia|LOC130655072, Hydractinia|LOC130612225, Hydractinia|LOC130629531, Hydractinia|LOC130648314, Hydractinia|LOC130635858, Hydractinia|LOC130623915, Hydractinia|LOC130642137, Hydractinia|LOC130623362, Hydractinia|LOC130635856, Hydractinia|LOC130613624, Hydractinia|LOC130623337, Hydractinia|LOC130654290, Hydractinia|LOC130649484, Hydractinia|LOC130621113, Hydractinia|LOC130629284, Hydractinia|LOC130654265, Hydractinia|LOC130654802, Hydractinia|LOC130655450, Hydractinia|LOC130653858, Hydractinia|LOC130654010, Hydractinia|LOC130644476, Hydractinia|LOC130629336, Hydractinia|LOC130645111, Hydractinia|LOC130656601, Hydractinia|LOC130633887, Hydractinia|LOC130656204, Hydractinia|LOC130612749, Hydractinia|LOC130647986, Hydractinia|LOC130645400, Hydractinia|LOC130613626, Hydractinia|LOC130644720
OG0000086	Xenia|LOC124454782	Hydractinia|LOC130614645, Hydractinia|LOC130629193, Hydractinia|LOC130614148, Hydractinia|LOC130645941
OG0000087	Xenia|LOC124455821, Xenia|LOC124459302, Xenia|LOC124439018, Xenia|LOC124457307, Xenia|LOC124437940, Xenia|LOC124453992, Xenia|LOC124452231, Xenia|LOC124456595, Xenia|LOC124459301, Xenia|LOC124438761, Xenia|LOC124444598, Xenia|LOC124438553, Xenia|LOC124448020, Xenia|LOC124445097, Xenia|LOC124436026, Xenia|LOC124437950, Xenia|LOC124453987, Xenia|LOC124454958, Xenia|LOC124452132, Xenia|LOC124443325, Xenia|LOC124455323, Xenia|LOC124441569, Xenia|LOC124444597, Xenia|LOC124438560, Xenia|LOC124449265, Xenia|LOC124438763, Xenia|LOC124456442	Hydractinia|LOC130624086, Hydractinia|LOC130623926, Hydractinia|LOC130614578, Hydractinia|LOC130644714, Hydractinia|LOC130644510, Hydractinia|LOC130647227, Hydractinia|LOC130656708, Hydractinia|LOC130640787, Hydractinia|LOC130614717, Hydractinia|LOC130623885, Hydractinia|LOC130662733, Hydractinia|LOC130662734, Hydractinia|LOC130645064
OG0000092	Xenia|LOC124444853, Xenia|LOC124444676, Xenia|LOC124454446	Hydractinia|LOC130614184, Hydractinia|LOC130614592, Hydractinia|LOC130614431, Hydractinia|LOC130614414, Hydractinia|LOC130613489, Hydractinia|LOC130613490, Hydractinia|LOC130613540, Hydractinia|LOC130614459, Hydractinia|LOC130648590, Hydractinia|LOC130648591, Hydractinia|LOC130648583, Hydractinia|LOC130649364, Hydractinia|LOC130648597, Hydractinia|LOC130648447, Hydractinia|LOC130613604, Hydractinia|LOC130613603, Hydractinia|LOC130613617, Hydractinia|LOC130614567, Hydractinia|LOC130614303, Hydractinia|LOC130613619, Hydractinia|LOC130613618, Hydractinia|LOC130613620, Hydractinia|LOC130625706, Hydractinia|LOC130648547, Hydractinia|LOC130648908, Hydractinia|LOC130613396, Hydractinia|LOC130613420, Hydractinia|LOC130613480, Hydractinia|LOC130613418, Hydractinia|LOC130613419
OG0000095	Xenia|LOC124450728, Xenia|LOC124457390, Xenia|LOC124455245, Xenia|LOC124449024, Xenia|LOC124443245, Xenia|LOC124450359, Xenia|LOC124444760, Xenia|LOC124435114, Xenia|LOC124452218, Xenia|LOC124443936, Xenia|LOC124436205, Xenia|LOC124454484, Xenia|LOC124435916, Xenia|LOC124436006, Xenia|LOC124444569, Xenia|LOC124449199, Xenia|LOC124452149, Xenia|LOC124456628, Xenia|LOC124448420, Xenia|LOC124458391, Xenia|LOC124457101, Xenia|LOC124455267, Xenia|LOC124448569, Xenia|LOC124434166	Hydractinia|LOC130644939
OG0000096	Xenia|LOC124434526, Xenia|LOC124454871, Xenia|LOC124457670	Hydractinia|LOC130630430
OG0000097	Xenia|LOC124443063, Xenia|LOC124441449	Hydractinia|LOC130657035, Hydractinia|LOC130628905, Hydractinia|LOC130628598, Hydractinia|LOC130628907, Hydractinia|LOC130641789, Hydractinia|LOC130654245
OG0000098	Xenia|LOC124446250, Xenia|LOC124435882, Xenia|LOC124451109, Xenia|LOC124446590, Xenia|LOC124454125, Xenia|LOC124456930, Xenia|LOC124445095	Hydractinia|LOC130629543
OG0000098	Xenia|LOC124454389	Hydractinia|LOC130625094
OG0000098	Xenia|LOC124438630, Xenia|LOC124444567, Xenia|LOC124446256	Hydractinia|LOC130657885, Hydractinia|LOC130657886, Hydractinia|LOC130621407
OG0000099	Xenia|LOC124446856, Xenia|LOC124446857, Xenia|LOC124446859	Hydractinia|LOC130653763, Hydractinia|LOC130655905, Hydractinia|LOC130654023, Hydractinia|LOC130623866, Hydractinia|LOC130655048, Hydractinia|LOC130653830, Hydractinia|LOC130621301, Hydractinia|LOC130655670, Hydractinia|LOC130655209, Hydractinia|LOC130622122, Hydractinia|LOC130630274, Hydractinia|LOC130629753
OG0000101	Xenia|LOC124454937, Xenia|LOC124454944, Xenia|LOC124454954, Xenia|LOC124454951, Xenia|LOC124454935, Xenia|LOC124454087, Xenia|LOC124454085, Xenia|LOC124455045	Hydractinia|LOC130613201, Hydractinia|LOC130613202
OG0000114	Xenia|LOC124444544, Xenia|LOC124449635, Xenia|LOC124437504	Hydractinia|LOC130613612
OG0000120	Xenia|LOC124440165, Xenia|LOC124440399, Xenia|LOC124455960, Xenia|LOC124440415, Xenia|LOC124455070, Xenia|LOC124453380, Xenia|LOC124443185, Xenia|LOC124449098, Xenia|LOC124456775, Xenia|LOC124455452, Xenia|LOC124438738, Xenia|LOC124457235	Hydractinia|LOC130625064
OG0000121	Xenia|LOC124446930, Xenia|LOC124445222, Xenia|LOC124445246, Xenia|LOC124445219, Xenia|LOC124447350, Xenia|LOC124445241, Xenia|LOC124447212, Xenia|LOC124446301, Xenia|LOC124446303, Xenia|LOC124447359, Xenia|LOC124445236, Xenia|LOC124447211, Xenia|LOC124435795, Xenia|LOC124445254, Xenia|LOC124445235, Xenia|LOC124445253, Xenia|LOC124445218, Xenia|LOC124445247, Xenia|LOC124447358, Xenia|LOC124447352, Xenia|LOC124445200	Hydractinia|LOC130655592, Hydractinia|LOC130654628, Hydractinia|LOC130654518, Hydractinia|LOC130654516
OG0000122	Xenia|LOC124453409	Hydractinia|LOC130630012, Hydractinia|LOC130657910, Hydractinia|LOC130636938, Hydractinia|LOC130628635
OG0000129	Xenia|LOC124435412	Hydractinia|LOC130636163
OG0000135	Xenia|LOC124451023, Xenia|LOC124450989, Xenia|LOC124433263	Hydractinia|LOC130630336, Hydractinia|LOC130630009, Hydractinia|LOC130648991, Hydractinia|LOC130621352, Hydractinia|LOC130621350, Hydractinia|LOC130621896, Hydractinia|LOC130621895, Hydractinia|LOC130621357, Hydractinia|LOC130621901, Hydractinia|LOC130621458, Hydractinia|LOC130655149, Hydractinia|LOC130653629, Hydractinia|LOC130653628, Hydractinia|LOC130628829, Hydractinia|LOC130635855
OG0000137	Xenia|LOC124451151, Xenia|LOC124456975, Xenia|LOC124438678	Hydractinia|LOC130621345, Hydractinia|LOC130649284, Hydractinia|LOC130649536, Hydractinia|LOC130646614, Hydractinia|LOC130623152, Hydractinia|LOC130648610, Hydractinia|LOC130625264, Hydractinia|LOC130629860, Hydractinia|LOC130629859, Hydractinia|LOC130630172, Hydractinia|LOC130636806, Hydractinia|LOC130630163, Hydractinia|LOC130657868, Hydractinia|LOC130613629, Hydractinia|LOC130630077, Hydractinia|LOC130629969, Hydractinia|LOC130630019, Hydractinia|LOC130636955, Hydractinia|LOC130642190, Hydractinia|LOC130646052, Hydractinia|LOC130653901, Hydractinia|LOC130642299, Hydractinia|LOC130623235
OG0000138	Xenia|LOC124457221, Xenia|LOC124455219	Hydractinia|LOC130621582
OG0000138	Xenia|LOC124438890, Xenia|LOC124457224, Xenia|LOC124455508, Xenia|LOC124440411, Xenia|LOC124436703, Xenia|LOC124457627, Xenia|LOC124450453, Xenia|LOC124451533, Xenia|LOC124449637, Xenia|LOC124457367, Xenia|LOC124434527, Xenia|LOC124453902, Xenia|LOC124454883, Xenia|LOC124454933, Xenia|LOC124440876, Xenia|LOC124441645, Xenia|LOC124453934, Xenia|LOC124454771	Hydractinia|LOC130612928
OG0000139	Xenia|LOC124439424, Xenia|LOC124456062, Xenia|LOC124455378	Hydractinia|LOC130621322, Hydractinia|LOC130653661, Hydractinia|LOC130613623, Hydractinia|LOC130630067, Hydractinia|LOC130648534, Hydractinia|LOC130642286, Hydractinia|LOC130621328, Hydractinia|LOC130613473, Hydractinia|LOC130641597, Hydractinia|LOC130636059, Hydractinia|LOC130641009, Hydractinia|LOC130642287, Hydractinia|LOC130648581, Hydractinia|LOC130630084, Hydractinia|LOC130646011, Hydractinia|LOC130648492, Hydractinia|LOC130613605, Hydractinia|LOC130613495, Hydractinia|LOC130649018, Hydractinia|LOC130648086
OG0000140	Xenia|LOC124448820, Xenia|LOC124448168, Xenia|LOC124440981, Xenia|LOC124440890, Xenia|LOC124457319, Xenia|LOC124457249, Xenia|LOC124447726, Xenia|LOC124448195, Xenia|LOC124459019, Xenia|LOC124456688, Xenia|LOC124456687, Xenia|LOC124457245, Xenia|LOC124448191, Xenia|LOC124448018, Xenia|LOC124456432, Xenia|LOC124456713, Xenia|LOC124457248, Xenia|LOC124457942, Xenia|LOC124457603, Xenia|LOC124457255, Xenia|LOC124448144, Xenia|LOC124448032, Xenia|LOC124456716, Xenia|LOC124457899, Xenia|LOC124448821, Xenia|LOC124448145, Xenia|LOC124448819, Xenia|LOC124448183, Xenia|LOC124448855, Xenia|LOC124448139	Hydractinia|LOC130641301
OG0000147	Xenia|LOC124449094, Xenia|LOC124449076, Xenia|LOC124449152	Hydractinia|LOC130635707
OG0000149	Xenia|LOC124457306	Hydractinia|LOC130648902
OG0000149	Xenia|LOC124445036, Xenia|LOC124445279	Hydractinia|LOC130628858
OG0000150	Xenia|LOC124435136, Xenia|LOC124457159, Xenia|LOC124435981, Xenia|LOC124440422, Xenia|LOC124457336, Xenia|LOC124438683, Xenia|LOC124449302, Xenia|LOC124443488, Xenia|LOC124447401, Xenia|LOC124457005, Xenia|LOC124441793, Xenia|LOC124437164	Hydractinia|LOC130623094, Hydractinia|LOC130614455, Hydractinia|LOC130636886, Hydractinia|LOC130648223
OG0000155	Xenia|LOC124457140	Hydractinia|LOC130657861, Hydractinia|LOC130625062, Hydractinia|LOC130625059, Hydractinia|LOC130653704, Hydractinia|LOC130653651, Hydractinia|LOC130657855, Hydractinia|LOC130613475
OG0000158	Xenia|LOC124457296, Xenia|LOC124451123	Hydractinia|LOC130645457
OG0000171	Xenia|LOC124438439, Xenia|LOC124439058, Xenia|LOC124438437	Hydractinia|LOC130630584, Hydractinia|LOC130635978
OG0000171	Xenia|LOC124441709	Hydractinia|LOC130657979, Hydractinia|LOC130612962
OG0000172	Xenia|LOC124446156, Xenia|LOC124446044, Xenia|LOC124441661, Xenia|LOC124442295, Xenia|LOC124441659, Xenia|LOC124442292	Hydractinia|LOC130622353, Hydractinia|LOC130621787, Hydractinia|LOC130641323, Hydractinia|LOC130614311, Hydractinia|LOC130614104, Hydractinia|LOC130641319
OG0000174	Xenia|LOC124446928, Xenia|LOC124435963, Xenia|LOC124446241, Xenia|LOC124456070, Xenia|LOC124455690, Xenia|LOC124456952, Xenia|LOC124454180, Xenia|LOC124453387, Xenia|LOC124453925, Xenia|LOC124457037, Xenia|LOC124453955, Xenia|LOC124438777, Xenia|LOC124451190, Xenia|LOC124433379, Xenia|LOC124433300, Xenia|LOC124456076, Xenia|LOC124449276, Xenia|LOC124436032, Xenia|LOC124437939, Xenia|LOC124437282, Xenia|LOC124455730, Xenia|LOC124449273, Xenia|LOC124434320, Xenia|LOC124438692	Hydractinia|LOC130626114, Hydractinia|LOC130629882, Hydractinia|LOC130629725
OG0000183	Xenia|LOC124445830	Hydractinia|LOC130635962
OG0000183	Xenia|LOC124454260, Xenia|LOC124454518, Xenia|LOC124454261, Xenia|LOC124454193, Xenia|LOC124454194, Xenia|LOC124454168, Xenia|LOC124454166, Xenia|LOC124455089, Xenia|LOC124454158, Xenia|LOC124451095	Hydractinia|LOC130654792
OG0000186	Xenia|LOC124449470	Hydractinia|LOC130625526
OG0000186	Xenia|LOC124455128, Xenia|LOC124436634, Xenia|LOC124456981, Xenia|LOC124448779, Xenia|LOC124455503, Xenia|LOC124455016, Xenia|LOC124448448, Xenia|LOC124449149, Xenia|LOC124437189, Xenia|LOC124434070, Xenia|LOC124455341	Hydractinia|LOC130648507, Hydractinia|LOC130625967, Hydractinia|LOC130625319, Hydractinia|LOC130629570
OG0000191	Xenia|LOC124444466, Xenia|LOC124444460, Xenia|LOC124444599, Xenia|LOC124444459, Xenia|LOC124440526	Hydractinia|LOC130657618, Hydractinia|LOC130657620, Hydractinia|LOC130648147, Hydractinia|LOC130647516, Hydractinia|LOC130648148, Hydractinia|LOC130647785, Hydractinia|LOC130648146
OG0000196	Xenia|LOC124458187, Xenia|LOC124458167, Xenia|LOC124458035, Xenia|LOC124457405, Xenia|LOC124457220, Xenia|LOC124457219, Xenia|LOC124457435, Xenia|LOC124457436, Xenia|LOC124435892, Xenia|LOC124457135, Xenia|LOC124457131	Hydractinia|LOC130648143
OG0000199	Xenia|LOC124451509	Hydractinia|LOC130622938, Hydractinia|LOC130623374, Hydractinia|LOC130623591, Hydractinia|LOC130623439
OG0000201	Xenia|LOC124433392	Hydractinia|LOC130656006
OG0000201	Xenia|LOC124446271	Hydractinia|LOC130648604, Hydractinia|LOC130647706, Hydractinia|LOC130653710, Hydractinia|LOC130613628
OG0000203	Xenia|LOC124434644, Xenia|LOC124458387, Xenia|LOC124456427, Xenia|LOC124435926, Xenia|LOC124441539, Xenia|LOC124435924, Xenia|LOC124454916, Xenia|LOC124434562, Xenia|LOC124455150, Xenia|LOC124445564	Hydractinia|LOC130635907, Hydractinia|LOC130657780, Hydractinia|LOC130614022, Hydractinia|LOC130623202, Hydractinia|LOC130635468, Hydractinia|LOC130635671, Hydractinia|LOC130636911, Hydractinia|LOC130657266, Hydractinia|LOC130623540
OG0000205	Xenia|LOC124436233	Hydractinia|LOC130629734
OG0000205	Xenia|LOC124439062, Xenia|LOC124439073	Hydractinia|LOC130612854
