Orthogroup	longest_isoform_XeniaProteins	longest_isoform_HydraProteins
OG0000038	Xenia|LOC124452018	Hydra|LOC105849896, Hydra|LOC101236124, Hydra|LOC101241209, Hydra|LOC105849797, Hydra|LOC101241798, Hydra|LOC101238699, Hydra|LOC101240221, Hydra|LOC105843656, Hydra|LOC101239129, Hydra|LOC101236254, Hydra|LOC101239770, Hydra|LOC124808611, Hydra|LOC101235500, Hydra|LOC101235687, Hydra|LOC101239603, Hydra|LOC101238386, Hydra|LOC124815232, Hydra|LOC124813908, Hydra|LOC124817248, Hydra|LOC101238402, Hydra|LOC101237398, Hydra|LOC101235608, Hydra|LOC100212569, Hydra|LOC101235699, Hydra|LOC124807571
OG0000038	Xenia|LOC124457082, Xenia|LOC124452064, Xenia|LOC124449046	Hydra|LOC124814090, Hydra|LOC105848381, Hydra|LOC101241082, Hydra|LOC101241263, Hydra|LOC100214858, Hydra|LOC124808555, Hydra|LOC124814273, Hydra|LOC124814975, Hydra|LOC101235339
OG0000049	Xenia|LOC124438617	Hydra|LOC124815975
OG0000049	Xenia|LOC124445124	Hydra|LOC124811230
OG0000049	Xenia|LOC124457685, Xenia|LOC124456074, Xenia|LOC124455470, Xenia|LOC124448176, Xenia|LOC124456087, Xenia|LOC124436003, Xenia|LOC124440438, Xenia|LOC124443422, Xenia|LOC124452226, Xenia|LOC124438371, Xenia|LOC124451980	Hydra|LOC101239839, Hydra|LOC100203231, Hydra|LOC101235926, Hydra|LOC124808567, Hydra|LOC105851025, Hydra|LOC124816125, Hydra|LOC101238960
OG0000050	Xenia|LOC124455472, Xenia|LOC124451186, Xenia|LOC124456881, Xenia|LOC124454220, Xenia|LOC124455241, Xenia|LOC124455845, Xenia|LOC124449064, Xenia|LOC124457281, Xenia|LOC124457535, Xenia|LOC124449234, Xenia|LOC124449008, Xenia|LOC124439434, Xenia|LOC124456763, Xenia|LOC124454013, Xenia|LOC124452526	Hydra|LOC124811434, Hydra|LOC101237371, Hydra|LOC124810861, Hydra|LOC124814340, Hydra|LOC101241515, Hydra|LOC105851030, Hydra|LOC124812318, Hydra|LOC124819165, Hydra|LOC124816028, Hydra|LOC101240057, Hydra|LOC101235303, Hydra|LOC105846491, Hydra|LOC101236144, Hydra|LOC124819177, Hydra|LOC124813759, Hydra|LOC101238994, Hydra|LOC101235643, Hydra|LOC105849119, Hydra|LOC100201776, Hydra|LOC101241427, Hydra|LOC105846680, Hydra|LOC124811353, Hydra|LOC124816740, Hydra|LOC124806216
OG0000056	Xenia|LOC124443759, Xenia|LOC124444697, Xenia|LOC124443940, Xenia|LOC124444793, Xenia|LOC124444794, Xenia|LOC124444698, Xenia|LOC124444796, Xenia|LOC124444699, Xenia|LOC124450666, Xenia|LOC124444518, Xenia|LOC124448436, Xenia|LOC124448362, Xenia|LOC124448803, Xenia|LOC124449424, Xenia|LOC124449519, Xenia|LOC124449572	Hydra|LOC100212279, Hydra|LOC105850026, Hydra|LOC105843886, Hydra|LOC105843885, Hydra|LOC100199100, Hydra|LOC100215485, Hydra|LOC100202932, Hydra|LOC100203996, Hydra|LOC100215883, Hydra|LOC124817534, Hydra|LOC100210439, Hydra|LOC105850171
OG0000057	Xenia|LOC124446315, Xenia|LOC124440454, Xenia|LOC124439770, Xenia|LOC124439767, Xenia|LOC124439766, Xenia|LOC124440447, Xenia|LOC124439768, Xenia|LOC124440456, Xenia|LOC124455175, Xenia|LOC124440449, Xenia|LOC124440453, Xenia|LOC124439771	Hydra|LOC100211639, Hydra|LOC100204569
OG0000057	Xenia|LOC124439764	Hydra|LOC105844836, Hydra|LOC101240655
OG0000058	Xenia|LOC124440541	Hydra|LOC100215040, Hydra|LOC100208283
OG0000061	Xenia|LOC124449198	Hydra|LOC124816266, Hydra|LOC105846645, Hydra|LOC105849336, Hydra|LOC124812459, Hydra|LOC124806759
OG0000062	Xenia|LOC124436742	Hydra|LOC100200513, Hydra|LOC124810045, Hydra|LOC124810044
OG0000062	Xenia|LOC124443616	Hydra|LOC124810091, Hydra|LOC124810059, Hydra|LOC124810130, Hydra|LOC124810131
OG0000064	Xenia|LOC124438084, Xenia|LOC124438083, Xenia|LOC124438085, Xenia|LOC124438591	Hydra|LOC100198758
OG0000064	Xenia|LOC124433327, Xenia|LOC124439612	Hydra|LOC101238122
OG0000068	Xenia|LOC124456995	Hydra|LOC124810957
OG0000068	Xenia|LOC124441590, Xenia|LOC124458389	Hydra|LOC100215418, Hydra|LOC100196982, Hydra|LOC100213936, Hydra|LOC124806744, Hydra|LOC105845489, Hydra|LOC124812682, Hydra|LOC101239569
OG0000068	Xenia|LOC124456976, Xenia|LOC124456873, Xenia|LOC124451655, Xenia|LOC124439046, Xenia|LOC124456923, Xenia|LOC124457563, Xenia|LOC124436586, Xenia|LOC124449227	Hydra|LOC101238743, Hydra|LOC100210042, Hydra|LOC100197499, Hydra|LOC124814009, Hydra|LOC124818273, Hydra|LOC100210706, Hydra|LOC101235270, Hydra|LOC124809659, Hydra|LOC124814249, Hydra|LOC100206035, Hydra|LOC100211276
OG0000070	Xenia|LOC124433854, Xenia|LOC124433853, Xenia|LOC124433852, Xenia|LOC124433855, Xenia|LOC124458321, Xenia|LOC124436250, Xenia|LOC124444824	Hydra|LOC100199035, Hydra|LOC100208692, Hydra|LOC100208013, Hydra|LOC101236318, Hydra|LOC100209933, Hydra|LOC100214511, Hydra|LOC100210485, Hydra|LOC100213639, Hydra|LOC100202831, Hydra|LOC100205467
OG0000071	Xenia|LOC124449577	Hydra|LOC101238762, Hydra|LOC100203937, Hydra|LOC100197148, Hydra|LOC105847586, Hydra|LOC100214107, Hydra|LOC100208450, Hydra|LOC100213839, Hydra|LOC100207051, Hydra|LOC105843386, Hydra|LOC105847748, Hydra|LOC100205608, Hydra|LOC100197328, Hydra|LOC101236989, Hydra|LOC100210397, Hydra|LOC100199090, Hydra|LOC101237406, Hydra|LOC105848477, Hydra|LOC100203405, Hydra|LOC105844737, Hydra|LOC101238025, Hydra|LOC105849732, Hydra|LOC105847520, Hydra|LOC105844194, Hydra|LOC105844851, Hydra|LOC124807279, Hydra|LOC105846743, Hydra|LOC105847007, Hydra|LOC124807548, Hydra|LOC105846130, Hydra|LOC100210254, Hydra|LOC124807298, Hydra|LOC124807041, Hydra|LOC124806850, Hydra|LOC124807047, Hydra|LOC105847441, Hydra|LOC105847694, Hydra|LOC124815391
OG0000072	Xenia|LOC124435903	Hydra|LOC105843185
OG0000076	Xenia|LOC124435646, Xenia|LOC124447619, Xenia|LOC124439890, Xenia|LOC124456527	Hydra|LOC100204469
OG0000079	Xenia|LOC124443324, Xenia|LOC124452133, Xenia|LOC124435990, Xenia|LOC124436069, Xenia|LOC124443369	Hydra|LOC124816381
OG0000087	Xenia|LOC124455821, Xenia|LOC124459302, Xenia|LOC124439018, Xenia|LOC124457307, Xenia|LOC124437940, Xenia|LOC124453992, Xenia|LOC124452231, Xenia|LOC124456595, Xenia|LOC124459301, Xenia|LOC124438761, Xenia|LOC124444598, Xenia|LOC124438553, Xenia|LOC124448020, Xenia|LOC124445097, Xenia|LOC124436026, Xenia|LOC124437950, Xenia|LOC124453987, Xenia|LOC124454958, Xenia|LOC124452132, Xenia|LOC124443325, Xenia|LOC124455323, Xenia|LOC124441569, Xenia|LOC124444597, Xenia|LOC124438560, Xenia|LOC124449265, Xenia|LOC124438763, Xenia|LOC124456442	Hydra|LOC124814947
OG0000095	Xenia|LOC124450728, Xenia|LOC124457390, Xenia|LOC124455245, Xenia|LOC124449024, Xenia|LOC124443245, Xenia|LOC124450359, Xenia|LOC124444760, Xenia|LOC124435114, Xenia|LOC124452218, Xenia|LOC124443936, Xenia|LOC124436205, Xenia|LOC124454484, Xenia|LOC124435916, Xenia|LOC124436006, Xenia|LOC124444569, Xenia|LOC124449199	Hydra|LOC124817479, Hydra|LOC101234480, Hydra|LOC124805861
OG0000096	Xenia|LOC124456944, Xenia|LOC124454159, Xenia|LOC124441059, Xenia|LOC124457185, Xenia|LOC124439057, Xenia|LOC124454210, Xenia|LOC124457404, Xenia|LOC124456663	Hydra|LOC124818887, Hydra|LOC105843766, Hydra|LOC101240372, Hydra|LOC124818689
OG0000097	Xenia|LOC124443063, Xenia|LOC124441449	Hydra|LOC101235243, Hydra|LOC100197458, Hydra|LOC105843824, Hydra|LOC100204018, Hydra|LOC100199462, Hydra|LOC100205528, Hydra|LOC124813588, Hydra|LOC124813587, Hydra|LOC100202946, Hydra|LOC124813591, Hydra|LOC100199246, Hydra|LOC100211336, Hydra|LOC124813270, Hydra|LOC124813271, Hydra|LOC124813272, Hydra|LOC124813273, Hydra|LOC124808990, Hydra|LOC100200369, Hydra|LOC124808989, Hydra|LOC124808835, Hydra|LOC100214931, Hydra|LOC100211409
OG0000098	Xenia|LOC124454389	Hydra|LOC105845680, Hydra|LOC101240782
OG0000098	Xenia|LOC124438630, Xenia|LOC124444567, Xenia|LOC124446256	Hydra|LOC124816076
OG0000099	Xenia|LOC124446856, Xenia|LOC124446857, Xenia|LOC124446859	Hydra|LOC100198789, Hydra|LOC100208992, Hydra|LOC124807958, Hydra|LOC101234986, Hydra|LOC100200794, Hydra|LOC101238906, Hydra|LOC100205679, Hydra|LOC124816533, Hydra|LOC105845703, Hydra|LOC105850458, Hydra|LOC124809446, Hydra|LOC105849325
OG0000101	Xenia|LOC124454937, Xenia|LOC124454944, Xenia|LOC124454954, Xenia|LOC124454951, Xenia|LOC124454935, Xenia|LOC124454087, Xenia|LOC124454085, Xenia|LOC124455045	Hydra|LOC105847405, Hydra|LOC124807874, Hydra|LOC100202594, Hydra|LOC105849163, Hydra|LOC105850477, Hydra|LOC105849833, Hydra|LOC100202526, Hydra|LOC105846394, Hydra|LOC100200487, Hydra|LOC100205967, Hydra|LOC105847111, Hydra|LOC105847937, Hydra|LOC100197853, Hydra|LOC105850058, Hydra|LOC105847567, Hydra|LOC124817013, Hydra|LOC124808112, Hydra|LOC100211975, Hydra|LOC105847963
OG0000102	Xenia|LOC124450247, Xenia|LOC124450249, Xenia|LOC124452298, Xenia|LOC124450258, Xenia|LOC124450253, Xenia|LOC124450248, Xenia|LOC124450257, Xenia|LOC124452296, Xenia|LOC124450245, Xenia|LOC124440688, Xenia|LOC124450251, Xenia|LOC124450254, Xenia|LOC124450250, Xenia|LOC124450256, Xenia|LOC124452293, Xenia|LOC124452295, Xenia|LOC124452297	Hydra|LOC124813859, Hydra|LOC100197460
OG0000114	Xenia|LOC124438268, Xenia|LOC124438269, Xenia|LOC124438270, Xenia|LOC124438271, Xenia|LOC124456509, Xenia|LOC124438267, Xenia|LOC124444052, Xenia|LOC124438274, Xenia|LOC124438273, Xenia|LOC124439413, Xenia|LOC124438272, Xenia|LOC124440523, Xenia|LOC124439412, Xenia|LOC124438266, Xenia|LOC124439414, Xenia|LOC124456511, Xenia|LOC124453189, Xenia|LOC124449527, Xenia|LOC124435915, Xenia|LOC124452043	Hydra|LOC124809990, Hydra|LOC124807036, Hydra|LOC124819117, Hydra|LOC124817223, Hydra|LOC124815623
OG0000119	Xenia|LOC124459322, Xenia|LOC124441500, Xenia|LOC124445828, Xenia|LOC124441499, Xenia|LOC124455148, Xenia|LOC124441495, Xenia|LOC124441572, Xenia|LOC124441564, Xenia|LOC124441504, Xenia|LOC124441568, Xenia|LOC124441570, Xenia|LOC124441575, Xenia|LOC124441573, Xenia|LOC124441565, Xenia|LOC124455218, Xenia|LOC124438501, Xenia|LOC124457024, Xenia|LOC124457030, Xenia|LOC124457266, Xenia|LOC124441502, Xenia|LOC124459293, Xenia|LOC124459256, Xenia|LOC124459255, Xenia|LOC124453884, Xenia|LOC124441501	Hydra|LOC101241120
OG0000121	Xenia|LOC124446930, Xenia|LOC124445222, Xenia|LOC124445246, Xenia|LOC124445219, Xenia|LOC124447350, Xenia|LOC124445241, Xenia|LOC124447212, Xenia|LOC124446301, Xenia|LOC124446303, Xenia|LOC124447359, Xenia|LOC124445236, Xenia|LOC124447211, Xenia|LOC124435795, Xenia|LOC124445254, Xenia|LOC124445235, Xenia|LOC124445253, Xenia|LOC124445218, Xenia|LOC124445247, Xenia|LOC124447358, Xenia|LOC124447352, Xenia|LOC124445200	Hydra|LOC100202816, Hydra|LOC100205025, Hydra|LOC100209153
OG0000122	Xenia|LOC124456130	Hydra|LOC105844545, Hydra|LOC101235663
OG0000122	Xenia|LOC124439451	Hydra|LOC124806064, Hydra|LOC101237068
OG0000135	Xenia|LOC124451023, Xenia|LOC124450989, Xenia|LOC124433263	Hydra|LOC105843177
OG0000138	Xenia|LOC124457221, Xenia|LOC124455219	Hydra|LOC124818227, Hydra|LOC124810394, Hydra|LOC124816785
OG0000139	Xenia|LOC124439424, Xenia|LOC124456062, Xenia|LOC124455378	Hydra|LOC101234992, Hydra|LOC105846869
OG0000140	Xenia|LOC124448820, Xenia|LOC124448168, Xenia|LOC124440981, Xenia|LOC124440890, Xenia|LOC124457319, Xenia|LOC124457249, Xenia|LOC124447726, Xenia|LOC124448195, Xenia|LOC124459019, Xenia|LOC124456688, Xenia|LOC124456687, Xenia|LOC124457245, Xenia|LOC124448191, Xenia|LOC124448018, Xenia|LOC124456432, Xenia|LOC124456713, Xenia|LOC124457248, Xenia|LOC124457942, Xenia|LOC124457603, Xenia|LOC124457255, Xenia|LOC124448144, Xenia|LOC124448032, Xenia|LOC124456716, Xenia|LOC124457899, Xenia|LOC124448821, Xenia|LOC124448145, Xenia|LOC124448819, Xenia|LOC124448183, Xenia|LOC124448855, Xenia|LOC124448139	Hydra|LOC105846240
OG0000149	Xenia|LOC124457306	Hydra|LOC100206107
OG0000149	Xenia|LOC124445036, Xenia|LOC124445279	Hydra|LOC124805805, Hydra|LOC124810124, Hydra|LOC124810126, Hydra|LOC124810051, Hydra|LOC124810053, Hydra|LOC124810052, Hydra|LOC100204347, Hydra|LOC124810085, Hydra|LOC124810102, Hydra|LOC124810086, Hydra|LOC124810041
OG0000150	Xenia|LOC124435136, Xenia|LOC124457159, Xenia|LOC124435981, Xenia|LOC124440422, Xenia|LOC124457336, Xenia|LOC124438683, Xenia|LOC124449302, Xenia|LOC124443488, Xenia|LOC124447401, Xenia|LOC124457005, Xenia|LOC124441793, Xenia|LOC124437164	Hydra|LOC101239443, Hydra|LOC124814296
OG0000150	Xenia|LOC124435935, Xenia|LOC124456887, Xenia|LOC124440717, Xenia|LOC124456341, Xenia|LOC124440388	Hydra|LOC124806269, Hydra|LOC124818100, Hydra|LOC124814303, Hydra|LOC101238494, Hydra|LOC100197154, Hydra|LOC101235304
OG0000154	Xenia|LOC124444495, Xenia|LOC124451487, Xenia|LOC124454759	Hydra|LOC100214713
OG0000158	Xenia|LOC124457296, Xenia|LOC124451123	Hydra|LOC124817025, Hydra|LOC124813134
OG0000171	Xenia|LOC124438439, Xenia|LOC124439058, Xenia|LOC124438437	Hydra|LOC100209148, Hydra|LOC100207461
OG0000171	Xenia|LOC124441709	Hydra|LOC101240094
OG0000172	Xenia|LOC124446156, Xenia|LOC124446044, Xenia|LOC124441661, Xenia|LOC124442295, Xenia|LOC124441659, Xenia|LOC124442292	Hydra|LOC100200070, Hydra|LOC100210824, Hydra|LOC100214004, Hydra|LOC100211747, Hydra|LOC100204251, Hydra|LOC100214342, Hydra|LOC100204542, Hydra|LOC100208696, Hydra|LOC105844189, Hydra|LOC100197723
OG0000182	Xenia|LOC124448498, Xenia|LOC124454014, Xenia|LOC124447078, Xenia|LOC124438959, Xenia|LOC124455760, Xenia|LOC124459156	Hydra|LOC124814729, Hydra|LOC124815970, Hydra|LOC124807117, Hydra|LOC124809126
OG0000182	Xenia|LOC124449684, Xenia|LOC124456773	Hydra|LOC124808522
OG0000183	Xenia|LOC124445830	Hydra|LOC105847108
OG0000183	Xenia|LOC124454260, Xenia|LOC124454518, Xenia|LOC124454261, Xenia|LOC124454193, Xenia|LOC124454194, Xenia|LOC124454168, Xenia|LOC124454166, Xenia|LOC124455089, Xenia|LOC124454158, Xenia|LOC124451095	Hydra|LOC100202075, Hydra|LOC105844007
OG0000191	Xenia|LOC124444466, Xenia|LOC124444460, Xenia|LOC124444599, Xenia|LOC124444459, Xenia|LOC124440526	Hydra|LOC101237290, Hydra|LOC100203903, Hydra|LOC100205142, Hydra|LOC101241511, Hydra|LOC100201535, Hydra|LOC101237418
OG0000199	Xenia|LOC124451509	Hydra|LOC100210520, Hydra|LOC100210347
OG0000201	Xenia|LOC124446271	Hydra|LOC101234800, Hydra|LOC101235379, Hydra|LOC124818168, Hydra|LOC124818652, Hydra|LOC124818169, Hydra|LOC124818171, Hydra|LOC105844596, Hydra|LOC124818240
OG0000203	Xenia|LOC124434644, Xenia|LOC124458387, Xenia|LOC124456427, Xenia|LOC124435926, Xenia|LOC124441539, Xenia|LOC124435924, Xenia|LOC124454916, Xenia|LOC124434562, Xenia|LOC124455150, Xenia|LOC124445564	Hydra|LOC105845451, Hydra|LOC105846532, Hydra|LOC124806214
OG0000205	Xenia|LOC124436233	Hydra|LOC101241012
OG0000208	Xenia|LOC124458361	Hydra|LOC100203226
OG0000214	Xenia|LOC124444458, Xenia|LOC124443640, Xenia|LOC124458224, Xenia|LOC124443768, Xenia|LOC124443476	Hydra|LOC100202124, Hydra|LOC100214606, Hydra|LOC100210361, Hydra|LOC100200773, Hydra|LOC100204287, Hydra|LOC100208387, Hydra|LOC100211315
OG0000219	Xenia|LOC124449141, Xenia|LOC124442228, Xenia|LOC124441475	Hydra|LOC100201053, Hydra|LOC100197241, Hydra|LOC101240448, Hydra|LOC124806999
OG0000220	Xenia|LOC124452530, Xenia|LOC124452177, Xenia|LOC124444586	Hydra|LOC124813933
OG0000220	Xenia|LOC124456439, Xenia|LOC124436110	Hydra|LOC124811158, Hydra|LOC124812545, Hydra|LOC124818113, Hydra|LOC101236360, Hydra|LOC124813989
OG0000221	Xenia|LOC124442944, Xenia|LOC124438663	Hydra|LOC105843802, Hydra|LOC124816024, Hydra|LOC105844459, Hydra|LOC105844903, Hydra|LOC124805799, Hydra|LOC101236864
OG0000222	Xenia|LOC124439368, Xenia|LOC124439554, Xenia|LOC124439555, Xenia|LOC124435718	Hydra|LOC101234955
OG0000226	Xenia|LOC124435288, Xenia|LOC124437602	Hydra|LOC105844386, Hydra|LOC124819254, Hydra|LOC105845143, Hydra|LOC124816033, Hydra|LOC105847278, Hydra|LOC124816032, Hydra|LOC124810297, Hydra|LOC105844578, Hydra|LOC105850060, Hydra|LOC124816956, Hydra|LOC105846126
OG0000228	Xenia|LOC124452073, Xenia|LOC124456516, Xenia|LOC124456935, Xenia|LOC124442558	Hydra|LOC105846448, Hydra|LOC105844975
OG0000228	Xenia|LOC124457104, Xenia|LOC124435146, Xenia|LOC124453382, Xenia|LOC124439436, Xenia|LOC124441600, Xenia|LOC124457214, Xenia|LOC124453996	Hydra|LOC124815997, Hydra|LOC101237683, Hydra|LOC124807560
OG0000230	Xenia|LOC124444827, Xenia|LOC124439300, Xenia|LOC124438682, Xenia|LOC124438967, Xenia|LOC124438988, Xenia|LOC124438987, Xenia|LOC124434561	Hydra|LOC101240163
OG0000234	Xenia|LOC124451462	Hydra|LOC101238207, Hydra|LOC124810498, Hydra|LOC124817159, Hydra|LOC105843698, Hydra|LOC100211061, Hydra|LOC124809364, Hydra|LOC105843699, Hydra|LOC100207440, Hydra|LOC124815072, Hydra|LOC124811159
OG0000236	Xenia|LOC124457044, Xenia|LOC124457491	Hydra|LOC101237415, Hydra|LOC124816337, Hydra|LOC124809499, Hydra|LOC105843090, Hydra|LOC101239716, Hydra|LOC124806229, Hydra|LOC124808565, Hydra|LOC101239830, Hydra|LOC101235483, Hydra|LOC100210050, Hydra|LOC124817298, Hydra|LOC105845645, Hydra|LOC124816338, Hydra|LOC101240504, Hydra|LOC105846463, Hydra|LOC124806271, Hydra|LOC101238584, Hydra|LOC124809430, Hydra|LOC101240175, Hydra|LOC105847272, Hydra|LOC101238668, Hydra|LOC101237591, Hydra|LOC101234421, Hydra|LOC101235310, Hydra|LOC105843676, Hydra|LOC101234271
OG0000244	Xenia|LOC124449158	Hydra|LOC100207598
OG0000247	Xenia|LOC124447391, Xenia|LOC124452124, Xenia|LOC124456882, Xenia|LOC124452068	Hydra|LOC124810406, Hydra|LOC124812105, Hydra|LOC124817297, Hydra|LOC124813219, Hydra|LOC124810038, Hydra|LOC124806531, Hydra|LOC105849056, Hydra|LOC124809880, Hydra|LOC105843760, Hydra|LOC105843659, Hydra|LOC105850149, Hydra|LOC124813804, Hydra|LOC124811602, Hydra|LOC100199509, Hydra|LOC124815968, Hydra|LOC124816849, Hydra|LOC124815644, Hydra|LOC124818542, Hydra|LOC105850155, Hydra|LOC105847011, Hydra|LOC124814837
OG0000249	Xenia|LOC124457153, Xenia|LOC124457732	Hydra|LOC100197171, Hydra|LOC100204510, Hydra|LOC100209120, Hydra|LOC100208032
OG0000261	Xenia|LOC124435231	Hydra|LOC100209288, Hydra|LOC124812583, Hydra|LOC100205022
OG0000261	Xenia|LOC124434660	Hydra|LOC100202104
OG0000265	Xenia|LOC124452014, Xenia|LOC124435919, Xenia|LOC124454223, Xenia|LOC124449256, Xenia|LOC124435134, Xenia|LOC124457083, Xenia|LOC124456983, Xenia|LOC124449257	Hydra|LOC124814091
OG0000265	Xenia|LOC124455227, Xenia|LOC124441684, Xenia|LOC124449123, Xenia|LOC124459169	Hydra|LOC105849713, Hydra|LOC124807573, Hydra|LOC124817076, Hydra|LOC124806270, Hydra|LOC124815064
OG0000277	Xenia|LOC124453160	Hydra|LOC100210263, Hydra|LOC105847872, Hydra|LOC100206535
OG0000277	Xenia|LOC124445271	Hydra|LOC100209857, Hydra|LOC100198551, Hydra|LOC100205519
OG0000277	Xenia|LOC124459577	Hydra|LOC100199733
OG0000279	Xenia|LOC124446247	Hydra|LOC100202877
OG0000279	Xenia|LOC124438589	Hydra|LOC100204232
OG0000279	Xenia|LOC124446748	Hydra|LOC100201806
OG0000281	Xenia|LOC124444138	Hydra|LOC100212485, Hydra|LOC100207889
OG0000283	Xenia|LOC124456594	Hydra|LOC101235722, Hydra|LOC124813622, Hydra|LOC105848724, Hydra|LOC124809811, Hydra|LOC124808666, Hydra|LOC105846153, Hydra|LOC105843126, Hydra|LOC105850527, Hydra|LOC105850609, Hydra|LOC105843398, Hydra|LOC105843356, Hydra|LOC105843450, Hydra|LOC105843480, Hydra|LOC105844970, Hydra|LOC124817167, Hydra|LOC124816244, Hydra|LOC124805898, Hydra|LOC105848332, Hydra|LOC105846710, Hydra|LOC105849638, Hydra|LOC105844348
OG0000284	Xenia|LOC124455617, Xenia|LOC124439838	Hydra|LOC124806157, Hydra|LOC124814268, Hydra|LOC124813646, Hydra|LOC124813545, Hydra|LOC124816589, Hydra|LOC124809156, Hydra|LOC124812667, Hydra|LOC124814280, Hydra|LOC124807566, Hydra|LOC124811086, Hydra|LOC124815406
OG0000286	Xenia|LOC124456078, Xenia|LOC124456079	Hydra|LOC124816007, Hydra|LOC124816009, Hydra|LOC124814403, Hydra|LOC105849026, Hydra|LOC101234789, Hydra|LOC124808318, Hydra|LOC124819084, Hydra|LOC124814450, Hydra|LOC105849334, Hydra|LOC124818669, Hydra|LOC124815251
OG0000290	Xenia|LOC124454167, Xenia|LOC124454011	Hydra|LOC100215474
OG0000291	Xenia|LOC124440975, Xenia|LOC124440982, Xenia|LOC124457898, Xenia|LOC124459016, Xenia|LOC124453854, Xenia|LOC124457941, Xenia|LOC124457251, Xenia|LOC124448011, Xenia|LOC124457894, Xenia|LOC124448818, Xenia|LOC124457939, Xenia|LOC124456706, Xenia|LOC124440974, Xenia|LOC124457264, Xenia|LOC124440977, Xenia|LOC124459013, Xenia|LOC124456696, Xenia|LOC124457896, Xenia|LOC124440978, Xenia|LOC124457938, Xenia|LOC124440891	Hydra|LOC100213238
