Orthogroup	longest_isoform_XeniaProteins	longest_isoform_ClytiaProteins
OG0000056	Xenia|LOC124443759, Xenia|LOC124444697, Xenia|LOC124443940, Xenia|LOC124444793, Xenia|LOC124444794, Xenia|LOC124444698, Xenia|LOC124444796, Xenia|LOC124444699, Xenia|LOC124450666, Xenia|LOC124444518, Xenia|LOC124448436, Xenia|LOC124448362, Xenia|LOC124448803, Xenia|LOC124449424, Xenia|LOC124449519, Xenia|LOC124449572, Xenia|LOC124435076	Clytia|LOC040257, Clytia|LOC044510, Clytia|LOC032863, Clytia|LOC009882, Clytia|LOC016972, Clytia|LOC041403
OG0000057	Xenia|LOC124446315, Xenia|LOC124440454, Xenia|LOC124439770, Xenia|LOC124439767, Xenia|LOC124439766, Xenia|LOC124440447, Xenia|LOC124439768, Xenia|LOC124440456, Xenia|LOC124455175, Xenia|LOC124440449, Xenia|LOC124440453, Xenia|LOC124439771	Clytia|LOC044383
OG0000057	Xenia|LOC124439764	Clytia|LOC020267, Clytia|LOC032661
OG0000064	Xenia|LOC124438084, Xenia|LOC124438083, Xenia|LOC124438085, Xenia|LOC124438591	Clytia|LOC021768, Clytia|LOC045244, Clytia|LOC007240
OG0000064	Xenia|LOC124433327, Xenia|LOC124439612	Clytia|LOC004460
OG0000070	Xenia|LOC124433854, Xenia|LOC124433853, Xenia|LOC124433852, Xenia|LOC124433855, Xenia|LOC124458321, Xenia|LOC124436250, Xenia|LOC124444824	Clytia|LOC003863, Clytia|LOC023129, Clytia|LOC019571, Clytia|LOC024647, Clytia|LOC043392, Clytia|LOC018545, Clytia|LOC043942, Clytia|LOC012194, Clytia|LOC028028, Clytia|LOC015165, Clytia|LOC015176, Clytia|LOC043391, Clytia|LOC028822, Clytia|LOC018076, Clytia|LOC012657
OG0000071	Xenia|LOC124449577	Clytia|LOC016497, Clytia|LOC015138, Clytia|LOC012974, Clytia|LOC040493, Clytia|LOC006069, Clytia|LOC004166, Clytia|LOC012975
OG0000072	Xenia|LOC124435903	Clytia|LOC020657
OG0000072	Xenia|LOC124445250	Clytia|LOC045029, Clytia|LOC017867
OG0000073	Xenia|LOC124435967, Xenia|LOC124447783, Xenia|LOC124451538, Xenia|LOC124452271, Xenia|LOC124455266, Xenia|LOC124434097, Xenia|LOC124438628, Xenia|LOC124436230, Xenia|LOC124453876, Xenia|LOC124458431, Xenia|LOC124444591, Xenia|LOC124459329, Xenia|LOC124457423, Xenia|LOC124447131, Xenia|LOC124456366, Xenia|LOC124455294, Xenia|LOC124448848, Xenia|LOC124435927, Xenia|LOC124434101, Xenia|LOC124434096, Xenia|LOC124457934, Xenia|LOC124450468, Xenia|LOC124451944, Xenia|LOC124441604, Xenia|LOC124439416, Xenia|LOC124456100, Xenia|LOC124447784, Xenia|LOC124455217, Xenia|LOC124455242, Xenia|LOC124456695, Xenia|LOC124453578, Xenia|LOC124441543, Xenia|LOC124443127, Xenia|LOC124457814	Clytia|LOC034376, Clytia|LOC019959, Clytia|LOC023629, Clytia|LOC024551, Clytia|LOC012028, Clytia|LOC002001, Clytia|LOC037888, Clytia|LOC014875, Clytia|LOC036363, Clytia|LOC023227, Clytia|LOC024552, Clytia|LOC023630
OG0000076	Xenia|LOC124435646, Xenia|LOC124447619, Xenia|LOC124439890, Xenia|LOC124456527	Clytia|LOC005491, Clytia|LOC045131, Clytia|LOC045140, Clytia|LOC032509, Clytia|LOC045225
OG0000079	Xenia|LOC124443324, Xenia|LOC124452133, Xenia|LOC124435990, Xenia|LOC124436069, Xenia|LOC124443369	Clytia|LOC036357
OG0000086	Xenia|LOC124441663	Clytia|LOC003115
OG0000086	Xenia|LOC124454782	Clytia|LOC006000, Clytia|LOC006001, Clytia|LOC045253
OG0000087	Xenia|LOC124455821, Xenia|LOC124459302, Xenia|LOC124439018, Xenia|LOC124457307, Xenia|LOC124437940, Xenia|LOC124453992, Xenia|LOC124452231, Xenia|LOC124456595, Xenia|LOC124459301, Xenia|LOC124438761, Xenia|LOC124444598, Xenia|LOC124438553, Xenia|LOC124448020, Xenia|LOC124445097, Xenia|LOC124436026, Xenia|LOC124437950, Xenia|LOC124453987, Xenia|LOC124454958, Xenia|LOC124452132, Xenia|LOC124443325, Xenia|LOC124455323, Xenia|LOC124441569, Xenia|LOC124444597, Xenia|LOC124438560, Xenia|LOC124449265, Xenia|LOC124438763, Xenia|LOC124456442	Clytia|LOC023522
OG0000091	Xenia|LOC124459292	Clytia|LOC017197, Clytia|LOC018725, Clytia|LOC045335, Clytia|LOC023929, Clytia|LOC042594, Clytia|LOC024977, Clytia|LOC018030, Clytia|LOC014927, Clytia|LOC000999, Clytia|LOC039877, Clytia|LOC023222, Clytia|LOC035135, Clytia|LOC004238, Clytia|LOC007724, Clytia|LOC044917, Clytia|LOC022298, Clytia|LOC018553, Clytia|LOC039042, Clytia|LOC020653, Clytia|LOC036653, Clytia|LOC034722, Clytia|LOC044748, Clytia|LOC016408, Clytia|LOC021844, Clytia|LOC018998, Clytia|LOC043921, Clytia|LOC015931, Clytia|LOC023264, Clytia|LOC025212, Clytia|LOC021871, Clytia|LOC034576, Clytia|LOC024730, Clytia|LOC029582, Clytia|LOC033300, Clytia|LOC019542, Clytia|LOC008521, Clytia|LOC013595, Clytia|LOC034644, Clytia|LOC000953, Clytia|LOC021843
OG0000092	Xenia|LOC124444853, Xenia|LOC124444676, Xenia|LOC124454446	Clytia|LOC019343, Clytia|LOC001332, Clytia|LOC042934, Clytia|LOC010673, Clytia|LOC033595, Clytia|LOC033602, Clytia|LOC019342, Clytia|LOC040892, Clytia|LOC040554
OG0000095	Xenia|LOC124450728, Xenia|LOC124457390, Xenia|LOC124455245, Xenia|LOC124449024, Xenia|LOC124443245, Xenia|LOC124450359, Xenia|LOC124444760, Xenia|LOC124435114, Xenia|LOC124452218, Xenia|LOC124443936, Xenia|LOC124436205, Xenia|LOC124454484, Xenia|LOC124435916, Xenia|LOC124436006, Xenia|LOC124444569, Xenia|LOC124449199	Clytia|LOC027553, Clytia|LOC037347, Clytia|LOC037702, Clytia|LOC016564, Clytia|LOC007721, Clytia|LOC041773, Clytia|LOC033017, Clytia|LOC021736
OG0000095	Xenia|LOC124455267	Clytia|LOC025237
OG0000096	Xenia|LOC124434526, Xenia|LOC124454871, Xenia|LOC124457670	Clytia|LOC024348, Clytia|LOC037980
OG0000097	Xenia|LOC124443063, Xenia|LOC124441449	Clytia|LOC005362, Clytia|LOC026732
OG0000099	Xenia|LOC124452487	Clytia|LOC000501, Clytia|LOC038972, Clytia|LOC029047
OG0000099	Xenia|LOC124446856, Xenia|LOC124446857, Xenia|LOC124446859	Clytia|LOC038973, Clytia|LOC042141, Clytia|LOC033871, Clytia|LOC007234, Clytia|LOC002257, Clytia|LOC010091
OG0000101	Xenia|LOC124454937, Xenia|LOC124454944, Xenia|LOC124454954, Xenia|LOC124454951, Xenia|LOC124454935, Xenia|LOC124454087, Xenia|LOC124454085, Xenia|LOC124455045	Clytia|LOC044820, Clytia|LOC044792, Clytia|LOC044821, Clytia|LOC044777, Clytia|LOC010824, Clytia|LOC044779
OG0000114	Xenia|LOC124444544, Xenia|LOC124449635, Xenia|LOC124437504	Clytia|LOC020931
OG0000114	Xenia|LOC124438268, Xenia|LOC124438269, Xenia|LOC124438270, Xenia|LOC124438271, Xenia|LOC124456509, Xenia|LOC124438267, Xenia|LOC124444052, Xenia|LOC124438274, Xenia|LOC124438273, Xenia|LOC124439413, Xenia|LOC124438272, Xenia|LOC124440523, Xenia|LOC124439412, Xenia|LOC124438266, Xenia|LOC124439414, Xenia|LOC124456511, Xenia|LOC124453189, Xenia|LOC124449527, Xenia|LOC124435915, Xenia|LOC124452043	Clytia|LOC023088, Clytia|LOC007705, Clytia|LOC020880, Clytia|LOC032961, Clytia|LOC021237, Clytia|LOC025827
OG0000119	Xenia|LOC124459322, Xenia|LOC124441500, Xenia|LOC124445828, Xenia|LOC124441499, Xenia|LOC124455148, Xenia|LOC124441495, Xenia|LOC124441572, Xenia|LOC124441564, Xenia|LOC124441504, Xenia|LOC124441568, Xenia|LOC124441570, Xenia|LOC124441575, Xenia|LOC124441573, Xenia|LOC124441565, Xenia|LOC124455218, Xenia|LOC124438501, Xenia|LOC124457024, Xenia|LOC124457030, Xenia|LOC124457266, Xenia|LOC124441502, Xenia|LOC124459293, Xenia|LOC124459256, Xenia|LOC124459255, Xenia|LOC124453884, Xenia|LOC124441501	Clytia|LOC013647
OG0000120	Xenia|LOC124440414	Clytia|LOC030295
OG0000120	Xenia|LOC124440165, Xenia|LOC124440399, Xenia|LOC124455960, Xenia|LOC124440415, Xenia|LOC124455070, Xenia|LOC124453380, Xenia|LOC124443185, Xenia|LOC124449098, Xenia|LOC124456775, Xenia|LOC124455452, Xenia|LOC124438738	Clytia|LOC041119, Clytia|LOC009961, Clytia|LOC042502
OG0000121	Xenia|LOC124446930, Xenia|LOC124445222, Xenia|LOC124445246, Xenia|LOC124445219, Xenia|LOC124447350, Xenia|LOC124445241, Xenia|LOC124447212, Xenia|LOC124446301, Xenia|LOC124446303, Xenia|LOC124447359, Xenia|LOC124445236, Xenia|LOC124447211, Xenia|LOC124435795, Xenia|LOC124445254, Xenia|LOC124445235, Xenia|LOC124445253, Xenia|LOC124445218, Xenia|LOC124445247, Xenia|LOC124447358, Xenia|LOC124447352, Xenia|LOC124445200	Clytia|LOC013247, Clytia|LOC034546, Clytia|LOC034547, Clytia|LOC034548
OG0000122	Xenia|LOC124439451	Clytia|LOC016389
OG0000129	Xenia|LOC124435412	Clytia|LOC025445, Clytia|LOC033805, Clytia|LOC029612, Clytia|LOC003287, Clytia|LOC020030, Clytia|LOC016792, Clytia|LOC027940, Clytia|LOC026781, Clytia|LOC025737, Clytia|LOC021130, Clytia|LOC030451, Clytia|LOC020103, Clytia|LOC027096, Clytia|LOC041185, Clytia|LOC020029, Clytia|LOC029635, Clytia|LOC026327, Clytia|LOC043673, Clytia|LOC018826, Clytia|LOC014019, Clytia|LOC043666, Clytia|LOC022562, Clytia|LOC028427, Clytia|LOC026714, Clytia|LOC036478, Clytia|LOC035519, Clytia|LOC012354, Clytia|LOC009944, Clytia|LOC027858, Clytia|LOC026068, Clytia|LOC026348, Clytia|LOC014971, Clytia|LOC017612
OG0000135	Xenia|LOC124451023, Xenia|LOC124450989, Xenia|LOC124433263	Clytia|LOC000978, Clytia|LOC001011
OG0000137	Xenia|LOC124436037	Clytia|LOC035170
OG0000137	Xenia|LOC124451151, Xenia|LOC124456975, Xenia|LOC124438678	Clytia|LOC017393, Clytia|LOC008117, Clytia|LOC033607
OG0000138	Xenia|LOC124457221, Xenia|LOC124455219	Clytia|LOC027347, Clytia|LOC035704
OG0000138	Xenia|LOC124438890, Xenia|LOC124457224, Xenia|LOC124455508, Xenia|LOC124440411, Xenia|LOC124436703, Xenia|LOC124457627, Xenia|LOC124450453, Xenia|LOC124451533, Xenia|LOC124449637, Xenia|LOC124457367, Xenia|LOC124434527, Xenia|LOC124453902, Xenia|LOC124454883, Xenia|LOC124454933, Xenia|LOC124440876, Xenia|LOC124441645, Xenia|LOC124453934, Xenia|LOC124454771	Clytia|LOC026225, Clytia|LOC035095, Clytia|LOC017566, Clytia|LOC044252, Clytia|LOC011224, Clytia|LOC018202
OG0000139	Xenia|LOC124439424, Xenia|LOC124456062, Xenia|LOC124455378	Clytia|LOC020618
OG0000140	Xenia|LOC124448820, Xenia|LOC124448168, Xenia|LOC124440981, Xenia|LOC124440890, Xenia|LOC124457319, Xenia|LOC124457249, Xenia|LOC124447726, Xenia|LOC124448195, Xenia|LOC124459019, Xenia|LOC124456688, Xenia|LOC124456687, Xenia|LOC124457245, Xenia|LOC124448191, Xenia|LOC124448018, Xenia|LOC124456432, Xenia|LOC124456713, Xenia|LOC124457248, Xenia|LOC124457942, Xenia|LOC124457603, Xenia|LOC124457255, Xenia|LOC124448144, Xenia|LOC124448032, Xenia|LOC124456716, Xenia|LOC124457899, Xenia|LOC124448821, Xenia|LOC124448145, Xenia|LOC124448819, Xenia|LOC124448183, Xenia|LOC124448855, Xenia|LOC124448139	Clytia|LOC036855
OG0000149	Xenia|LOC124445036, Xenia|LOC124445279	Clytia|LOC009534
OG0000150	Xenia|LOC124435136, Xenia|LOC124457159, Xenia|LOC124435981, Xenia|LOC124440422, Xenia|LOC124457336, Xenia|LOC124438683, Xenia|LOC124449302, Xenia|LOC124443488, Xenia|LOC124447401, Xenia|LOC124457005, Xenia|LOC124441793, Xenia|LOC124437164	Clytia|LOC017886
OG0000154	Xenia|LOC124435225	Clytia|LOC012011
OG0000154	Xenia|LOC124444495, Xenia|LOC124451487, Xenia|LOC124454759	Clytia|LOC039418
OG0000154	Xenia|LOC124443888	Clytia|LOC016371, Clytia|LOC010821
OG0000155	Xenia|LOC124457140	Clytia|LOC027182, Clytia|LOC032603, Clytia|LOC021535, Clytia|LOC017132, Clytia|LOC020254, Clytia|LOC039596, Clytia|LOC032125, Clytia|LOC001369, Clytia|LOC023743, Clytia|LOC020141, Clytia|LOC029953, Clytia|LOC010883, Clytia|LOC026548, Clytia|LOC037931, Clytia|LOC019447, Clytia|LOC001626
OG0000156	Xenia|LOC124448596, Xenia|LOC124448595, Xenia|LOC124448421, Xenia|LOC124456127, Xenia|LOC124456113, Xenia|LOC124435830, Xenia|LOC124456092	Clytia|LOC039197, Clytia|LOC042352, Clytia|LOC018231, Clytia|LOC019041, Clytia|LOC034921, Clytia|LOC034915, Clytia|LOC034922, Clytia|LOC033823, Clytia|LOC005376, Clytia|LOC028036, Clytia|LOC018230, Clytia|LOC013275, Clytia|LOC034746, Clytia|LOC034783, Clytia|LOC026048, Clytia|LOC034217, Clytia|LOC005667
OG0000158	Xenia|LOC124457296, Xenia|LOC124451123	Clytia|LOC022281, Clytia|LOC022893, Clytia|LOC022894, Clytia|LOC042747, Clytia|LOC011790, Clytia|LOC018100, Clytia|LOC016156, Clytia|LOC006891, Clytia|LOC024665, Clytia|LOC024339
OG0000171	Xenia|LOC124438439, Xenia|LOC124439058, Xenia|LOC124438437	Clytia|LOC010525, Clytia|LOC013644, Clytia|LOC013785
OG0000171	Xenia|LOC124441709	Clytia|LOC017940, Clytia|LOC004093, Clytia|LOC004092
OG0000172	Xenia|LOC124446156, Xenia|LOC124446044, Xenia|LOC124441661, Xenia|LOC124442295, Xenia|LOC124441659, Xenia|LOC124442292	Clytia|LOC038813, Clytia|LOC036838, Clytia|LOC029414, Clytia|LOC007993, Clytia|LOC040448
OG0000174	Xenia|LOC124446928, Xenia|LOC124435963, Xenia|LOC124446241, Xenia|LOC124456070, Xenia|LOC124455690, Xenia|LOC124456952, Xenia|LOC124454180, Xenia|LOC124453387, Xenia|LOC124453925, Xenia|LOC124457037, Xenia|LOC124453955, Xenia|LOC124438777, Xenia|LOC124451190, Xenia|LOC124433379, Xenia|LOC124433300, Xenia|LOC124456076, Xenia|LOC124449276, Xenia|LOC124436032, Xenia|LOC124437939, Xenia|LOC124437282, Xenia|LOC124455730, Xenia|LOC124449273, Xenia|LOC124434320, Xenia|LOC124438692	Clytia|LOC023712, Clytia|LOC045059, Clytia|LOC020661
OG0000182	Xenia|LOC124448498, Xenia|LOC124454014	Clytia|LOC036516
OG0000182	Xenia|LOC124447078, Xenia|LOC124438959, Xenia|LOC124455760, Xenia|LOC124459156	Clytia|LOC001657
OG0000182	Xenia|LOC124449684, Xenia|LOC124456773	Clytia|LOC036517, Clytia|LOC023081, Clytia|LOC028614, Clytia|LOC018844, Clytia|LOC042036, Clytia|LOC025985, Clytia|LOC009220
OG0000183	Xenia|LOC124445830	Clytia|LOC002151
OG0000183	Xenia|LOC124454260, Xenia|LOC124454518, Xenia|LOC124454261, Xenia|LOC124454193, Xenia|LOC124454194, Xenia|LOC124454168, Xenia|LOC124454166, Xenia|LOC124455089, Xenia|LOC124454158, Xenia|LOC124451095	Clytia|LOC007968, Clytia|LOC011732
OG0000186	Xenia|LOC124449470	Clytia|LOC024944, Clytia|LOC005054
OG0000186	Xenia|LOC124455128, Xenia|LOC124436634, Xenia|LOC124456981, Xenia|LOC124448779, Xenia|LOC124455503, Xenia|LOC124455016, Xenia|LOC124448448, Xenia|LOC124449149, Xenia|LOC124437189, Xenia|LOC124434070, Xenia|LOC124455341	Clytia|LOC023425, Clytia|LOC016594, Clytia|LOC029851
OG0000188	Xenia|LOC124446464	Clytia|LOC027585, Clytia|LOC016925, Clytia|LOC023507, Clytia|LOC040840, Clytia|LOC035301, Clytia|LOC028814, Clytia|LOC043021, Clytia|LOC018624, Clytia|LOC024854, Clytia|LOC017870, Clytia|LOC016926, Clytia|LOC021608, Clytia|LOC010594, Clytia|LOC040841, Clytia|LOC037960, Clytia|LOC021236, Clytia|LOC017796, Clytia|LOC022945, Clytia|LOC027586, Clytia|LOC023506, Clytia|LOC028761, Clytia|LOC042328, Clytia|LOC023355, Clytia|LOC039601, Clytia|LOC040026, Clytia|LOC022946, Clytia|LOC040364, Clytia|LOC019962, Clytia|LOC023505
OG0000191	Xenia|LOC124444466, Xenia|LOC124444460, Xenia|LOC124444599, Xenia|LOC124444459, Xenia|LOC124440526	Clytia|LOC041886, Clytia|LOC044011, Clytia|LOC013758, Clytia|LOC038024, Clytia|LOC041071
OG0000199	Xenia|LOC124451509	Clytia|LOC037757, Clytia|LOC015786, Clytia|LOC036893, Clytia|LOC008541, Clytia|LOC008547, Clytia|LOC037767, Clytia|LOC001458, Clytia|LOC014192
OG0000200	Xenia|LOC124452086	Clytia|LOC040004
OG0000201	Xenia|LOC124446271	Clytia|LOC002457, Clytia|LOC045779, Clytia|LOC010572, Clytia|LOC042021, Clytia|LOC038470
OG0000203	Xenia|LOC124443498, Xenia|LOC124438741, Xenia|LOC124444001	Clytia|LOC032925, Clytia|LOC034616, Clytia|LOC037727
OG0000203	Xenia|LOC124434644, Xenia|LOC124458387, Xenia|LOC124456427, Xenia|LOC124435926, Xenia|LOC124441539, Xenia|LOC124435924, Xenia|LOC124454916, Xenia|LOC124434562, Xenia|LOC124455150, Xenia|LOC124445564	Clytia|LOC006283
OG0000205	Xenia|LOC124436233	Clytia|LOC033080
OG0000205	Xenia|LOC124439062, Xenia|LOC124439073	Clytia|LOC011480
OG0000214	Xenia|LOC124444458, Xenia|LOC124443640, Xenia|LOC124458224, Xenia|LOC124443768, Xenia|LOC124443476	Clytia|LOC012980, Clytia|LOC030307, Clytia|LOC001306, Clytia|LOC000336, Clytia|LOC013572, Clytia|LOC001305, Clytia|LOC001335, Clytia|LOC012853
OG0000219	Xenia|LOC124449141, Xenia|LOC124442228, Xenia|LOC124441475	Clytia|LOC044296, Clytia|LOC044298, Clytia|LOC003370, Clytia|LOC044436, Clytia|LOC044437, Clytia|LOC044297, Clytia|LOC043867, Clytia|LOC043896
OG0000220	Xenia|LOC124452530, Xenia|LOC124452177, Xenia|LOC124444586	Clytia|LOC038238, Clytia|LOC018308
OG0000220	Xenia|LOC124456439, Xenia|LOC124436110	Clytia|LOC026605, Clytia|LOC026230, Clytia|LOC025956, Clytia|LOC004562, Clytia|LOC038615, Clytia|LOC009923, Clytia|LOC040195
OG0000221	Xenia|LOC124442944, Xenia|LOC124438663	Clytia|LOC004593, Clytia|LOC007532
OG0000222	Xenia|LOC124439368, Xenia|LOC124439554, Xenia|LOC124439555, Xenia|LOC124435718	Clytia|LOC006561, Clytia|LOC006528, Clytia|LOC045427, Clytia|LOC013725, Clytia|LOC037515, Clytia|LOC040111, Clytia|LOC041400, Clytia|LOC038422
OG0000226	Xenia|LOC124435288, Xenia|LOC124437602	Clytia|LOC014089, Clytia|LOC013058, Clytia|LOC014105, Clytia|LOC017296, Clytia|LOC029263, Clytia|LOC017102
OG0000228	Xenia|LOC124452073, Xenia|LOC124456516, Xenia|LOC124456935, Xenia|LOC124442558	Clytia|LOC025631
OG0000230	Xenia|LOC124444646	Clytia|LOC030138
OG0000244	Xenia|LOC124449158	Clytia|LOC001828
OG0000247	Xenia|LOC124447391, Xenia|LOC124452124, Xenia|LOC124456882, Xenia|LOC124452068	Clytia|LOC003365
OG0000249	Xenia|LOC124457153, Xenia|LOC124457732	Clytia|LOC033026, Clytia|LOC014697, Clytia|LOC029265, Clytia|LOC039351, Clytia|LOC044359, Clytia|LOC014696, Clytia|LOC044358, Clytia|LOC034610, Clytia|LOC034590, Clytia|LOC044293, Clytia|LOC038072
OG0000257	Xenia|LOC124444024	Clytia|LOC003027, Clytia|LOC004382, Clytia|LOC004381, Clytia|LOC004365, Clytia|LOC030664, Clytia|LOC002272, Clytia|LOC011232, Clytia|LOC015403, Clytia|LOC042339, Clytia|LOC004366, Clytia|LOC003007
OG0000257	Xenia|LOC124448006	Clytia|LOC044269, Clytia|LOC000327, Clytia|LOC043124, Clytia|LOC001911, Clytia|LOC001919
OG0000261	Xenia|LOC124435231	Clytia|LOC012602, Clytia|LOC002012
OG0000261	Xenia|LOC124434660	Clytia|LOC014168
OG0000261	Xenia|LOC124434401	Clytia|LOC016821
