Orthogroup	longest_isoform_NematostellaProteins	longest_isoform_ClytiaProteins
OG0000027	Nematostella|LOC5497940, Nematostella|LOC116607803, Nematostella|LOC5500881, Nematostella|LOC116618621, Nematostella|LOC5518508, Nematostella|LOC116618181, Nematostella|LOC116603288, Nematostella|LOC116615387, Nematostella|LOC5520654, Nematostella|LOC5497237, Nematostella|LOC5520522, Nematostella|LOC5497168, Nematostella|LOC125557190, Nematostella|LOC5497955, Nematostella|LOC5498099, Nematostella|LOC125557183, Nematostella|LOC5498791, Nematostella|LOC125557186, Nematostella|LOC125557179, Nematostella|LOC125557185, Nematostella|LOC125557191, Nematostella|LOC125557192, Nematostella|LOC125557187, Nematostella|LOC125557188, Nematostella|LOC116607011, Nematostella|LOC125557178, Nematostella|LOC125557182, Nematostella|LOC125557180, Nematostella|LOC125557181, Nematostella|LOC125557175, Nematostella|LOC125557174, Nematostella|LOC125557176, Nematostella|LOC125557172, Nematostella|LOC125557173, Nematostella|LOC125557171, Nematostella|LOC125557193	Clytia|LOC040069
OG0000031	Nematostella|LOC116602249, Nematostella|LOC5507947, Nematostella|LOC116604657, Nematostella|LOC116617993, Nematostella|LOC116620912, Nematostella|LOC5512949, Nematostella|LOC116612432, Nematostella|LOC116619539, Nematostella|LOC125560664, Nematostella|LOC116601166, Nematostella|LOC116621099, Nematostella|LOC116616799	Clytia|LOC040162
OG0000031	Nematostella|LOC116620586	Clytia|LOC031746, Clytia|LOC000924, Clytia|LOC029112
OG0000036	Nematostella|LOC125559372	Clytia|LOC027032, Clytia|LOC000262
OG0000036	Nematostella|LOC125570202	Clytia|LOC025146, Clytia|LOC023340, Clytia|LOC025944, Clytia|LOC034307
OG0000036	Nematostella|LOC116612042	Clytia|LOC009422, Clytia|LOC021142
OG0000036	Nematostella|LOC116614082, Nematostella|LOC116609843	Clytia|LOC005544
OG0000036	Nematostella|LOC116608828	Clytia|LOC012702, Clytia|LOC023170, Clytia|LOC030500, Clytia|LOC005084, Clytia|LOC044912, Clytia|LOC017788, Clytia|LOC037973
OG0000038	Nematostella|LOC125560740, Nematostella|LOC125561897	Clytia|LOC020435, Clytia|LOC026073
OG0000041	Nematostella|LOC116616791	Clytia|LOC028192, Clytia|LOC001404, Clytia|LOC016809, Clytia|LOC005088
OG0000050	Nematostella|LOC5503578, Nematostella|LOC5501774	Clytia|LOC031188, Clytia|LOC018743, Clytia|LOC012577
OG0000052	Nematostella|LOC5518464, Nematostella|LOC5505974, Nematostella|LOC5502003	Clytia|LOC003985
OG0000055	Nematostella|LOC116609348	Clytia|LOC015922, Clytia|LOC022612, Clytia|LOC044818, Clytia|LOC005353, Clytia|LOC034771, Clytia|LOC044104, Clytia|LOC037308, Clytia|LOC027529, Clytia|LOC014755, Clytia|LOC014751, Clytia|LOC021762, Clytia|LOC014756, Clytia|LOC029389, Clytia|LOC010175, Clytia|LOC031142, Clytia|LOC031173, Clytia|LOC005352, Clytia|LOC002104, Clytia|LOC045259, Clytia|LOC003965, Clytia|LOC044139, Clytia|LOC037486, Clytia|LOC037467, Clytia|LOC037485, Clytia|LOC037468
OG0000056	Nematostella|LOC116621207, Nematostella|LOC116618769, Nematostella|LOC116619460, Nematostella|LOC116619459, Nematostella|LOC116619641, Nematostella|LOC116619360, Nematostella|LOC116619457, Nematostella|LOC116610741, Nematostella|LOC116605419, Nematostella|LOC116610740, Nematostella|LOC116602624, Nematostella|LOC116605418, Nematostella|LOC5513110, Nematostella|LOC5507246, Nematostella|LOC5504753	Clytia|LOC040257, Clytia|LOC044510, Clytia|LOC032863, Clytia|LOC009882, Clytia|LOC016972, Clytia|LOC041403
OG0000057	Nematostella|LOC5511243, Nematostella|LOC116610685, Nematostella|LOC116608817, Nematostella|LOC5503124, Nematostella|LOC5510306, Nematostella|LOC5503113, Nematostella|LOC5503121, Nematostella|LOC125559909, Nematostella|LOC5501535, Nematostella|LOC116606605, Nematostella|LOC5501533, Nematostella|LOC5510302, Nematostella|LOC5501536, Nematostella|LOC125559899, Nematostella|LOC125559913, Nematostella|LOC116607488, Nematostella|LOC125559907, Nematostella|LOC5499800, Nematostella|LOC5499802, Nematostella|LOC125559860, Nematostella|LOC5499801, Nematostella|LOC125570298, Nematostella|LOC125557117, Nematostella|LOC5506106, Nematostella|LOC5511033, Nematostella|LOC5509171	Clytia|LOC044383
OG0000057	Nematostella|LOC5520133	Clytia|LOC020267
OG0000057	Nematostella|LOC116619038	Clytia|LOC032661
OG0000058	Nematostella|LOC5516814, Nematostella|LOC5516769, Nematostella|LOC116612015, Nematostella|LOC116620853, Nematostella|LOC5521880, Nematostella|LOC5514294	Clytia|LOC041183
OG0000058	Nematostella|LOC5509144	Clytia|LOC001448
OG0000059	Nematostella|LOC125561023, Nematostella|LOC116607669	Clytia|LOC009758
OG0000064	Nematostella|LOC116619486	Clytia|LOC021768, Clytia|LOC045244, Clytia|LOC007240
OG0000064	Nematostella|LOC5503492, Nematostella|LOC5505881, Nematostella|LOC5521478, Nematostella|LOC5503475, Nematostella|LOC5501722	Clytia|LOC030566
OG0000064	Nematostella|LOC5522323, Nematostella|LOC5517523, Nematostella|LOC5514687, Nematostella|LOC5505462, Nematostella|LOC116612680, Nematostella|LOC5503451, Nematostella|LOC116616801	Clytia|LOC004460
OG0000070	Nematostella|LOC5503789, Nematostella|LOC5514659, Nematostella|LOC5503046, Nematostella|LOC5510781, Nematostella|LOC5511836, Nematostella|LOC5511848, Nematostella|LOC5508605, Nematostella|LOC116615595, Nematostella|LOC116620045, Nematostella|LOC116604845, Nematostella|LOC5516926, Nematostella|LOC5520430, Nematostella|LOC5504613, Nematostella|LOC5515944	Clytia|LOC003863, Clytia|LOC023129, Clytia|LOC019571, Clytia|LOC024647, Clytia|LOC043392, Clytia|LOC018545, Clytia|LOC043942, Clytia|LOC012194, Clytia|LOC028028, Clytia|LOC015165, Clytia|LOC015176, Clytia|LOC043391, Clytia|LOC028822, Clytia|LOC018076, Clytia|LOC012657
OG0000071	Nematostella|LOC116611066	Clytia|LOC016497, Clytia|LOC015138, Clytia|LOC012974, Clytia|LOC040493, Clytia|LOC006069, Clytia|LOC004166, Clytia|LOC012975
OG0000072	Nematostella|LOC125560754, Nematostella|LOC125560755, Nematostella|LOC116601844, Nematostella|LOC116601928, Nematostella|LOC125563005, Nematostella|LOC5518201, Nematostella|LOC125559856, Nematostella|LOC125572432, Nematostella|LOC125561810, Nematostella|LOC125568044, Nematostella|LOC125561322, Nematostella|LOC125572222, Nematostella|LOC116615318, Nematostella|LOC125561137, Nematostella|LOC125559846, Nematostella|LOC116614590, Nematostella|LOC125573620	Clytia|LOC020657
OG0000072	Nematostella|LOC125559738	Clytia|LOC045029, Clytia|LOC017867
OG0000076	Nematostella|LOC5512518	Clytia|LOC015944
OG0000076	Nematostella|LOC5516785	Clytia|LOC006659, Clytia|LOC011074
OG0000076	Nematostella|LOC5509636, Nematostella|LOC5518438, Nematostella|LOC5517474	Clytia|LOC005491, Clytia|LOC045131, Clytia|LOC045140, Clytia|LOC032509, Clytia|LOC045225
OG0000079	Nematostella|LOC125560947	Clytia|LOC036357
OG0000086	Nematostella|LOC5512855, Nematostella|LOC5510908, Nematostella|LOC5518648	Clytia|LOC003115
OG0000086	Nematostella|LOC5519278, Nematostella|LOC5505372, Nematostella|LOC5515341, Nematostella|LOC5506128, Nematostella|LOC5506136, Nematostella|LOC116613980, Nematostella|LOC116617528, Nematostella|LOC5510904	Clytia|LOC003178
OG0000086	Nematostella|LOC5513480, Nematostella|LOC116618883	Clytia|LOC030793, Clytia|LOC042126, Clytia|LOC030739
OG0000086	Nematostella|LOC116619731, Nematostella|LOC5513575	Clytia|LOC008540
OG0000086	Nematostella|LOC5502427, Nematostella|LOC5518125, Nematostella|LOC116611466, Nematostella|LOC5514576, Nematostella|LOC5511759, Nematostella|LOC5511758, Nematostella|LOC116616115, Nematostella|LOC5514578	Clytia|LOC006000, Clytia|LOC006001, Clytia|LOC045253
OG0000087	Nematostella|LOC125570198	Clytia|LOC023522
OG0000091	Nematostella|LOC116613867	Clytia|LOC017197, Clytia|LOC018725, Clytia|LOC045335, Clytia|LOC023929, Clytia|LOC042594, Clytia|LOC024977, Clytia|LOC018030, Clytia|LOC014927, Clytia|LOC000999, Clytia|LOC039877, Clytia|LOC023222, Clytia|LOC035135, Clytia|LOC004238, Clytia|LOC007724, Clytia|LOC044917, Clytia|LOC022298, Clytia|LOC018553, Clytia|LOC039042, Clytia|LOC020653, Clytia|LOC036653, Clytia|LOC034722, Clytia|LOC044748, Clytia|LOC016408, Clytia|LOC021844, Clytia|LOC018998, Clytia|LOC043921, Clytia|LOC015931, Clytia|LOC023264, Clytia|LOC025212, Clytia|LOC021871, Clytia|LOC034576, Clytia|LOC024730, Clytia|LOC029582, Clytia|LOC033300, Clytia|LOC019542, Clytia|LOC008521, Clytia|LOC013595, Clytia|LOC034644, Clytia|LOC000953, Clytia|LOC021843
OG0000095	Nematostella|LOC116611723	Clytia|LOC027553, Clytia|LOC037347, Clytia|LOC037702, Clytia|LOC016564, Clytia|LOC007721, Clytia|LOC041773, Clytia|LOC033017, Clytia|LOC021736
OG0000095	Nematostella|LOC125561142, Nematostella|LOC116619028	Clytia|LOC025237
OG0000096	Nematostella|LOC116607814	Clytia|LOC027348
OG0000096	Nematostella|LOC116611814, Nematostella|LOC116612389	Clytia|LOC024348, Clytia|LOC037980
OG0000096	Nematostella|LOC125559844, Nematostella|LOC125573159, Nematostella|LOC125562702, Nematostella|LOC125561986, Nematostella|LOC116608277, Nematostella|LOC125567941, Nematostella|LOC125572185, Nematostella|LOC116621079, Nematostella|LOC125561748, Nematostella|LOC125557565	Clytia|LOC031544
OG0000097	Nematostella|LOC5519484, Nematostella|LOC5505319, Nematostella|LOC5505323, Nematostella|LOC5504813, Nematostella|LOC5512659, Nematostella|LOC5505316, Nematostella|LOC5505313, Nematostella|LOC5519551	Clytia|LOC005362, Clytia|LOC026732
OG0000099	Nematostella|LOC5518768	Clytia|LOC000501, Clytia|LOC038972, Clytia|LOC029047
OG0000099	Nematostella|LOC5520593	Clytia|LOC038973, Clytia|LOC042141, Clytia|LOC033871, Clytia|LOC007234, Clytia|LOC002257, Clytia|LOC010091
OG0000101	Nematostella|LOC125570308, Nematostella|LOC116611693, Nematostella|LOC5519403, Nematostella|LOC5519404	Clytia|LOC044820, Clytia|LOC044792, Clytia|LOC044821, Clytia|LOC044777, Clytia|LOC010824, Clytia|LOC044779
OG0000102	Nematostella|LOC5517026	Clytia|LOC044518, Clytia|LOC036827
OG0000114	Nematostella|LOC125561131	Clytia|LOC023088, Clytia|LOC007705, Clytia|LOC020880, Clytia|LOC032961, Clytia|LOC021237, Clytia|LOC025827
OG0000116	Nematostella|LOC116615474	Clytia|LOC020176
OG0000119	Nematostella|LOC116615063, Nematostella|LOC5509978	Clytia|LOC038551, Clytia|LOC003858, Clytia|LOC033110, Clytia|LOC017073
OG0000120	Nematostella|LOC5507808, Nematostella|LOC125561387, Nematostella|LOC125559086, Nematostella|LOC125574485, Nematostella|LOC125561901	Clytia|LOC030295
OG0000120	Nematostella|LOC5504231, Nematostella|LOC125568290, Nematostella|LOC125557119, Nematostella|LOC125560845, Nematostella|LOC125572226	Clytia|LOC041119, Clytia|LOC009961, Clytia|LOC042502
OG0000121	Nematostella|LOC5516499, Nematostella|LOC116620688, Nematostella|LOC5516497, Nematostella|LOC5509419	Clytia|LOC013247, Clytia|LOC034546, Clytia|LOC034547, Clytia|LOC034548
OG0000122	Nematostella|LOC116601583	Clytia|LOC016389
OG0000135	Nematostella|LOC5502632, Nematostella|LOC5507628, Nematostella|LOC5505651, Nematostella|LOC5510410, Nematostella|LOC5505886, Nematostella|LOC5505650, Nematostella|LOC5502628, Nematostella|LOC5508959, Nematostella|LOC5504972, Nematostella|LOC116616008, Nematostella|LOC5504116, Nematostella|LOC116613566, Nematostella|LOC5513980	Clytia|LOC000978, Clytia|LOC001011
OG0000136	Nematostella|LOC116618386, Nematostella|LOC116616022	Clytia|LOC040307, Clytia|LOC017252, Clytia|LOC017246, Clytia|LOC027033, Clytia|LOC040269, Clytia|LOC040270, Clytia|LOC001457, Clytia|LOC006729, Clytia|LOC006558, Clytia|LOC006559, Clytia|LOC038811, Clytia|LOC003934, Clytia|LOC038810, Clytia|LOC006545, Clytia|LOC003665, Clytia|LOC007288, Clytia|LOC009005
OG0000137	Nematostella|LOC125561258	Clytia|LOC035170
OG0000137	Nematostella|LOC116618025, Nematostella|LOC125568087	Clytia|LOC017393, Clytia|LOC008117, Clytia|LOC033607
OG0000138	Nematostella|LOC116615509	Clytia|LOC026225, Clytia|LOC035095, Clytia|LOC017566, Clytia|LOC044252, Clytia|LOC011224, Clytia|LOC018202
OG0000139	Nematostella|LOC125559101, Nematostella|LOC116620099, Nematostella|LOC116606194, Nematostella|LOC116610903, Nematostella|LOC125567845, Nematostella|LOC116608204, Nematostella|LOC116609382, Nematostella|LOC125567854	Clytia|LOC020618
OG0000140	Nematostella|LOC5504679	Clytia|LOC036855
OG0000149	Nematostella|LOC5520604, Nematostella|LOC125557159, Nematostella|LOC5519555, Nematostella|LOC5497978, Nematostella|LOC125557162, Nematostella|LOC5497255, Nematostella|LOC5518521, Nematostella|LOC125557160, Nematostella|LOC125557143, Nematostella|LOC5520633, Nematostella|LOC116603289, Nematostella|LOC5508192, Nematostella|LOC5520529, Nematostella|LOC125559142	Clytia|LOC009534
OG0000150	Nematostella|LOC125557096	Clytia|LOC017886
OG0000154	Nematostella|LOC5513249	Clytia|LOC042630
OG0000154	Nematostella|LOC5518108	Clytia|LOC000885
OG0000154	Nematostella|LOC116616154	Clytia|LOC012011
OG0000154	Nematostella|LOC5513251	Clytia|LOC039418
OG0000154	Nematostella|LOC5519352	Clytia|LOC016371, Clytia|LOC010821
OG0000155	Nematostella|LOC125570208, Nematostella|LOC116614660, Nematostella|LOC125561890, Nematostella|LOC116617924, Nematostella|LOC116619259, Nematostella|LOC125561067, Nematostella|LOC125561881, Nematostella|LOC116612496	Clytia|LOC027182, Clytia|LOC032603, Clytia|LOC021535, Clytia|LOC017132, Clytia|LOC020254, Clytia|LOC039596, Clytia|LOC032125, Clytia|LOC001369, Clytia|LOC023743, Clytia|LOC020141, Clytia|LOC029953, Clytia|LOC010883, Clytia|LOC026548, Clytia|LOC037931, Clytia|LOC019447, Clytia|LOC001626
OG0000156	Nematostella|LOC5518974, Nematostella|LOC5519531, Nematostella|LOC5522187, Nematostella|LOC5522305, Nematostella|LOC5512550, Nematostella|LOC5512508, Nematostella|LOC5510645, Nematostella|LOC5510673	Clytia|LOC039197, Clytia|LOC042352, Clytia|LOC018231, Clytia|LOC019041, Clytia|LOC034921, Clytia|LOC034915, Clytia|LOC034922, Clytia|LOC033823, Clytia|LOC005376, Clytia|LOC028036, Clytia|LOC018230, Clytia|LOC013275, Clytia|LOC034746, Clytia|LOC034783, Clytia|LOC026048, Clytia|LOC034217, Clytia|LOC005667
OG0000158	Nematostella|LOC5502659	Clytia|LOC022281, Clytia|LOC022893, Clytia|LOC022894, Clytia|LOC042747, Clytia|LOC011790, Clytia|LOC018100, Clytia|LOC016156, Clytia|LOC006891, Clytia|LOC024665, Clytia|LOC024339
OG0000158	Nematostella|LOC125559782	Clytia|LOC026200
OG0000160	Nematostella|LOC5504101	Clytia|LOC024221, Clytia|LOC023547, Clytia|LOC045201, Clytia|LOC020015, Clytia|LOC027342, Clytia|LOC019107, Clytia|LOC014239, Clytia|LOC034736, Clytia|LOC030698, Clytia|LOC015670, Clytia|LOC034166, Clytia|LOC015439, Clytia|LOC015441, Clytia|LOC023546, Clytia|LOC019892, Clytia|LOC036802, Clytia|LOC017811, Clytia|LOC036598, Clytia|LOC017795, Clytia|LOC036803, Clytia|LOC023545, Clytia|LOC014238
OG0000161	Nematostella|LOC116618135, Nematostella|LOC5502974, Nematostella|LOC5513179	Clytia|LOC037546, Clytia|LOC044964, Clytia|LOC035657, Clytia|LOC020579
OG0000169	Nematostella|LOC116601539	Clytia|LOC023498, Clytia|LOC024290, Clytia|LOC008029, Clytia|LOC011940, Clytia|LOC006952, Clytia|LOC000813, Clytia|LOC023367, Clytia|LOC039604, Clytia|LOC023602, Clytia|LOC028079, Clytia|LOC002072, Clytia|LOC005525, Clytia|LOC038587, Clytia|LOC038497, Clytia|LOC016664, Clytia|LOC042651, Clytia|LOC016663, Clytia|LOC012837, Clytia|LOC016865, Clytia|LOC021243, Clytia|LOC011144, Clytia|LOC026067, Clytia|LOC010930, Clytia|LOC017419
OG0000170	Nematostella|LOC125556701	Clytia|LOC019936, Clytia|LOC022653, Clytia|LOC019532, Clytia|LOC044541, Clytia|LOC026245, Clytia|LOC027882, Clytia|LOC027344, Clytia|LOC026135, Clytia|LOC026404, Clytia|LOC028171, Clytia|LOC007009, Clytia|LOC002824, Clytia|LOC035439, Clytia|LOC043065, Clytia|LOC025807, Clytia|LOC004233, Clytia|LOC038505, Clytia|LOC036922, Clytia|LOC016205, Clytia|LOC012930, Clytia|LOC035441, Clytia|LOC026556, Clytia|LOC002245, Clytia|LOC027023, Clytia|LOC022482, Clytia|LOC041898, Clytia|LOC014567, Clytia|LOC006007, Clytia|LOC022650, Clytia|LOC034136
OG0000171	Nematostella|LOC5509032, Nematostella|LOC5512449, Nematostella|LOC116619410, Nematostella|LOC5504472, Nematostella|LOC5504474, Nematostella|LOC5518380, Nematostella|LOC5513501, Nematostella|LOC5505695, Nematostella|LOC5521144	Clytia|LOC010525, Clytia|LOC013644, Clytia|LOC013785
OG0000171	Nematostella|LOC5514520, Nematostella|LOC5515632	Clytia|LOC017940, Clytia|LOC004093, Clytia|LOC004092
OG0000172	Nematostella|LOC5517441, Nematostella|LOC5519744, Nematostella|LOC5517140, Nematostella|LOC5510177	Clytia|LOC038813, Clytia|LOC036838, Clytia|LOC029414, Clytia|LOC007993, Clytia|LOC040448
OG0000174	Nematostella|LOC5506259	Clytia|LOC023712, Clytia|LOC045059, Clytia|LOC020661
OG0000182	Nematostella|LOC116605833, Nematostella|LOC116601475	Clytia|LOC036517, Clytia|LOC023081, Clytia|LOC028614, Clytia|LOC018844, Clytia|LOC042036, Clytia|LOC025985, Clytia|LOC009220
OG0000183	Nematostella|LOC5501306	Clytia|LOC002151
OG0000183	Nematostella|LOC5512736, Nematostella|LOC5520157, Nematostella|LOC5516328, Nematostella|LOC5514210	Clytia|LOC007968, Clytia|LOC011732
OG0000186	Nematostella|LOC116606147, Nematostella|LOC125559827, Nematostella|LOC116606770, Nematostella|LOC116612862, Nematostella|LOC116618759, Nematostella|LOC116618382, Nematostella|LOC5502006, Nematostella|LOC125567868	Clytia|LOC024944, Clytia|LOC005054, Clytia|LOC023425, Clytia|LOC016594, Clytia|LOC029851
OG0000187	Nematostella|LOC125561166, Nematostella|LOC116610226, Nematostella|LOC125559884, Nematostella|LOC125556769, Nematostella|LOC125561799, Nematostella|LOC125558965, Nematostella|LOC125561744, Nematostella|LOC116615683, Nematostella|LOC116615661, Nematostella|LOC125559956, Nematostella|LOC125561972, Nematostella|LOC125563176	Clytia|LOC012759, Clytia|LOC020952, Clytia|LOC006913, Clytia|LOC016922
OG0000191	Nematostella|LOC5515983, Nematostella|LOC5501704, Nematostella|LOC5504504, Nematostella|LOC5520089, Nematostella|LOC5506502, Nematostella|LOC5504192, Nematostella|LOC116611056	Clytia|LOC041886, Clytia|LOC044011, Clytia|LOC013758, Clytia|LOC038024, Clytia|LOC041071
OG0000199	Nematostella|LOC116614913, Nematostella|LOC5507995, Nematostella|LOC5500783, Nematostella|LOC5511845, Nematostella|LOC5502715, Nematostella|LOC5504664, Nematostella|LOC5521670, Nematostella|LOC5521669, Nematostella|LOC125559343, Nematostella|LOC116614912, Nematostella|LOC125561029, Nematostella|LOC116614904, Nematostella|LOC5507773, Nematostella|LOC116613843	Clytia|LOC037757, Clytia|LOC015786, Clytia|LOC036893, Clytia|LOC008541, Clytia|LOC008547, Clytia|LOC037767, Clytia|LOC001458, Clytia|LOC014192
OG0000200	Nematostella|LOC116609446	Clytia|LOC001698, Clytia|LOC016910
OG0000200	Nematostella|LOC116619712	Clytia|LOC040004
OG0000201	Nematostella|LOC5511581	Clytia|LOC041794, Clytia|LOC002740
OG0000201	Nematostella|LOC5517676, Nematostella|LOC5517812, Nematostella|LOC5511168	Clytia|LOC002457, Clytia|LOC045779, Clytia|LOC010572, Clytia|LOC042021, Clytia|LOC038470
OG0000205	Nematostella|LOC5498275	Clytia|LOC033080
OG0000205	Nematostella|LOC5520298	Clytia|LOC014280
OG0000205	Nematostella|LOC5511462	Clytia|LOC011480
OG0000214	Nematostella|LOC5512777, Nematostella|LOC116614000	Clytia|LOC012980, Clytia|LOC030307, Clytia|LOC001306, Clytia|LOC000336, Clytia|LOC013572, Clytia|LOC001305, Clytia|LOC001335, Clytia|LOC012853
OG0000215	Nematostella|LOC125570206, Nematostella|LOC116613106	Clytia|LOC013410, Clytia|LOC035157, Clytia|LOC018790, Clytia|LOC009521, Clytia|LOC039222, Clytia|LOC045565, Clytia|LOC016483, Clytia|LOC038952, Clytia|LOC022174, Clytia|LOC019231, Clytia|LOC008952, Clytia|LOC012389, Clytia|LOC037965, Clytia|LOC007268, Clytia|LOC000698, Clytia|LOC022231, Clytia|LOC021982, Clytia|LOC024302, Clytia|LOC036244, Clytia|LOC036442, Clytia|LOC023670, Clytia|LOC028408
OG0000218	Nematostella|LOC125568219, Nematostella|LOC5504038	Clytia|LOC002371
OG0000218	Nematostella|LOC116609477, Nematostella|LOC116603402, Nematostella|LOC5519695, Nematostella|LOC5507537, Nematostella|LOC5516561	Clytia|LOC010889
OG0000218	Nematostella|LOC5517507	Clytia|LOC030794, Clytia|LOC036043, Clytia|LOC009449, Clytia|LOC036042
OG0000219	Nematostella|LOC125561228, Nematostella|LOC5504566	Clytia|LOC044296, Clytia|LOC044298, Clytia|LOC003370, Clytia|LOC044436, Clytia|LOC044437, Clytia|LOC044297, Clytia|LOC043867, Clytia|LOC043896
OG0000220	Nematostella|LOC116617947, Nematostella|LOC125559150, Nematostella|LOC125573175, Nematostella|LOC116618592	Clytia|LOC038238, Clytia|LOC018308
OG0000221	Nematostella|LOC5513029, Nematostella|LOC125568323, Nematostella|LOC5520836, Nematostella|LOC5520880, Nematostella|LOC5520783, Nematostella|LOC5520786, Nematostella|LOC5521044, Nematostella|LOC5510002, Nematostella|LOC5508256, Nematostella|LOC5507022	Clytia|LOC004593, Clytia|LOC007532
OG0000221	Nematostella|LOC116604140, Nematostella|LOC5519890, Nematostella|LOC5515075	Clytia|LOC004602
OG0000222	Nematostella|LOC5515125, Nematostella|LOC5518988, Nematostella|LOC5511362, Nematostella|LOC5512427, Nematostella|LOC116618127, Nematostella|LOC5504983, Nematostella|LOC5513879, Nematostella|LOC116616361	Clytia|LOC006561, Clytia|LOC006528, Clytia|LOC045427, Clytia|LOC013725, Clytia|LOC037515, Clytia|LOC040111, Clytia|LOC041400, Clytia|LOC038422
OG0000224	Nematostella|LOC5496379, Nematostella|LOC5521005	Clytia|LOC015643, Clytia|LOC035121, Clytia|LOC015642, Clytia|LOC028391, Clytia|LOC027076, Clytia|LOC015644, Clytia|LOC026830, Clytia|LOC035120, Clytia|LOC024900, Clytia|LOC032063, Clytia|LOC024901, Clytia|LOC024243, Clytia|LOC032053, Clytia|LOC010546, Clytia|LOC023270
OG0000225	Nematostella|LOC116612653, Nematostella|LOC5513436	Clytia|LOC016463, Clytia|LOC039948, Clytia|LOC022356, Clytia|LOC035092, Clytia|LOC032952, Clytia|LOC021192, Clytia|LOC011882, Clytia|LOC020923, Clytia|LOC034067, Clytia|LOC020447, Clytia|LOC044241, Clytia|LOC027963, Clytia|LOC021367, Clytia|LOC016459, Clytia|LOC020220, Clytia|LOC034739, Clytia|LOC012216, Clytia|LOC027151
OG0000226	Nematostella|LOC5513361, Nematostella|LOC5505182	Clytia|LOC014089, Clytia|LOC013058, Clytia|LOC014105, Clytia|LOC017296, Clytia|LOC029263, Clytia|LOC017102
OG0000228	Nematostella|LOC116614509, Nematostella|LOC116619902	Clytia|LOC025631
OG0000228	Nematostella|LOC125561899	Clytia|LOC018666
OG0000230	Nematostella|LOC5520900	Clytia|LOC030138
OG0000244	Nematostella|LOC125572487	Clytia|LOC001828
OG0000249	Nematostella|LOC5512027, Nematostella|LOC5499668, Nematostella|LOC5498142, Nematostella|LOC5512040, Nematostella|LOC5512039, Nematostella|LOC5501014	Clytia|LOC033026, Clytia|LOC014697, Clytia|LOC029265, Clytia|LOC039351, Clytia|LOC044359, Clytia|LOC014696, Clytia|LOC044358, Clytia|LOC034610, Clytia|LOC034590, Clytia|LOC044293, Clytia|LOC038072
