Orthogroup	longest_isoform_NematostellaProteins	longest_isoform_XeniaProteins
OG0000010	Nematostella|LOC116617843	Xenia|LOC124435304, Xenia|LOC124435308, Xenia|LOC124435307, Xenia|LOC124450421, Xenia|LOC124451073, Xenia|LOC124437820, Xenia|LOC124437817, Xenia|LOC124437821, Xenia|LOC124435995, Xenia|LOC124436509, Xenia|LOC124436029, Xenia|LOC124436108, Xenia|LOC124436071, Xenia|LOC124436120, Xenia|LOC124437447, Xenia|LOC124437446, Xenia|LOC124436064, Xenia|LOC124436118, Xenia|LOC124459121, Xenia|LOC124436084, Xenia|LOC124436087, Xenia|LOC124435851, Xenia|LOC124448345, Xenia|LOC124448438, Xenia|LOC124444499, Xenia|LOC124452777, Xenia|LOC124452963, Xenia|LOC124436180, Xenia|LOC124437387, Xenia|LOC124459118, Xenia|LOC124436082, Xenia|LOC124436063, Xenia|LOC124437318, Xenia|LOC124436089, Xenia|LOC124436073, Xenia|LOC124436072, Xenia|LOC124436077, Xenia|LOC124436295, Xenia|LOC124436119, Xenia|LOC124459048, Xenia|LOC124459052, Xenia|LOC124436050, Xenia|LOC124436122, Xenia|LOC124436070, Xenia|LOC124437448, Xenia|LOC124436107, Xenia|LOC124436294, Xenia|LOC124459043, Xenia|LOC124459120, Xenia|LOC124436083, Xenia|LOC124436140, Xenia|LOC124436090, Xenia|LOC124459044, Xenia|LOC124436051, Xenia|LOC124435840, Xenia|LOC124459047, Xenia|LOC124459123, Xenia|LOC124459127, Xenia|LOC124436105, Xenia|LOC124436659, Xenia|LOC124448995, Xenia|LOC124436076, Xenia|LOC124436068, Xenia|LOC124437190, Xenia|LOC124436601, Xenia|LOC124449632, Xenia|LOC124449629, Xenia|LOC124437188, Xenia|LOC124436598, Xenia|LOC124457820, Xenia|LOC124436080, Xenia|LOC124436423, Xenia|LOC124436424, Xenia|LOC124448998, Xenia|LOC124436599, Xenia|LOC124436079, Xenia|LOC124436680, Xenia|LOC124436489, Xenia|LOC124436078, Xenia|LOC124436141, Xenia|LOC124449644, Xenia|LOC124449633, Xenia|LOC124437498, Xenia|LOC124448667
OG0000011	Nematostella|LOC125572218, Nematostella|LOC125562971, Nematostella|LOC116615994, Nematostella|LOC125563113	Xenia|LOC124451985, Xenia|LOC124455801, Xenia|LOC124440433, Xenia|LOC124459403, Xenia|LOC124439427, Xenia|LOC124457279
OG0000011	Nematostella|LOC116619407, Nematostella|LOC116618056, Nematostella|LOC125559736, Nematostella|LOC125572123	Xenia|LOC124459404
OG0000018	Nematostella|LOC5508709	Xenia|LOC124443897, Xenia|LOC124436633
OG0000018	Nematostella|LOC116603287, Nematostella|LOC5518572, Nematostella|LOC5497976, Nematostella|LOC116615386, Nematostella|LOC5512235, Nematostella|LOC125559140, Nematostella|LOC125559141, Nematostella|LOC116618192, Nematostella|LOC5506880	Xenia|LOC124449834
OG0000027	Nematostella|LOC5497940, Nematostella|LOC116607803, Nematostella|LOC5500881, Nematostella|LOC116618621, Nematostella|LOC5518508, Nematostella|LOC116618181, Nematostella|LOC116603288, Nematostella|LOC116615387, Nematostella|LOC5520654, Nematostella|LOC5497237, Nematostella|LOC5520522	Xenia|LOC124452960
OG0000027	Nematostella|LOC5497168, Nematostella|LOC125557190, Nematostella|LOC5497955, Nematostella|LOC5498099, Nematostella|LOC125557183, Nematostella|LOC5498791, Nematostella|LOC125557186, Nematostella|LOC125557179, Nematostella|LOC125557185, Nematostella|LOC125557191, Nematostella|LOC125557192, Nematostella|LOC125557187, Nematostella|LOC125557188, Nematostella|LOC116607011, Nematostella|LOC125557178, Nematostella|LOC125557182, Nematostella|LOC125557180, Nematostella|LOC125557181, Nematostella|LOC125557175, Nematostella|LOC125557174, Nematostella|LOC125557176, Nematostella|LOC125557172, Nematostella|LOC125557173, Nematostella|LOC125557171, Nematostella|LOC125557193	Xenia|LOC124445656
OG0000031	Nematostella|LOC116602249, Nematostella|LOC5507947, Nematostella|LOC116604657, Nematostella|LOC116617993, Nematostella|LOC116620912, Nematostella|LOC5512949, Nematostella|LOC116612432, Nematostella|LOC116619539, Nematostella|LOC125560664, Nematostella|LOC116601166, Nematostella|LOC116621099, Nematostella|LOC116616799	Xenia|LOC124443906, Xenia|LOC124457004
OG0000031	Nematostella|LOC116620586	Xenia|LOC124446624, Xenia|LOC124456591
OG0000032	Nematostella|LOC116611840	Xenia|LOC124436336, Xenia|LOC124435997, Xenia|LOC124436369, Xenia|LOC124435818, Xenia|LOC124435819, Xenia|LOC124436809, Xenia|LOC124436725, Xenia|LOC124436016, Xenia|LOC124436495, Xenia|LOC124436618, Xenia|LOC124436150, Xenia|LOC124435884, Xenia|LOC124436848, Xenia|LOC124436114, Xenia|LOC124437853, Xenia|LOC124436021, Xenia|LOC124437479, Xenia|LOC124437584, Xenia|LOC124436144, Xenia|LOC124436584, Xenia|LOC124436112, Xenia|LOC124436137, Xenia|LOC124436129, Xenia|LOC124436001, Xenia|LOC124436713, Xenia|LOC124436151, Xenia|LOC124435951, Xenia|LOC124436116, Xenia|LOC124436126, Xenia|LOC124436739, Xenia|LOC124436324, Xenia|LOC124437286, Xenia|LOC124437406, Xenia|LOC124436617, Xenia|LOC124435886, Xenia|LOC124436453, Xenia|LOC124435895, Xenia|LOC124435996, Xenia|LOC124435896, Xenia|LOC124435885, Xenia|LOC124436019, Xenia|LOC124436568, Xenia|LOC124436002, Xenia|LOC124436785, Xenia|LOC124437563, Xenia|LOC124435987, Xenia|LOC124435989, Xenia|LOC124435958, Xenia|LOC124435980, Xenia|LOC124436386, Xenia|LOC124436820, Xenia|LOC124436022, Xenia|LOC124435833, Xenia|LOC124437248, Xenia|LOC124436004, Xenia|LOC124436202, Xenia|LOC124435972, Xenia|LOC124436027
OG0000036	Nematostella|LOC125559372	Xenia|LOC124437283, Xenia|LOC124457091
OG0000036	Nematostella|LOC125556747, Nematostella|LOC116617159, Nematostella|LOC125563015	Xenia|LOC124456431, Xenia|LOC124456899, Xenia|LOC124435128
OG0000036	Nematostella|LOC125570202	Xenia|LOC124434350, Xenia|LOC124448385
OG0000036	Nematostella|LOC116614082, Nematostella|LOC116609843, Nematostella|LOC116608828	Xenia|LOC124449079
OG0000038	Nematostella|LOC125560740, Nematostella|LOC125561897	Xenia|LOC124452018
OG0000038	Nematostella|LOC125573188	Xenia|LOC124457082, Xenia|LOC124452064, Xenia|LOC124449046
OG0000040	Nematostella|LOC5517914, Nematostella|LOC5500736, Nematostella|LOC5500734, Nematostella|LOC116604660, Nematostella|LOC5511273, Nematostella|LOC5522153, Nematostella|LOC116617805, Nematostella|LOC5510531, Nematostella|LOC5512126, Nematostella|LOC5506519, Nematostella|LOC5520044, Nematostella|LOC116618707, Nematostella|LOC5509152, Nematostella|LOC116609464, Nematostella|LOC116618262, Nematostella|LOC116615484, Nematostella|LOC5502172, Nematostella|LOC5502175, Nematostella|LOC116609722, Nematostella|LOC5507625, Nematostella|LOC5510592, Nematostella|LOC5510591, Nematostella|LOC116617238, Nematostella|LOC5520263, Nematostella|LOC125568118, Nematostella|LOC116613847, Nematostella|LOC5501993, Nematostella|LOC5509430, Nematostella|LOC5514442, Nematostella|LOC5508322, Nematostella|LOC116604117, Nematostella|LOC5521158, Nematostella|LOC5502412, Nematostella|LOC116609859, Nematostella|LOC5502413, Nematostella|LOC5520248, Nematostella|LOC5508460, Nematostella|LOC5508313, Nematostella|LOC5511733, Nematostella|LOC5508432, Nematostella|LOC125557462, Nematostella|LOC116602051, Nematostella|LOC5520171, Nematostella|LOC5520598, Nematostella|LOC5507692, Nematostella|LOC5511885, Nematostella|LOC5509880, Nematostella|LOC5501804, Nematostella|LOC116608952, Nematostella|LOC116617055, Nematostella|LOC5521170, Nematostella|LOC5516324, Nematostella|LOC5516354, Nematostella|LOC5508425, Nematostella|LOC116618407, Nematostella|LOC5514499	Xenia|LOC124453778
OG0000045	Nematostella|LOC5510506	Xenia|LOC124448733, Xenia|LOC124451367, Xenia|LOC124450853, Xenia|LOC124451974, Xenia|LOC124449689, Xenia|LOC124449023, Xenia|LOC124448502, Xenia|LOC124451543, Xenia|LOC124450875, Xenia|LOC124448728, Xenia|LOC124448731, Xenia|LOC124448730, Xenia|LOC124456466, Xenia|LOC124448970, Xenia|LOC124454042, Xenia|LOC124448722, Xenia|LOC124449693, Xenia|LOC124448725, Xenia|LOC124449673, Xenia|LOC124449678, Xenia|LOC124448784, Xenia|LOC124449680, Xenia|LOC124449677, Xenia|LOC124448782, Xenia|LOC124453812, Xenia|LOC124448239, Xenia|LOC124448735, Xenia|LOC124434095, Xenia|LOC124448194, Xenia|LOC124448252, Xenia|LOC124448241, Xenia|LOC124448734, Xenia|LOC124448244, Xenia|LOC124448711, Xenia|LOC124448248, Xenia|LOC124448719, Xenia|LOC124448714, Xenia|LOC124448718, Xenia|LOC124448255, Xenia|LOC124448265, Xenia|LOC124448262, Xenia|LOC124448724, Xenia|LOC124448727, Xenia|LOC124448721, Xenia|LOC124448736, Xenia|LOC124448254, Xenia|LOC124448720, Xenia|LOC124448251, Xenia|LOC124448715, Xenia|LOC124448717, Xenia|LOC124456453, Xenia|LOC124453986, Xenia|LOC124448783, Xenia|LOC124448713, Xenia|LOC124448260
OG0000050	Nematostella|LOC5503578	Xenia|LOC124455472, Xenia|LOC124451186, Xenia|LOC124456881, Xenia|LOC124454220, Xenia|LOC124455241, Xenia|LOC124455845, Xenia|LOC124449064, Xenia|LOC124457281, Xenia|LOC124457535
OG0000050	Nematostella|LOC5501774	Xenia|LOC124449234, Xenia|LOC124449008, Xenia|LOC124439434, Xenia|LOC124456763, Xenia|LOC124454013, Xenia|LOC124452526
OG0000055	Nematostella|LOC116617885, Nematostella|LOC5506227	Xenia|LOC124439851
OG0000055	Nematostella|LOC116609348	Xenia|LOC124452766
OG0000056	Nematostella|LOC116621207, Nematostella|LOC116618769, Nematostella|LOC116619460, Nematostella|LOC116619459, Nematostella|LOC116619641, Nematostella|LOC116619360, Nematostella|LOC116619457	Xenia|LOC124443759, Xenia|LOC124444697, Xenia|LOC124443940, Xenia|LOC124444793, Xenia|LOC124444794, Xenia|LOC124444698, Xenia|LOC124444796, Xenia|LOC124444699, Xenia|LOC124450666, Xenia|LOC124444518, Xenia|LOC124448436, Xenia|LOC124448362, Xenia|LOC124448803, Xenia|LOC124449424, Xenia|LOC124449519, Xenia|LOC124449572
OG0000056	Nematostella|LOC116610741, Nematostella|LOC116605419, Nematostella|LOC116610740, Nematostella|LOC116602624, Nematostella|LOC116605418, Nematostella|LOC5513110, Nematostella|LOC5507246	Xenia|LOC124435076
OG0000057	Nematostella|LOC5511243, Nematostella|LOC116610685, Nematostella|LOC116608817, Nematostella|LOC5503124, Nematostella|LOC5510306, Nematostella|LOC5503113, Nematostella|LOC5503121, Nematostella|LOC125559909, Nematostella|LOC5501535, Nematostella|LOC116606605, Nematostella|LOC5501533, Nematostella|LOC5510302, Nematostella|LOC5501536, Nematostella|LOC125559899, Nematostella|LOC125559913, Nematostella|LOC116607488, Nematostella|LOC125559907, Nematostella|LOC5499800, Nematostella|LOC5499802, Nematostella|LOC125559860, Nematostella|LOC5499801, Nematostella|LOC125570298, Nematostella|LOC125557117, Nematostella|LOC5506106, Nematostella|LOC5511033, Nematostella|LOC5509171	Xenia|LOC124446315, Xenia|LOC124440454, Xenia|LOC124439770, Xenia|LOC124439767, Xenia|LOC124439766, Xenia|LOC124440447, Xenia|LOC124439768, Xenia|LOC124440456, Xenia|LOC124455175, Xenia|LOC124440449, Xenia|LOC124440453, Xenia|LOC124439771
OG0000057	Nematostella|LOC5520133, Nematostella|LOC116619038	Xenia|LOC124439764
OG0000058	Nematostella|LOC5517877, Nematostella|LOC5514304	Xenia|LOC124440541
OG0000061	Nematostella|LOC125567917, Nematostella|LOC116604397, Nematostella|LOC116614870, Nematostella|LOC125568025, Nematostella|LOC125568003, Nematostella|LOC125558973, Nematostella|LOC125561078, Nematostella|LOC125573628, Nematostella|LOC125561829, Nematostella|LOC125560962, Nematostella|LOC125560617, Nematostella|LOC125563064, Nematostella|LOC125570180, Nematostella|LOC125573604, Nematostella|LOC116608832, Nematostella|LOC5510820, Nematostella|LOC116618856, Nematostella|LOC116616148, Nematostella|LOC125563036, Nematostella|LOC116610921, Nematostella|LOC125559014, Nematostella|LOC125567564, Nematostella|LOC116607038, Nematostella|LOC125560974, Nematostella|LOC125560625, Nematostella|LOC125561048, Nematostella|LOC125560917, Nematostella|LOC125559868, Nematostella|LOC116603076, Nematostella|LOC125573803, Nematostella|LOC116620195, Nematostella|LOC116613530, Nematostella|LOC125556695, Nematostella|LOC125570193, Nematostella|LOC125559887	Xenia|LOC124449198
OG0000062	Nematostella|LOC5509798, Nematostella|LOC5497158	Xenia|LOC124436742
OG0000062	Nematostella|LOC125557222, Nematostella|LOC125557238, Nematostella|LOC125557239, Nematostella|LOC125557226, Nematostella|LOC125557223, Nematostella|LOC125557230, Nematostella|LOC125557234, Nematostella|LOC5496422, Nematostella|LOC125557228, Nematostella|LOC125557236	Xenia|LOC124443616
OG0000062	Nematostella|LOC5509564	Xenia|LOC124443543
OG0000064	Nematostella|LOC116619486	Xenia|LOC124438084, Xenia|LOC124438083, Xenia|LOC124438085, Xenia|LOC124438591
OG0000064	Nematostella|LOC5517523, Nematostella|LOC5514687, Nematostella|LOC5505462, Nematostella|LOC116612680	Xenia|LOC124433327
OG0000064	Nematostella|LOC5503451, Nematostella|LOC116616801	Xenia|LOC124439612
OG0000064	Nematostella|LOC5522071, Nematostella|LOC116611752	Xenia|LOC124452145, Xenia|LOC124457788, Xenia|LOC124452154, Xenia|LOC124452144, Xenia|LOC124450705, Xenia|LOC124456786, Xenia|LOC124450688, Xenia|LOC124450691, Xenia|LOC124452166, Xenia|LOC124452181
OG0000064	Nematostella|LOC5515337	Xenia|LOC124451494
OG0000070	Nematostella|LOC5503789	Xenia|LOC124433854, Xenia|LOC124433853, Xenia|LOC124433852, Xenia|LOC124433855
OG0000070	Nematostella|LOC5514659, Nematostella|LOC5503046, Nematostella|LOC5510781, Nematostella|LOC5511836, Nematostella|LOC5511848	Xenia|LOC124458321, Xenia|LOC124436250
OG0000070	Nematostella|LOC5508605, Nematostella|LOC116615595	Xenia|LOC124444824
OG0000071	Nematostella|LOC116611066	Xenia|LOC124449577
OG0000072	Nematostella|LOC116614590, Nematostella|LOC125573620	Xenia|LOC124435903
OG0000072	Nematostella|LOC125559738	Xenia|LOC124445250
OG0000076	Nematostella|LOC5512559, Nematostella|LOC5516629, Nematostella|LOC5509656, Nematostella|LOC5509657, Nematostella|LOC5509638, Nematostella|LOC5516771, Nematostella|LOC116620829, Nematostella|LOC5516770	Xenia|LOC124442055
OG0000076	Nematostella|LOC5509636	Xenia|LOC124435646, Xenia|LOC124447619
OG0000076	Nematostella|LOC5518438, Nematostella|LOC5517474	Xenia|LOC124439890, Xenia|LOC124456527
OG0000079	Nematostella|LOC125560947	Xenia|LOC124443324, Xenia|LOC124452133, Xenia|LOC124435990, Xenia|LOC124436069, Xenia|LOC124443369
OG0000086	Nematostella|LOC116618880	Xenia|LOC124447003
OG0000086	Nematostella|LOC5512855, Nematostella|LOC5510908, Nematostella|LOC5518648	Xenia|LOC124441663
OG0000086	Nematostella|LOC5502427, Nematostella|LOC5518125, Nematostella|LOC116611466, Nematostella|LOC5514576, Nematostella|LOC5511759, Nematostella|LOC5511758, Nematostella|LOC116616115, Nematostella|LOC5514578	Xenia|LOC124454782
OG0000087	Nematostella|LOC125570198	Xenia|LOC124455821, Xenia|LOC124459302, Xenia|LOC124439018, Xenia|LOC124457307, Xenia|LOC124437940, Xenia|LOC124453992, Xenia|LOC124452231, Xenia|LOC124456595, Xenia|LOC124459301, Xenia|LOC124438761, Xenia|LOC124444598, Xenia|LOC124438553, Xenia|LOC124448020, Xenia|LOC124445097, Xenia|LOC124436026, Xenia|LOC124437950, Xenia|LOC124453987, Xenia|LOC124454958, Xenia|LOC124452132, Xenia|LOC124443325, Xenia|LOC124455323, Xenia|LOC124441569, Xenia|LOC124444597, Xenia|LOC124438560, Xenia|LOC124449265, Xenia|LOC124438763, Xenia|LOC124456442
OG0000091	Nematostella|LOC116613867	Xenia|LOC124459292
OG0000095	Nematostella|LOC116611723	Xenia|LOC124450728, Xenia|LOC124457390, Xenia|LOC124455245, Xenia|LOC124449024, Xenia|LOC124443245, Xenia|LOC124450359, Xenia|LOC124444760, Xenia|LOC124435114, Xenia|LOC124452218, Xenia|LOC124443936, Xenia|LOC124436205, Xenia|LOC124454484, Xenia|LOC124435916, Xenia|LOC124436006, Xenia|LOC124444569, Xenia|LOC124449199
OG0000095	Nematostella|LOC125573037	Xenia|LOC124457101
OG0000095	Nematostella|LOC125561142, Nematostella|LOC116619028	Xenia|LOC124455267, Xenia|LOC124448569, Xenia|LOC124434166
OG0000096	Nematostella|LOC116601948, Nematostella|LOC125558985, Nematostella|LOC125558984, Nematostella|LOC125568410, Nematostella|LOC125558986, Nematostella|LOC116604779	Xenia|LOC124456944, Xenia|LOC124454159, Xenia|LOC124441059, Xenia|LOC124457185, Xenia|LOC124439057, Xenia|LOC124454210
OG0000096	Nematostella|LOC125563069	Xenia|LOC124457404
OG0000096	Nematostella|LOC116611814, Nematostella|LOC116612389	Xenia|LOC124434526, Xenia|LOC124454871, Xenia|LOC124457670
OG0000097	Nematostella|LOC5519484, Nematostella|LOC5505319, Nematostella|LOC5505323, Nematostella|LOC5504813, Nematostella|LOC5512659, Nematostella|LOC5505316, Nematostella|LOC5505313, Nematostella|LOC5519551	Xenia|LOC124443063, Xenia|LOC124441449
OG0000099	Nematostella|LOC5518768	Xenia|LOC124452487
OG0000099	Nematostella|LOC5520593	Xenia|LOC124446856, Xenia|LOC124446857, Xenia|LOC124446859
OG0000101	Nematostella|LOC125570308, Nematostella|LOC116611693, Nematostella|LOC5519403, Nematostella|LOC5519404	Xenia|LOC124454937, Xenia|LOC124454944, Xenia|LOC124454954, Xenia|LOC124454951, Xenia|LOC124454935, Xenia|LOC124454087, Xenia|LOC124454085, Xenia|LOC124455045
OG0000102	Nematostella|LOC5507746	Xenia|LOC124450247, Xenia|LOC124450249, Xenia|LOC124452298, Xenia|LOC124450258, Xenia|LOC124450253, Xenia|LOC124450248, Xenia|LOC124450257, Xenia|LOC124452296, Xenia|LOC124450245, Xenia|LOC124440688, Xenia|LOC124450251, Xenia|LOC124450254, Xenia|LOC124450250, Xenia|LOC124450256, Xenia|LOC124452293, Xenia|LOC124452295, Xenia|LOC124452297
OG0000105	Nematostella|LOC116601868, Nematostella|LOC5510808	Xenia|LOC124459289, Xenia|LOC124455215, Xenia|LOC124453919, Xenia|LOC124451715, Xenia|LOC124451702, Xenia|LOC124452304, Xenia|LOC124451694, Xenia|LOC124451695, Xenia|LOC124451697, Xenia|LOC124451708, Xenia|LOC124451713, Xenia|LOC124451714, Xenia|LOC124451392, Xenia|LOC124451688, Xenia|LOC124451691, Xenia|LOC124451696, Xenia|LOC124451682, Xenia|LOC124451683, Xenia|LOC124452268, Xenia|LOC124452307, Xenia|LOC124451681, Xenia|LOC124452309, Xenia|LOC124451679, Xenia|LOC124451684, Xenia|LOC124451690, Xenia|LOC124451692, Xenia|LOC124451707, Xenia|LOC124451720, Xenia|LOC124451705, Xenia|LOC124451703, Xenia|LOC124457581, Xenia|LOC124454008, Xenia|LOC124452308, Xenia|LOC124451382, Xenia|LOC124451689, Xenia|LOC124451698, Xenia|LOC124451701
OG0000114	Nematostella|LOC125561131	Xenia|LOC124438268, Xenia|LOC124438269, Xenia|LOC124438270, Xenia|LOC124438271, Xenia|LOC124456509, Xenia|LOC124438267, Xenia|LOC124444052, Xenia|LOC124438274, Xenia|LOC124438273, Xenia|LOC124439413, Xenia|LOC124438272, Xenia|LOC124440523, Xenia|LOC124439412, Xenia|LOC124438266, Xenia|LOC124439414, Xenia|LOC124456511, Xenia|LOC124453189, Xenia|LOC124449527, Xenia|LOC124435915, Xenia|LOC124452043
OG0000118	Nematostella|LOC5521741	Xenia|LOC124452660, Xenia|LOC124452658, Xenia|LOC124451269, Xenia|LOC124451170, Xenia|LOC124439006, Xenia|LOC124438968, Xenia|LOC124438377, Xenia|LOC124438649, Xenia|LOC124439016, Xenia|LOC124438814, Xenia|LOC124438736, Xenia|LOC124439158, Xenia|LOC124438946, Xenia|LOC124438609, Xenia|LOC124439211, Xenia|LOC124438615, Xenia|LOC124437897, Xenia|LOC124438475, Xenia|LOC124437900, Xenia|LOC124438476, Xenia|LOC124455599, Xenia|LOC124437878, Xenia|LOC124438297, Xenia|LOC124439115, Xenia|LOC124451899, Xenia|LOC124438178, Xenia|LOC124438176, Xenia|LOC124438454, Xenia|LOC124438463, Xenia|LOC124437877, Xenia|LOC124437978, Xenia|LOC124438179, Xenia|LOC124437892, Xenia|LOC124439463, Xenia|LOC124437869, Xenia|LOC124438160
OG0000120	Nematostella|LOC5507808, Nematostella|LOC125561387, Nematostella|LOC125559086, Nematostella|LOC125574485, Nematostella|LOC125561901	Xenia|LOC124440414
OG0000120	Nematostella|LOC125568290, Nematostella|LOC125557119, Nematostella|LOC125560845	Xenia|LOC124440399, Xenia|LOC124455960, Xenia|LOC124440415
OG0000120	Nematostella|LOC125572226	Xenia|LOC124455070, Xenia|LOC124453380, Xenia|LOC124443185, Xenia|LOC124449098, Xenia|LOC124456775, Xenia|LOC124455452, Xenia|LOC124438738
OG0000120	Nematostella|LOC116604813	Xenia|LOC124457235
OG0000121	Nematostella|LOC5516499, Nematostella|LOC116620688, Nematostella|LOC5516497, Nematostella|LOC5509419	Xenia|LOC124446930, Xenia|LOC124445222, Xenia|LOC124445246, Xenia|LOC124445219, Xenia|LOC124447350, Xenia|LOC124445241, Xenia|LOC124447212, Xenia|LOC124446301, Xenia|LOC124446303, Xenia|LOC124447359, Xenia|LOC124445236, Xenia|LOC124447211, Xenia|LOC124435795, Xenia|LOC124445254, Xenia|LOC124445235, Xenia|LOC124445253, Xenia|LOC124445218, Xenia|LOC124445247, Xenia|LOC124447358, Xenia|LOC124447352, Xenia|LOC124445200
OG0000122	Nematostella|LOC125561140	Xenia|LOC124456130
